,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,70,3,MTransferTreeBoost,0.075,1,1,0.01,0.5,1000,1.6444672468783228,1.294736525677004,1.6547641555790242,1.3223211842727918
1,70,3,MTransferTreeBoost,0.075,1,1,0.01,0.9,1000,1.6248683847833174,1.2769456920717837,1.634355715896087,1.30277111151873
2,70,3,MTransferTreeBoost,0.075,1,1,0.05,0.5,1000,2.2368739621278477,1.758822903415873,2.2596637085836195,1.8233639050126083
3,70,3,MTransferTreeBoost,0.075,1,1,0.05,0.9,1000,2.2040786430913433,1.7264409961325657,2.2218485523263545,1.7916936057337969
4,70,3,MTransferTreeBoost,0.075,1,2,0.01,0.5,1000,1.6478350095677075,1.2809432451298408,1.6346654552390534,1.2839162325263114
5,70,3,MTransferTreeBoost,0.075,1,2,0.01,0.9,1000,1.6732383468224656,1.3012307394229903,1.660723094571365,1.310311530832796
6,70,3,MTransferTreeBoost,0.075,1,2,0.05,0.5,1000,1.7163252756458027,1.3288102278077403,1.714195542134028,1.350627239401153
7,70,3,MTransferTreeBoost,0.075,1,2,0.05,0.9,1000,1.6474678133142808,1.283204189017332,1.6386995188646178,1.2915734050571595
8,70,3,MTransferTreeBoost,0.075,2,1,0.01,0.5,1000,1.6082849745493275,1.2555648279649174,1.589399036319208,1.2648599695299685
9,70,3,MTransferTreeBoost,0.075,2,1,0.01,0.9,1000,1.8566088244792363,1.437711076321732,1.8325932548691124,1.4544470772116147
10,70,3,MTransferTreeBoost,0.075,2,1,0.05,0.5,1000,2.877969931355323,2.2772028577255514,2.923100227836303,2.3600251504191894
11,70,3,MTransferTreeBoost,0.075,2,1,0.05,0.9,1000,2.5936598901982633,2.04431252045669,2.620480288994894,2.1170002657943705
12,70,3,MTransferTreeBoost,0.075,2,2,0.01,0.5,1000,1.913450092156711,1.4752762210960477,1.919489723794176,1.5095504800346102
13,70,3,MTransferTreeBoost,0.075,2,2,0.01,0.9,1000,1.6844330569794292,1.3131281345932653,1.6816419451291844,1.3279255861529609
14,70,3,MTransferTreeBoost,0.075,2,2,0.05,0.5,1000,1.9318779163059654,1.4977506073927207,1.9236164025294364,1.5152411592212887
15,70,3,MTransferTreeBoost,0.075,2,2,0.05,0.9,1000,1.9355855664636417,1.502625527591116,1.9426605107812402,1.5328122014069732
16,70,6,MTransferTreeBoost,0.075,1,1,0.01,0.5,1000,1.77765619356144,1.4016102986593633,1.7861445206973992,1.4352789976437326
17,70,6,MTransferTreeBoost,0.075,1,1,0.01,0.9,1000,1.705081640319993,1.3487024853358958,1.716484966639516,1.3786697149750264
18,70,6,MTransferTreeBoost,0.075,1,1,0.05,0.5,1000,1.50657999524692,1.1998951827905162,1.5017314896152263,1.2088399234217104
19,70,6,MTransferTreeBoost,0.075,1,1,0.05,0.9,1000,1.5692484464327952,1.2468715138517623,1.5672530183744702,1.2579001261050284
20,70,6,MTransferTreeBoost,0.075,1,2,0.01,0.5,1000,1.6816880435563082,1.3038343739584628,1.6584273149537492,1.3009985624328229
21,70,6,MTransferTreeBoost,0.075,1,2,0.01,0.9,1000,1.667275504601539,1.2980106228988355,1.6650801726418587,1.321682695098597
22,70,6,MTransferTreeBoost,0.075,1,2,0.05,0.5,1000,1.7517295163245656,1.3565047409369206,1.7448468022488923,1.3708636883031464
23,70,6,MTransferTreeBoost,0.075,1,2,0.05,0.9,1000,1.7077761349187413,1.3212587046955004,1.7056300035939278,1.344512960339584
