,seed,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,1,LSTransferTreeBoost,0.1,2,2,0.05,0.9,1.5183578799680202,1.2121101559290632,1.5611646591339976,1.2798367189529978
1,1,LADTransferTreeBoost,0.1,2,2,0.05,0.9,1.7325002058362153,1.379807944809771,1.7884018338824434,1.4329789938143123
2,1,MTransferTreeBoost,0.1,2,2,0.05,0.9,1.6133653124437954,1.2832996525249933,1.6901311658204807,1.3677247389437868
3,2,LSTransferTreeBoost,0.1,2,2,0.05,0.9,1.518478499250455,1.2070919815832768,1.5040693822334141,1.2026554726496743
4,2,LADTransferTreeBoost,0.1,2,2,0.05,0.9,1.7625938356460125,1.3715098350413988,1.779575238986497,1.3779219153326672
5,2,MTransferTreeBoost,0.1,2,2,0.05,0.9,1.6147704337889073,1.267831243050277,1.6077379062968904,1.2782813347162574
6,3,LSTransferTreeBoost,0.1,2,2,0.05,0.9,1.511293284190331,1.202715299663707,1.6000265190047864,1.2632670310705147
7,3,LADTransferTreeBoost,0.1,2,2,0.05,0.9,1.8272222045001782,1.4644414819396874,1.8828779618441744,1.4812159187744856
8,3,MTransferTreeBoost,0.1,2,2,0.05,0.9,1.5019648355733668,1.2099898294127702,1.5908684168996936,1.2904099492981935
9,4,LSTransferTreeBoost,0.1,2,2,0.05,0.9,1.5397341008782757,1.2305199856396005,1.5308930841725028,1.2134294917998514
10,4,LADTransferTreeBoost,0.1,2,2,0.05,0.9,1.673542897586421,1.3222962620803582,1.629633108361594,1.2886940776247695
11,4,MTransferTreeBoost,0.1,2,2,0.05,0.9,1.798117093485832,1.4293880225669142,1.7887496185386902,1.4093720230071987
12,5,LSTransferTreeBoost,0.1,2,2,0.05,0.9,1.4908264002374263,1.1704298055753493,1.4602759702095742,1.169066651873308
13,5,LADTransferTreeBoost,0.1,2,2,0.05,0.9,1.5498412317466848,1.206335171229293,1.5012453169393916,1.1750032374109558
14,5,MTransferTreeBoost,0.1,2,2,0.05,0.9,1.6392132397740038,1.2932630666802407,1.665839175308585,1.3405807424669967
