,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,70,3,MTransferTreeBoost,0.075,1,1,0.01,0.5,1000,1.2134675898446452,0.9430935246591755,1.1760353066721045,0.908448834549016
1,70,3,MTransferTreeBoost,0.075,1,1,0.01,0.9,1000,1.2163143940116954,0.9472620042532183,1.1816218135323788,0.909894443831005
2,70,3,MTransferTreeBoost,0.075,1,1,0.05,0.5,1000,1.8295525554495013,1.4175919992557038,1.82760812121072,1.41112958753759
3,70,3,MTransferTreeBoost,0.075,1,1,0.05,0.9,1000,1.8925197527649036,1.4632767029439833,1.8992522317818827,1.4650820273287104
4,70,3,MTransferTreeBoost,0.075,1,2,0.01,0.5,1000,1.0156176977142468,0.7839642239389009,1.0251784007288878,0.8036661165670831
5,70,3,MTransferTreeBoost,0.075,1,2,0.01,0.9,1000,1.0580547573897234,0.8142743986614407,1.056898684142956,0.8218825773061464
6,70,3,MTransferTreeBoost,0.075,1,2,0.05,0.5,1000,1.1024519963255566,0.8506118953655207,1.1122183964100947,0.8534417002842604
7,70,3,MTransferTreeBoost,0.075,1,2,0.05,0.9,1000,1.2482109856199461,0.9486562801497908,1.2313900382699257,0.9397934150131075
8,70,3,MTransferTreeBoost,0.075,2,1,0.01,0.5,1000,0.869074449636562,0.6935695207999124,0.8481231037411434,0.6727764428943542
9,70,3,MTransferTreeBoost,0.075,2,1,0.01,0.9,1000,0.8589718277535581,0.686368203031201,0.840920282744013,0.6615743862378247
10,70,3,MTransferTreeBoost,0.075,2,1,0.05,0.5,1000,2.515859035114925,1.9903493623515534,2.515985274151155,1.9881144411215506
11,70,3,MTransferTreeBoost,0.075,2,1,0.05,0.9,1000,2.110360264584258,1.6526451297579392,2.106491087803391,1.6566238881767767
12,70,3,MTransferTreeBoost,0.075,2,2,0.01,0.5,1000,1.016115495464377,0.7775375702707081,1.010051155441988,0.7821011587309171
13,70,3,MTransferTreeBoost,0.075,2,2,0.01,0.9,1000,1.0301758975585584,0.7922586063030178,1.0366650218127598,0.8074904496228047
14,70,3,MTransferTreeBoost,0.075,2,2,0.05,0.5,1000,1.1570503503771894,0.8842289795313937,1.1582775738119337,0.8913843412283571
15,70,3,MTransferTreeBoost,0.075,2,2,0.05,0.9,1000,1.7071315694585532,1.2989426887317408,1.7240326110937985,1.3184545890516375
16,70,6,MTransferTreeBoost,0.075,1,1,0.01,0.5,1000,1.323633182733631,1.0293950999233648,1.3118609136887192,1.002860851951303
17,70,6,MTransferTreeBoost,0.075,1,1,0.01,0.9,1000,1.1975580810346722,0.9358817663450484,1.1724328855384851,0.9082516158783063
18,70,6,MTransferTreeBoost,0.075,1,1,0.05,0.5,1000,1.1940237373052982,0.9347562348429374,1.1784357845978761,0.9101810072655222
19,70,6,MTransferTreeBoost,0.075,1,1,0.05,0.9,1000,1.2804319830656117,0.9971090432983555,1.2593878690421558,0.9721509900311036
20,70,6,MTransferTreeBoost,0.075,1,2,0.01,0.5,1000,1.0906183723471508,0.8425644646421669,1.102394157911467,0.867879665646138
21,70,6,MTransferTreeBoost,0.075,1,2,0.01,0.9,1000,1.0858650698736352,0.829127724481974,1.0853951438066953,0.8352986175847805
22,70,6,MTransferTreeBoost,0.075,1,2,0.05,0.5,1000,1.0565821478226123,0.808664531039556,1.0527917829286435,0.8161991012337755
23,70,6,MTransferTreeBoost,0.075,1,2,0.05,0.9,1000,1.129401583505873,0.8674520352777945,1.1120228138284916,0.8594353978048624
24,70,6,MTransferTreeBoost,0.075,2,1,0.01,0.5,1000,1.323633182733631,1.0293950999233648,1.3118609136887192,1.002860851951303
25,70,6,MTransferTreeBoost,0.075,2,1,0.01,0.9,1000,1.197558081034672,0.9358817663450484,1.1724328855384851,0.9082516158783063
26,70,6,MTransferTreeBoost,0.075,2,1,0.05,0.5,1000,1.1940237373052982,0.9347562348429374,1.1784357845978761,0.9101810072655222
27,70,6,MTransferTreeBoost,0.075,2,1,0.05,0.9,1000,1.2804319830656117,0.9971090432983555,1.2593878690421558,0.9721509900311036
28,70,6,MTransferTreeBoost,0.075,2,2,0.01,0.5,1000,1.0919698884493994,0.8431531082049408,1.1027881847081462,0.8679777729066002
29,70,6,MTransferTreeBoost,0.075,2,2,0.01,0.9,1000,1.1013426453098745,0.8344976850517137,1.0895286834009084,0.8361936110130703
30,70,6,MTransferTreeBoost,0.075,2,2,0.05,0.5,1000,1.0571045248849598,0.8089045836660519,1.052945532206811,0.8162391100048586
31,70,6,MTransferTreeBoost,0.075,2,2,0.05,0.9,1000,1.131406567621681,0.8682530091798195,1.1125719709244803,0.8595688934551999
32,70,9,MTransferTreeBoost,0.075,1,1,0.01,0.5,1000,1.323633182733631,1.0293950999233648,1.3118609136887192,1.002860851951303
33,70,9,MTransferTreeBoost,0.075,1,1,0.01,0.9,1000,1.1975580810346722,0.9358817663450484,1.1724328855384851,0.9082516158783063
34,70,9,MTransferTreeBoost,0.075,1,1,0.05,0.5,1000,1.1940237373052982,0.9347562348429374,1.1784357845978761,0.9101810072655222
35,70,9,MTransferTreeBoost,0.075,1,1,0.05,0.9,1000,1.2804319830656117,0.9971090432983555,1.2593878690421558,0.9721509900311036
36,70,9,MTransferTreeBoost,0.075,1,2,0.01,0.5,1000,1.0906183723471508,0.8425644646421669,1.102394157911467,0.867879665646138
37,70,9,MTransferTreeBoost,0.075,1,2,0.01,0.9,1000,1.0858650698736352,0.829127724481974,1.0853951438066953,0.8352986175847805
38,70,9,MTransferTreeBoost,0.075,1,2,0.05,0.5,1000,1.0565821478226123,0.808664531039556,1.0527917829286435,0.8161991012337755
39,70,9,MTransferTreeBoost,0.075,1,2,0.05,0.9,1000,1.129401583505873,0.8674520352777945,1.1120228138284916,0.8594353978048624
40,70,9,MTransferTreeBoost,0.075,2,1,0.01,0.5,1000,1.323633182733631,1.0293950999233648,1.3118609136887192,1.002860851951303
41,70,9,MTransferTreeBoost,0.075,2,1,0.01,0.9,1000,1.1975580810346722,0.9358817663450484,1.1724328855384851,0.9082516158783063
42,70,9,MTransferTreeBoost,0.075,2,1,0.05,0.5,1000,1.1940237373052982,0.9347562348429374,1.1784357845978761,0.9101810072655222
43,70,9,MTransferTreeBoost,0.075,2,1,0.05,0.9,1000,1.2804319830656117,0.9971090432983555,1.2593878690421558,0.9721509900311036
44,70,9,MTransferTreeBoost,0.075,2,2,0.01,0.5,1000,1.0906183723471503,0.8425644646421663,1.1023941579114667,0.8678796656461377
45,70,9,MTransferTreeBoost,0.075,2,2,0.01,0.9,1000,1.085865069873635,0.8291277244819738,1.085395143806695,0.8352986175847804
46,70,9,MTransferTreeBoost,0.075,2,2,0.05,0.5,1000,1.0565821478226132,0.8086645310395564,1.0527917829286442,0.816199101233776
47,70,9,MTransferTreeBoost,0.075,2,2,0.05,0.9,1000,1.1294015835058728,0.8674520352777945,1.1120228138284916,0.8594353978048624
48,71,3,MTransferTreeBoost,0.075,1,1,0.01,0.5,1000,1.2332900737347048,0.9866028125006242,1.3125021849589056,1.028161778283865
