,seed,method,v,source_tree_size,target_tree_size,m_0,k,val_rmse,val_mae,rmse,mae
0,2,LSTransferTreeBoost,0.1,2,2,0.9,0.05,1.4187575197472573,1.129807501045495,1.3748773081343153,1.0894114135041073
1,2,LADTransferTreeBoost,0.1,2,2,0.9,0.05,1.3016629242092308,1.030547335414107,1.3216902342615082,1.0550292082920276
2,2,MTransferTreeBoost,0.1,2,2,0.9,0.05,1.2470451628892427,0.9791366758502978,1.2050204974774401,0.9591759742773431
3,3,LSTransferTreeBoost,0.1,2,2,0.9,0.05,1.2782613852568372,1.013540714205293,1.2968526949277226,1.0248465420248107
4,3,LADTransferTreeBoost,0.1,2,2,0.9,0.05,1.4213659080795957,1.154231421432578,1.380943790347056,1.0994567900800434
5,3,MTransferTreeBoost,0.1,2,2,0.9,0.05,1.3465763884707438,1.0777425384946073,1.3651875578198076,1.0874842199389572
6,4,LSTransferTreeBoost,0.1,2,2,0.9,0.05,1.6368072718150761,1.3378806294189152,1.6398879136352258,1.3092200935541523
7,4,LADTransferTreeBoost,0.1,2,2,0.9,0.05,1.1897267306591783,0.9466859928531313,1.2321766281715392,0.9775750336266442
8,4,MTransferTreeBoost,0.1,2,2,0.9,0.05,1.867606617932227,1.518044870480469,1.8675173407206593,1.4925567962756592
9,5,LSTransferTreeBoost,0.1,2,2,0.9,0.05,1.4829046482366046,1.1582242034963488,1.5063670659284514,1.1865200505658522
10,5,LADTransferTreeBoost,0.1,2,2,0.9,0.05,1.5698783443868212,1.2084422858096442,1.5464129022779887,1.186986912222061
11,5,MTransferTreeBoost,0.1,2,2,0.9,0.05,1.56292182733956,1.2465926444905848,1.5608029970782165,1.2525517398463226
12,6,LSTransferTreeBoost,0.1,2,2,0.9,0.05,1.2801606842597206,0.9996232409181556,1.326738705140165,1.050783550992414
13,6,LADTransferTreeBoost,0.1,2,2,0.9,0.05,1.2302324846616524,0.945093640869935,1.2463694638966525,0.9605716328038643
14,6,MTransferTreeBoost,0.1,2,2,0.9,0.05,1.2042621874621877,0.9498442971984721,1.2459315001812041,0.9812525136276075
