,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
325,0.1,3,2,0.1,0.05,2.219671255846643,1.7389755730805376,5,3367,85,100,9,LADTransferTreeBoost,400,2.3796425801944245,1.8762462813855785,2.370666246502082,1.870592915341378
85,0.1,1,2,0.9,0.05,2.2487215976428008,1.7725593104274953,5,3211,85,100,9,LADTransferTreeBoost,400,2.165785238125664,1.69814902054222,2.0982768520726918,1.654372708628295
335,0.1,3,2,0.5,0.01,2.2570106108082593,1.7864432891377426,5,3361,85,100,9,LADTransferTreeBoost,400,2.454114258467649,1.951572481578404,2.4007887653235724,1.9204014429439231
355,0.1,3,2,0.9,0.05,2.2601909302869694,1.7729897249194018,5,3373,85,100,9,LADTransferTreeBoost,400,2.4194554711733973,1.9254408501278075,2.3852756305969813,1.8995489193746773
240,0.1,2,3,0.5,0.0,2.2734378547432654,1.7683112061698598,5,3298,85,100,9,LADTransferTreeBoost,400,2.3206378039154627,1.7813143164820544,2.369052646563301,1.8292028438223695
375,0.1,3,3,0.5,0.0,2.2752391741437643,1.7758797567481905,5,3379,85,100,9,LADTransferTreeBoost,400,2.315552192823115,1.775005374567698,2.3243852564305647,1.7980345116270735
205,0.1,2,2,0.5,0.05,2.2767456034613915,1.7763263511112597,5,3289,85,100,9,LADTransferTreeBoost,400,2.3638163145516544,1.8635977832419952,2.369346644050666,1.8809316317147615
200,0.1,2,2,0.5,0.01,2.279247839627673,1.7992876366046697,5,3280,85,100,9,LADTransferTreeBoost,400,2.2356164439380573,1.7783753373237574,2.2405167623656914,1.7789895588455182
125,0.1,1,3,0.9,0.01,2.2797559026324405,1.7872024920971885,5,3229,85,100,9,LADTransferTreeBoost,400,2.397748465734935,1.8321578160554308,2.4261427420118107,1.8822234500952504
220,0.1,2,2,0.9,0.05,2.2804950683148606,1.8008272490171138,5,3292,85,100,9,LADTransferTreeBoost,400,2.405709106833196,1.8968498195802737,2.382125338517613,1.8957745349652253
105,0.1,1,3,0.5,0.0,2.2850263407764158,1.785472641749691,5,3217,85,100,9,LADTransferTreeBoost,400,2.306770601864712,1.7722228044864163,2.3470614869051145,1.8086359210416385
195,0.1,2,2,0.5,0.0,2.2850673433522424,1.7897675643227213,5,3271,85,100,9,LADTransferTreeBoost,400,2.430602042150992,1.900294620208813,2.4419159874894443,1.9185126057517328
180,0.1,2,2,0.1,0.0,2.2875737255759754,1.7861709417539628,5,3268,85,100,9,LADTransferTreeBoost,400,2.236137306483932,1.7563257961569745,2.2160476947577834,1.7657163563770464
340,0.1,3,2,0.5,0.05,2.2918445328752144,1.7815936579301639,5,3370,85,100,9,LADTransferTreeBoost,400,2.453675753656264,1.9072017956607787,2.4423292236194447,1.9152321781963693
110,0.1,1,3,0.5,0.01,2.2945901240443436,1.7877201661105855,5,3226,85,100,9,LADTransferTreeBoost,400,2.4712551348782577,1.8918197494439564,2.494262627707599,1.927730630261783
65,0.1,1,2,0.5,0.01,2.2951550871363215,1.8031368855762107,5,3199,85,100,9,LADTransferTreeBoost,400,2.4008874494128327,1.8682778332404264,2.393271814134162,1.8844017041793728
60,0.1,1,2,0.5,0.0,2.3234611672036616,1.8219871389420093,5,3190,85,100,9,LADTransferTreeBoost,400,2.5642817400630755,1.9882693953110897,2.578736380983112,2.013568021286399
400,0.1,3,3,0.9,0.05,2.3305589625894183,1.8218557124022374,5,3400,85,100,9,LADTransferTreeBoost,400,2.523887986122248,1.947196173362788,2.537780638105483,1.94684208044963
350,0.1,3,2,0.9,0.01,2.3317544204549265,1.8372926264220197,5,3364,85,100,9,LADTransferTreeBoost,400,2.708810612544111,2.1145722289937403,2.7296614581103933,2.140806389299104
330,0.1,3,2,0.5,0.0,2.3412135473286244,1.8497699533969203,5,3352,85,100,9,LADTransferTreeBoost,400,2.760864428593328,2.14585051656006,2.7321370738120407,2.148583395345633
380,0.1,3,3,0.5,0.01,2.345468379697062,1.8345332808320554,5,3388,85,100,9,LADTransferTreeBoost,400,2.3358595287456856,1.799634142932041,2.343319767105016,1.8337355330260008
395,0.1,3,3,0.9,0.01,2.345888032920418,1.8449127360530309,5,3391,85,100,9,LADTransferTreeBoost,400,2.496617450182925,1.952061973206988,2.4692901573631887,1.9306494840122772
385,0.1,3,3,0.5,0.05,2.34838512334946,1.8347274592553504,5,3397,85,100,9,LADTransferTreeBoost,400,2.289747043823084,1.759688526534204,2.3232872784821046,1.8096829054452317
130,0.1,1,3,0.9,0.05,2.3496458169362855,1.8237925932019714,5,3238,85,100,9,LADTransferTreeBoost,400,2.500729881491529,1.931138105197857,2.5272344728920357,1.9612447215346325
230,0.1,2,3,0.1,0.01,2.351499141021807,1.8495238372417462,5,3304,85,100,9,LADTransferTreeBoost,400,2.5103481824324017,1.9440420260841051,2.517915668479404,1.9933768429096863
115,0.1,1,3,0.5,0.05,2.3557811345181605,1.83628084979985,5,3235,85,100,9,LADTransferTreeBoost,400,2.4793623845286468,1.9009385680569264,2.47821777857567,1.9088012789007835
