,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
195,0.1,2,2,0.5,0.0,1.060085414889767,0.824672713559641,5,841,85,300,3,LADTransferTreeBoost,400,1.1868602386258305,0.9072237007400988,1.1527851626362955,0.8791116202490354
215,0.1,2,2,0.9,0.01,1.061576212118937,0.8171847118144413,5,853,85,300,3,LADTransferTreeBoost,400,1.1241833677610067,0.8692472484269043,1.124604773234932,0.8594658731490992
350,0.1,3,2,0.9,0.01,1.072745737893229,0.8196989197986125,5,934,85,300,3,LADTransferTreeBoost,400,1.105667354996983,0.8563103653881969,1.0935234354454049,0.8457832975487295
60,0.1,1,2,0.5,0.0,1.0772654907732193,0.8443632595868504,5,760,85,300,3,LADTransferTreeBoost,400,1.229886812541003,0.9482485022048708,1.1933671787215174,0.9292572801577924
395,0.1,3,3,0.9,0.01,1.0799909275985402,0.8221780890349042,5,961,85,300,3,LADTransferTreeBoost,400,1.0908349898167202,0.8258068327673038,1.0843524255405157,0.8178351939100693
330,0.1,3,2,0.5,0.0,1.0885329209821197,0.8315884396690268,5,922,85,300,3,LADTransferTreeBoost,400,1.181569138406497,0.9021931197708885,1.1659643058937972,0.8844552191149503
240,0.1,2,3,0.5,0.0,1.1121926210786317,0.8527261854153059,5,868,85,300,3,LADTransferTreeBoost,400,1.1714426103508395,0.8796323093797996,1.1599626728039605,0.8802509105738427
105,0.1,1,3,0.5,0.0,1.1165893224138237,0.8668060410063964,5,787,85,300,3,LADTransferTreeBoost,400,1.1580582031598996,0.8813903644018647,1.12835245790679,0.8666495881652825
65,0.1,1,2,0.5,0.01,1.121942897328071,0.8722730961536362,5,769,85,300,3,LADTransferTreeBoost,400,1.4010344076489558,1.0567631492265404,1.3701463122315862,1.060171853372793
200,0.1,2,2,0.5,0.01,1.1494085209577463,0.8947985075020689,5,850,85,300,3,LADTransferTreeBoost,400,1.1383784168508424,0.8813890642515975,1.1249938862575966,0.8644164975413221
125,0.1,1,3,0.9,0.01,1.1697496491124555,0.9048711112464846,5,799,85,300,3,LADTransferTreeBoost,400,1.3692760013394638,1.0339370684508091,1.3533277232426584,1.0291788890774642
375,0.1,3,3,0.5,0.0,1.1722824545496402,0.9080459371897923,5,949,85,300,3,LADTransferTreeBoost,400,1.1983280562804357,0.9128146323724036,1.1788784873344773,0.904186251834874
220,0.1,2,2,0.9,0.05,1.1763920921618518,0.9041573666548521,5,862,85,300,3,LADTransferTreeBoost,400,1.597301893171696,1.1859759534789285,1.5881417502990378,1.192354311998863
85,0.1,1,2,0.9,0.05,1.1858335049036484,0.9256560460052297,5,781,85,300,3,LADTransferTreeBoost,400,1.3212467114411943,1.010672822962379,1.2790191852733492,0.9935091507426536
335,0.1,3,2,0.5,0.01,1.2022474340484783,0.9196706356978158,5,931,85,300,3,LADTransferTreeBoost,400,1.2569848559349217,0.9556799596083227,1.2421835868864104,0.9508463364907636
285,0.1,3,1,0.5,0.0,1.2226674449250208,0.9061782123715233,5,895,85,300,3,LADTransferTreeBoost,400,1.1293753490150171,0.8689058053504082,1.1503094910496032,0.8910482889434402
380,0.1,3,3,0.5,0.01,1.2420180033445467,0.9575856556249466,5,958,85,300,3,LADTransferTreeBoost,400,1.2570904522808477,0.9435574508821064,1.2489333253455135,0.9501040181495216
110,0.1,1,3,0.5,0.01,1.2459861578035853,0.9463556125043476,5,796,85,300,3,LADTransferTreeBoost,400,1.5103732730194053,1.1170958870609569,1.5127130474160202,1.140892833393734
70,0.1,1,2,0.5,0.05,1.2467102926482592,0.9791940074565229,5,778,85,300,3,LADTransferTreeBoost,400,1.5923254637128956,1.2495565564987536,1.5598522360685887,1.2658564366261502
205,0.1,2,2,0.5,0.05,1.2495707652565484,0.9605386493126291,5,859,85,300,3,LADTransferTreeBoost,400,1.7958550785569514,1.371302569417991,1.7915409920640923,1.370602571230515
15,0.1,1,1,0.5,0.0,1.2605142518109549,0.9901461901133496,5,733,85,300,3,LADTransferTreeBoost,400,1.3043576333096871,1.029279027599974,1.2992835535766991,1.016888336578943
180,0.1,2,2,0.1,0.0,1.263283447873103,0.9838904959053749,5,838,85,300,3,LADTransferTreeBoost,400,1.2787727404143872,0.9755237538936364,1.2746368390874356,0.9816016141153808
20,0.1,1,1,0.5,0.01,1.2724956490596948,1.0013928734814048,5,742,85,300,3,LADTransferTreeBoost,400,1.1886543267620298,0.92966939655707,1.1701441436944602,0.9201562406752124
150,0.1,2,1,0.5,0.0,1.293557098626548,1.0022783070837928,5,814,85,300,3,LADTransferTreeBoost,400,1.2032556036482651,0.950256265589531,1.2059039979951438,0.947393400272801
245,0.1,2,3,0.5,0.01,1.3131906096661823,1.0332738560454016,5,877,85,300,3,LADTransferTreeBoost,400,1.199613507211713,0.9020063578196464,1.19290982174853,0.908953997552739
50,0.1,1,2,0.1,0.01,1.3151401291323495,1.008158459909788,5,766,85,300,3,LADTransferTreeBoost,400,1.2534335574215565,0.9400551440569314,1.212150748370377,0.9296102062258506
290,0.1,3,1,0.5,0.01,1.323324233154023,1.0217341625219238,5,904,85,300,3,LADTransferTreeBoost,400,1.1652307922573542,0.9003919353783075,1.1722121128406455,0.909122096235952
155,0.1,2,1,0.5,0.01,1.3296216529105742,1.0339847760366632,5,823,85,300,3,LADTransferTreeBoost,400,1.1369526594830617,0.8910008684593159,1.1440572153600896,0.8980103931381496
90,0.1,1,3,0.1,0.0,1.332393419441732,1.0316890244154102,5,784,85,300,3,LADTransferTreeBoost,400,1.3759242527079267,1.0540104876500485,1.3454228608184062,1.045788552420264
250,0.1,2,3,0.5,0.05,1.3327749457863916,1.008179855492688,5,886,85,300,3,LADTransferTreeBoost,400,1.3375200503674995,1.0131330762227084,1.2914761077302854,0.9953210643210878
315,0.1,3,2,0.1,0.0,1.3344429266653295,1.0161818666519058,5,919,85,300,3,LADTransferTreeBoost,400,1.4654753853210296,1.0474309470873666,1.5100860406267962,1.0835240837345137
130,0.1,1,3,0.9,0.05,1.3401744916368208,1.01073246776263,5,808,85,300,3,LADTransferTreeBoost,400,1.488076714648542,1.0508885786819837,1.4713967241366834,1.066373278813548
355,0.1,3,2,0.9,0.05,1.3492137049179924,1.0357008561602674,5,943,85,300,3,LADTransferTreeBoost,400,1.6065062171417075,1.1325331561446028,1.6073168001987246,1.1642114407907866
265,0.1,2,3,0.9,0.05,1.35154667293063,1.0189439483171605,5,889,85,300,3,LADTransferTreeBoost,400,1.5838891490017548,1.1771983346304975,1.5799189535667166,1.198478633839114
25,0.1,1,1,0.5,0.05,1.3630685016528843,1.0715806107316712,5,751,85,300,3,LADTransferTreeBoost,400,1.62279116397384,1.282091695118917,1.583327392399276,1.2678267470611049
55,0.1,1,2,0.1,0.05,1.373173918691034,1.0688262613629775,5,775,85,300,3,LADTransferTreeBoost,400,1.7679891853576997,1.3746087141951306,1.7186752029530483,1.3650997495826225
385,0.1,3,3,0.5,0.05,1.3761358317171997,1.0730171857294617,5,967,85,300,3,LADTransferTreeBoost,400,2.013845961399692,1.6523611154562734,1.9804329060464905,1.64567834487169
340,0.1,3,2,0.5,0.05,1.3857698376576921,1.0634651259885906,5,940,85,300,3,LADTransferTreeBoost,400,1.5574125156741665,1.1518706082284609,1.5567322176164502,1.172812224559797
115,0.1,1,3,0.5,0.05,1.4256774189381134,1.065023150254086,5,805,85,300,3,LADTransferTreeBoost,400,1.846264322623158,1.271872789204407,1.8932071201710308,1.303121206525164
325,0.1,3,2,0.1,0.05,1.425886387915258,1.1043800422329153,5,937,85,300,3,LADTransferTreeBoost,400,1.9722388674123863,1.500731466805988,1.98057606373246,1.5253050976813392
320,0.1,3,2,0.1,0.01,1.4265372715216516,1.1122492906174348,5,928,85,300,3,LADTransferTreeBoost,400,1.4072547805022415,1.0752896626421646,1.4017736429150789,1.0887126765267516
365,0.1,3,3,0.1,0.01,1.4281557851794022,1.070474542639364,5,955,85,300,3,LADTransferTreeBoost,400,1.9346992426613625,1.4144237051382331,1.9902492385058272,1.485129505927676
95,0.1,1,3,0.1,0.01,1.4289275064259,1.0928912167179787,5,793,85,300,3,LADTransferTreeBoost,400,1.5319512774594646,1.1722245006230505,1.498803672144552,1.178655645735073
235,0.1,2,3,0.1,0.05,1.4334757387812278,1.0955682886190483,5,883,85,300,3,LADTransferTreeBoost,400,1.526918132244032,1.1222051128884614,1.555850404956377,1.1720177159905134
400,0.1,3,3,0.9,0.05,1.448162632390837,1.1121982127868313,5,970,85,300,3,LADTransferTreeBoost,400,1.4535680210807516,1.0898973676281485,1.4456204772383483,1.114261636870765
