,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
215,0.1,2,2,0.9,0.01,0.9813200657146183,0.7754833302001974,5,4255,85,500,9,LADTransferTreeBoost,400,1.1599688154376169,0.9090101393835696,1.176089990876369,0.9320204520508508
330,0.1,3,2,0.5,0.0,0.9818346496846898,0.7716365166069266,5,4324,85,500,9,LADTransferTreeBoost,400,1.1737434107862823,0.92682375097658,1.189606862079966,0.9515846757128572
335,0.1,3,2,0.5,0.01,1.0170394627318013,0.8023786205157588,5,4333,85,500,9,LADTransferTreeBoost,400,1.2029798460954344,0.936714792962356,1.2211018518021113,0.9608109903229984
375,0.1,3,3,0.5,0.0,1.017939427213312,0.7917290592117805,5,4351,85,500,9,LADTransferTreeBoost,400,1.2114036331013398,0.9459528066346404,1.2451099829860195,1.0058906114177193
350,0.1,3,2,0.9,0.01,1.0321513965954299,0.8147141703894082,5,4336,85,500,9,LADTransferTreeBoost,400,1.317392565757228,1.037248880810767,1.3560903673671834,1.061747895055408
60,0.1,1,2,0.5,0.0,1.0338864425853231,0.8241024722779843,5,4162,85,500,9,LADTransferTreeBoost,400,1.2559883036883464,0.9915377598322148,1.2689144001200297,1.0053578126093083
105,0.1,1,3,0.5,0.0,1.0383949901746754,0.8115304516548058,5,4189,85,500,9,LADTransferTreeBoost,400,1.0960541607752594,0.8588432729969786,1.1512861859952084,0.9320907142753496
80,0.1,1,2,0.9,0.01,1.0396908551522714,0.8182549810364822,5,4174,85,500,9,LADTransferTreeBoost,400,1.1655979922546449,0.9145424670427666,1.1819747581146838,0.9408295065659636
315,0.1,3,2,0.1,0.0,1.0469108868962773,0.8188606328419438,5,4321,85,500,9,LADTransferTreeBoost,400,1.3213588595593886,1.035361207899104,1.3355345513753871,1.0558161472690857
200,0.1,2,2,0.5,0.01,1.0608475816929823,0.8317427324065999,5,4252,85,500,9,LADTransferTreeBoost,400,1.0547277866464722,0.8367622512536627,1.0778061672113697,0.8558074678128964
395,0.1,3,3,0.9,0.01,1.062290657047119,0.820155030851194,5,4363,85,500,9,LADTransferTreeBoost,400,1.2989699657166838,0.995608822547926,1.3335344763161991,1.0499100239189056
325,0.1,3,2,0.1,0.05,1.0674865284946276,0.8295056842591594,5,4339,85,500,9,LADTransferTreeBoost,400,1.4093672780561928,1.1009539968136663,1.40271958802756,1.0963580025954869
195,0.1,2,2,0.5,0.0,1.0700451890555496,0.829547134219775,5,4243,85,500,9,LADTransferTreeBoost,400,1.1398125406955686,0.9048848292992469,1.164512499261834,0.938523597024406
240,0.1,2,3,0.5,0.0,1.0745228246453564,0.8324268153504532,5,4270,85,500,9,LADTransferTreeBoost,400,1.1739218396610585,0.9236773034004429,1.2025092682086531,0.9744924609995386
220,0.1,2,2,0.9,0.05,1.0797238809868976,0.8593851282897962,5,4264,85,500,9,LADTransferTreeBoost,400,1.264544497525413,0.9926651134382342,1.2718964955045893,0.9925794010200112
340,0.1,3,2,0.5,0.05,1.095926045039657,0.8383917453595899,5,4342,85,500,9,LADTransferTreeBoost,400,1.2077254781426623,0.962495230508078,1.2255769958574845,0.9898908707649472
245,0.1,2,3,0.5,0.01,1.099309737648197,0.8456594578035516,5,4279,85,500,9,LADTransferTreeBoost,400,1.3066720610596858,1.0096376904700726,1.3320919145564896,1.0485887248651031
400,0.1,3,3,0.9,0.05,1.1003751764031218,0.8604848954765616,5,4372,85,500,9,LADTransferTreeBoost,400,1.2376023891226204,0.96309792315169,1.250549219042428,1.0018337469346903
180,0.1,2,2,0.1,0.0,1.1048792327429096,0.8680892020766432,5,4240,85,500,9,LADTransferTreeBoost,400,1.0896577376942824,0.8547174660471661,1.104764255948982,0.873987925682799
360,0.1,3,3,0.1,0.0,1.1147400477773346,0.8741783712636841,5,4348,85,500,9,LADTransferTreeBoost,400,1.2273991878073414,0.95183126552232,1.260081956548173,1.0125701003181469
45,0.1,1,2,0.1,0.0,1.124811617631011,0.8941409492565832,5,4159,85,500,9,LADTransferTreeBoost,400,1.073183421102842,0.8437150147650363,1.0846338774756812,0.8659064692446521
385,0.1,3,3,0.5,0.05,1.126226629166678,0.867412767466198,5,4369,85,500,9,LADTransferTreeBoost,400,1.237153513030235,0.9512315831180884,1.264607561561259,1.0084135805048386
110,0.1,1,3,0.5,0.01,1.1287861035058746,0.8616544544693031,5,4198,85,500,9,LADTransferTreeBoost,400,1.2035328745371534,0.9365286341748092,1.2169966537380577,0.986370495398418
250,0.1,2,3,0.5,0.05,1.1410046990488483,0.8877155428559267,5,4288,85,500,9,LADTransferTreeBoost,400,1.517664148876529,1.1467512559663555,1.5338279431507464,1.1920012718694897
365,0.1,3,3,0.1,0.01,1.1477299195425286,0.866271925073627,5,4357,85,500,9,LADTransferTreeBoost,400,1.155501011977074,0.8993802913925616,1.211207877982158,0.96475847709164
185,0.1,2,2,0.1,0.01,1.1480689470313397,0.9086150356277427,5,4249,85,500,9,LADTransferTreeBoost,400,1.412697084447699,1.123964239520729,1.4239542454995464,1.1556230579955429
265,0.1,2,3,0.9,0.05,1.1593807013325255,0.9082003604614194,5,4291,85,500,9,LADTransferTreeBoost,400,1.191029847066583,0.9204025830666002,1.2272422776557117,0.9716530503947256
100,0.1,1,3,0.1,0.05,1.161135604856802,0.9074856577641407,5,4204,85,500,9,LADTransferTreeBoost,400,1.259806321342774,0.9598590559958852,1.2661131003294377,1.0040267812738086
20,0.1,1,1,0.5,0.01,1.17421751700985,0.9256805073681168,5,4144,85,500,9,LADTransferTreeBoost,400,1.3807439955108678,1.099519484422765,1.3928893894225542,1.1213602168401895
65,0.1,1,2,0.5,0.01,1.1742603584388962,0.914734517176585,5,4171,85,500,9,LADTransferTreeBoost,400,1.3125460269425453,1.0247699740906633,1.3383942276543823,1.0428908367241811
205,0.1,2,2,0.5,0.05,1.1752851118238312,0.929623452139114,5,4261,85,500,9,LADTransferTreeBoost,400,1.4240912445021014,1.10343338740611,1.462252958010672,1.1429029446647658
235,0.1,2,3,0.1,0.05,1.1815339765661825,0.9228183444352357,5,4285,85,500,9,LADTransferTreeBoost,400,1.3825342473518405,1.0611626364024145,1.4071593385713417,1.104822431218991
290,0.1,3,1,0.5,0.01,1.1850070417704068,0.9382121177960612,5,4306,85,500,9,LADTransferTreeBoost,400,1.2145446956373886,0.968768722978948,1.2279025113325304,0.9833789152067064
370,0.1,3,3,0.1,0.05,1.194520377318295,0.9318370502347161,5,4366,85,500,9,LADTransferTreeBoost,400,1.2481795725244835,0.9710607421010862,1.277748533069823,1.0127013557054272
380,0.1,3,3,0.5,0.01,1.1985127773643283,0.9068529496331406,5,4360,85,500,9,LADTransferTreeBoost,400,1.334690817770554,1.018418958304932,1.3544268396702923,1.072460225940695
230,0.1,2,3,0.1,0.01,1.2005350071415493,0.9381362515644971,5,4276,85,500,9,LADTransferTreeBoost,400,1.323943939534391,1.018415143300722,1.3574295653731143,1.0797698986765083
355,0.1,3,2,0.9,0.05,1.2021488900568689,0.9467367419437276,5,4345,85,500,9,LADTransferTreeBoost,400,1.149115956216016,0.9033715357998132,1.1573573982141767,0.9177607443423192
5,0.1,1,1,0.1,0.01,1.2043151826671117,0.9487996243726069,5,4141,85,500,9,LADTransferTreeBoost,400,1.2306844468412077,0.9849947096964188,1.2284385698218063,0.9810839258451568
115,0.1,1,3,0.5,0.05,1.208059969005778,0.9195282858770983,5,4207,85,500,9,LADTransferTreeBoost,400,1.2310702662959443,0.955742594471601,1.296534465173282,1.0299128600434515
270,0.1,3,1,0.1,0.0,1.2135588608994268,0.9534720346935528,5,4294,85,500,9,LADTransferTreeBoost,400,1.3782587391488248,1.0922975206848669,1.3971444884850066,1.1270161083620571
