,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
295,0.1,3,1,0.5,0.05,1.977885107197934,1.5567083170649973,5,3342,85,100,9,LSTransferTreeBoost,400,1.7676077762110058,1.4121236572512972,1.7481963031129013,1.3920560354410991
20,0.1,1,1,0.5,0.01,2.0240981554165263,1.5847258570423277,5,3171,85,100,9,LSTransferTreeBoost,400,1.9280279658598316,1.5128345219798518,1.932290744900312,1.5252823211721154
145,0.1,2,1,0.1,0.05,2.0336972400078586,1.5950495956973714,5,3258,85,100,9,LSTransferTreeBoost,400,1.909608705621909,1.495372905097043,1.9148588899534504,1.5071936189029176
135,0.1,2,1,0.1,0.0,2.0468713714392037,1.6073705963904015,5,3240,85,100,9,LSTransferTreeBoost,400,1.881092311117845,1.4744335219010931,1.877752155298699,1.483467280006546
310,0.1,3,1,0.9,0.05,2.0471642558380125,1.6260499989226531,5,3345,85,100,9,LSTransferTreeBoost,400,1.817036725641644,1.453723700815763,1.8059275075576484,1.4424616957357757
275,0.1,3,1,0.1,0.01,2.049725871197887,1.6034372553436325,5,3330,85,100,9,LSTransferTreeBoost,400,1.9850735312614491,1.547688576824872,1.990447368492752,1.5638974017597391
35,0.1,1,1,0.9,0.01,2.060501756777845,1.624192988091147,5,3174,85,100,9,LSTransferTreeBoost,400,1.8891445240788212,1.488666714587651,1.886757938293912,1.493262056115997
170,0.1,2,1,0.9,0.01,2.066253410960859,1.647899654817484,5,3255,85,100,9,LSTransferTreeBoost,400,1.8891445240788212,1.488666714587651,1.886757938293912,1.493262056115997
280,0.1,3,1,0.1,0.05,2.0682964280589644,1.6338109934639793,5,3339,85,100,9,LSTransferTreeBoost,400,1.9089382866944904,1.4949807139802227,1.914118071029769,1.5066688344114867
305,0.1,3,1,0.9,0.01,2.0714725730071097,1.645044551872489,5,3336,85,100,9,LSTransferTreeBoost,400,1.8587549423149985,1.4756505881834223,1.860352096103923,1.4828813225767676
285,0.1,3,1,0.5,0.0,2.075595682517572,1.639818178928009,5,3324,85,100,9,LSTransferTreeBoost,400,1.955113842430952,1.5357850285708845,1.9824029890464163,1.566653517754259
200,0.1,2,2,0.5,0.01,2.0768240948353425,1.6151620744381077,5,3279,85,100,9,LSTransferTreeBoost,400,2.0765873352312507,1.5923771492508418,2.011574352262467,1.566600441249443
140,0.1,2,1,0.1,0.01,2.0791784491008527,1.629379763382196,5,3249,85,100,9,LSTransferTreeBoost,400,1.9850735312614491,1.547688576824872,1.990447368492752,1.5638974017597391
80,0.1,1,2,0.9,0.01,2.079522723804179,1.6083450386599658,5,3201,85,100,9,LSTransferTreeBoost,400,2.083517631935871,1.599347467774734,2.0197797963896758,1.570462902765534
0,0.1,1,1,0.1,0.0,2.0805716953347297,1.6352461562893201,5,3159,85,100,9,LSTransferTreeBoost,400,1.8810923111178453,1.4744335219010931,1.8777521552986995,1.4834672800065465
65,0.1,1,2,0.5,0.01,2.082351828696887,1.6194390331420827,5,3198,85,100,9,LSTransferTreeBoost,400,2.0695556169429543,1.587765757289164,2.005885485034537,1.5650979178679745
155,0.1,2,1,0.5,0.01,2.082983309329146,1.6486696419562523,5,3252,85,100,9,LSTransferTreeBoost,400,1.9280279658598312,1.5128345219798518,1.932290744900312,1.5252823211721154
195,0.1,2,2,0.5,0.0,2.0838002777741504,1.6256648369209703,5,3270,85,100,9,LSTransferTreeBoost,400,1.9846897500388423,1.524225625591236,1.9152206933727247,1.4819091248991347
60,0.1,1,2,0.5,0.0,2.0870421559621555,1.626068596303054,5,3189,85,100,9,LSTransferTreeBoost,400,1.9942522729364407,1.531757114688553,1.9251263947124384,1.4871498485605965
335,0.1,3,2,0.5,0.01,2.087130703691568,1.6271759952039067,5,3360,85,100,9,LSTransferTreeBoost,400,2.06090988420361,1.5862237049350485,2.005615363387726,1.5618158568729053
355,0.1,3,2,0.9,0.05,2.0906251993686724,1.6169951816634267,5,3372,85,100,9,LSTransferTreeBoost,400,2.0525494847001147,1.5684917946538517,1.9947802970175792,1.5402397955632186
25,0.1,1,1,0.5,0.05,2.091372438821786,1.6417766627646557,5,3180,85,100,9,LSTransferTreeBoost,400,1.9458884145522244,1.5232058885124804,1.949437859809542,1.53480475491003
160,0.1,2,1,0.5,0.05,2.0917054227098317,1.6446505658539288,5,3261,85,100,9,LSTransferTreeBoost,400,1.9458884145522244,1.5232058885124804,1.949437859809542,1.53480475491003
5,0.1,1,1,0.1,0.01,2.0925494480713103,1.638233222139165,5,3168,85,100,9,LSTransferTreeBoost,400,1.9850735312614491,1.547688576824872,1.990447368492752,1.5638974017597391
190,0.1,2,2,0.1,0.05,2.0942616756940824,1.633086366596043,5,3285,85,100,9,LSTransferTreeBoost,400,2.153593077358737,1.6464303277834127,2.1072540438298653,1.6378363997954162
290,0.1,3,1,0.5,0.01,2.0966202257389783,1.6654322421334165,5,3333,85,100,9,LSTransferTreeBoost,400,1.7831872749613666,1.418669321873746,1.7802965027968247,1.415872549895283
15,0.1,1,1,0.5,0.0,2.098492270539651,1.6574802394411035,5,3162,85,100,9,LSTransferTreeBoost,400,1.895791277668418,1.4965646315252257,1.890896689277458,1.4973115996619624
150,0.1,2,1,0.5,0.0,2.1012841810237566,1.6720116321260323,5,3243,85,100,9,LSTransferTreeBoost,400,1.8957912776684176,1.4965646315252257,1.890896689277458,1.4973115996619624
270,0.1,3,1,0.1,0.0,2.101487440296746,1.6677474163977863,5,3321,85,100,9,LSTransferTreeBoost,400,1.796039509005746,1.425878181468232,1.784317701147568,1.4154483439296517
40,0.1,1,1,0.9,0.05,2.118811957626188,1.6665581443640864,5,3183,85,100,9,LSTransferTreeBoost,400,1.9176993671220577,1.494281145092001,1.9281889357594448,1.519049473832062
340,0.1,3,2,0.5,0.05,2.1240245150324215,1.6397206051233528,5,3369,85,100,9,LSTransferTreeBoost,400,2.225520357952468,1.698386956666909,2.1867735756603044,1.684262439301175
175,0.1,2,1,0.9,0.05,2.124033617759515,1.6838285835220528,5,3264,85,100,9,LSTransferTreeBoost,400,1.9176993671220577,1.494281145092001,1.9281889357594448,1.519049473832062
315,0.1,3,2,0.1,0.0,2.1254415675235037,1.643951054857525,5,3348,85,100,9,LSTransferTreeBoost,400,2.131252058847348,1.6240189593810266,2.097933195922878,1.6184229484911143
10,0.1,1,1,0.1,0.05,2.1280863729527715,1.6787917293959012,5,3177,85,100,9,LSTransferTreeBoost,400,1.909608705621909,1.495372905097043,1.9148588899534504,1.507193618902918
330,0.1,3,2,0.5,0.0,2.1297759451370597,1.657871260934505,5,3351,85,100,9,LSTransferTreeBoost,400,2.126375234685583,1.6414883949531935,2.106240161760494,1.6581323319153405
185,0.1,2,2,0.1,0.01,2.129971496746193,1.654980315432858,5,3276,85,100,9,LSTransferTreeBoost,400,2.230136587917846,1.706354408816696,2.1730512578962653,1.6845764357875708
