,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
330,0.1,3,2,0.5,0.0,2.091596348836039,1.6166275160995056,5,1893,85,100,6,LSTransferTreeBoost,400,1.778965977332663,1.4032438321336893,1.7731850607910438,1.3478859717545248
355,0.1,3,2,0.9,0.05,2.0961119515558635,1.619375522859071,5,1914,85,100,6,LSTransferTreeBoost,400,1.8490246848331864,1.4766600873540237,1.7922969318663973,1.412034676044274
195,0.1,2,2,0.5,0.0,2.0982764942917838,1.6308186543926482,5,1812,85,100,6,LSTransferTreeBoost,400,1.9086071908349536,1.5033452402892145,1.7964586482920128,1.4081745154993768
220,0.1,2,2,0.9,0.05,2.100173904316322,1.6378999346254226,5,1833,85,100,6,LSTransferTreeBoost,400,1.9162342815602444,1.5229460382600852,1.8570833695323348,1.450739202377806
35,0.1,1,1,0.9,0.01,2.103930491715258,1.6659275605743489,5,1716,85,100,6,LSTransferTreeBoost,400,1.750777258122091,1.3860584328873469,1.703753290017905,1.3388810957949169
60,0.1,1,2,0.5,0.0,2.106052300499519,1.6622808303965193,5,1731,85,100,6,LSTransferTreeBoost,400,1.864076625945481,1.48706698849662,1.767813283327412,1.3921971661480232
45,0.1,1,2,0.1,0.0,2.108116490635691,1.6772959530288105,5,1728,85,100,6,LSTransferTreeBoost,400,1.9261535742573697,1.532461213651627,1.8310150371111924,1.4429357779876604
55,0.1,1,2,0.1,0.05,2.126138342237467,1.6726335429726658,5,1746,85,100,6,LSTransferTreeBoost,400,1.983866700589494,1.5717683958450113,1.902965610810969,1.4931119101297663
15,0.1,1,1,0.5,0.0,2.127111190532442,1.6926883031018165,5,1704,85,100,6,LSTransferTreeBoost,400,1.7413871743107312,1.3803430504650318,1.691995775548939,1.3297802379265236
80,0.1,1,2,0.9,0.01,2.13172127140648,1.6871556845792324,5,1743,85,100,6,LSTransferTreeBoost,400,1.9451455463228888,1.546364765322524,1.8643566842825623,1.4626785619184457
170,0.1,2,1,0.9,0.01,2.13574763769135,1.7002120804524807,5,1797,85,100,6,LSTransferTreeBoost,400,1.7274917179175338,1.3793222566450225,1.6983850195613412,1.338776940585541
340,0.1,3,2,0.5,0.05,2.1366550785164895,1.6602354223693392,5,1911,85,100,6,LSTransferTreeBoost,400,1.8882594033282825,1.4994578532593208,1.8491229116877952,1.4492621719165866
0,0.1,1,1,0.1,0.0,2.1400925908897848,1.6804134036510874,5,1701,85,100,6,LSTransferTreeBoost,400,1.7490390494045864,1.3866007827754911,1.70109980260148,1.3381868939015862
50,0.1,1,2,0.1,0.01,2.1427103533164455,1.6809568830585202,5,1737,85,100,6,LSTransferTreeBoost,400,1.954650482942016,1.5398172753573487,1.9021721675686547,1.4826708872888807
85,0.1,1,2,0.9,0.05,2.1440893151233325,1.6793622803654487,5,1752,85,100,6,LSTransferTreeBoost,400,2.078788279041192,1.633297385674588,2.071057547699839,1.609262064797082
200,0.1,2,2,0.5,0.01,2.1526933990631614,1.6791790648567648,5,1821,85,100,6,LSTransferTreeBoost,400,1.9470258852414013,1.5439842345389354,1.902244511848148,1.498025331211122
5,0.1,1,1,0.1,0.01,2.1541238027580976,1.7050338098806463,5,1710,85,100,6,LSTransferTreeBoost,400,1.741703943426247,1.3775590108203593,1.6946474091853412,1.3322211357276024
335,0.1,3,2,0.5,0.01,2.155790850664208,1.644128544066246,5,1902,85,100,6,LSTransferTreeBoost,400,1.896890579011043,1.499863288477301,1.9207003585991524,1.505442469121384
135,0.1,2,1,0.1,0.0,2.1601925492427894,1.7151535646452516,5,1782,85,100,6,LSTransferTreeBoost,400,1.7237498453833966,1.3788549786572548,1.696426304859248,1.340892351886414
20,0.1,1,1,0.5,0.01,2.1628101153669115,1.724275274516939,5,1713,85,100,6,LSTransferTreeBoost,400,1.7788866364187603,1.405227482161559,1.7379808772431005,1.3673075154296337
10,0.1,1,1,0.1,0.05,2.163584759634135,1.7137182621641274,5,1719,85,100,6,LSTransferTreeBoost,400,1.738265506194583,1.3768252396935,1.692776149364085,1.328380398364082
155,0.1,2,1,0.5,0.01,2.1652943310835657,1.7221611152647103,5,1794,85,100,6,LSTransferTreeBoost,400,1.7126461279857177,1.3680633263053787,1.68398082186512,1.3270857065240518
70,0.1,1,2,0.5,0.05,2.1663060775602685,1.697303068498184,5,1749,85,100,6,LSTransferTreeBoost,400,1.942025313962533,1.5243246770264265,1.9032836104503603,1.4744201511142674
125,0.1,1,3,0.9,0.01,2.1702956581392465,1.6632565814297102,5,1770,85,100,6,LSTransferTreeBoost,400,2.0859678901474674,1.6018966681223914,1.963260067692099,1.4952258890948382
245,0.1,2,3,0.5,0.01,2.1712444460661673,1.6440438905199017,5,1848,85,100,6,LSTransferTreeBoost,400,2.0440239998244145,1.5787667340880684,1.9304752571450148,1.4745615829705634
