,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
400,0.1,3,3,0.9,0.05,1.7228363499424908,1.1434153850593374,5,3885,85,300,9,LSTransferTreeBoost,400,1.7642174878578691,1.368464867856385,1.7508899846655517,1.353256063729552
380,0.1,3,3,0.5,0.01,1.7270380545979667,1.14215988494964,5,3873,85,300,9,LSTransferTreeBoost,400,1.7103993755260372,1.297781649409458,1.710546996018815,1.2856500535884243
240,0.1,2,3,0.5,0.0,1.7368757960004544,1.1470231749023707,5,3783,85,300,9,LSTransferTreeBoost,400,1.6898742526019492,1.2859793274960885,1.7106964920208525,1.3090629240658835
105,0.1,1,3,0.5,0.0,1.7411115360484921,1.150346945921661,5,3702,85,300,9,LSTransferTreeBoost,400,1.663934518336711,1.2722978668727616,1.7049151962826308,1.30587745493554
110,0.1,1,3,0.5,0.01,1.7611556676834514,1.1666639333124595,5,3711,85,300,9,LSTransferTreeBoost,400,1.632114264361641,1.254396209563314,1.671838813649646,1.2856395674069476
245,0.1,2,3,0.5,0.01,1.761564521104821,1.1605206896438451,5,3792,85,300,9,LSTransferTreeBoost,400,1.6327041345380735,1.2522603699371435,1.6894413819781446,1.2932743576793564
335,0.1,3,2,0.5,0.01,1.7629050357365166,1.179574258640489,5,3846,85,300,9,LSTransferTreeBoost,400,1.676006055559311,1.2901971121046298,1.7397020889169743,1.3266332075584766
375,0.1,3,3,0.5,0.0,1.763166932521425,1.1495219992022137,5,3864,85,300,9,LSTransferTreeBoost,400,1.751542328926323,1.3217892431806526,1.7497717789501783,1.312924034525862
360,0.1,3,3,0.1,0.0,1.7868736450229925,1.245796399971828,5,3861,85,300,9,LSTransferTreeBoost,400,1.6840857563077738,1.284687306974402,1.6709375831630444,1.2852873869701045
385,0.1,3,3,0.5,0.05,1.7952942128571496,1.2578096968379082,5,3882,85,300,9,LSTransferTreeBoost,400,1.844441958660218,1.454313927619194,1.8218285583515743,1.4410043509797892
200,0.1,2,2,0.5,0.01,1.8129704338996704,1.231045610037357,5,3765,85,300,9,LSTransferTreeBoost,400,1.7200320297078373,1.3344207444224645,1.7788703111525546,1.3532544832560414
250,0.1,2,3,0.5,0.05,1.8138073646434367,1.2388085576334098,5,3801,85,300,9,LSTransferTreeBoost,400,1.8726019699143848,1.4713221061289228,1.859880448843491,1.445931407088009
195,0.1,2,2,0.5,0.0,1.8193460685323182,1.2184673098254386,5,3756,85,300,9,LSTransferTreeBoost,400,1.6497132925844624,1.2668390819369724,1.7402253972442585,1.3186908994108275
370,0.1,3,3,0.1,0.05,1.8268814353430933,1.269144044553213,5,3879,85,300,9,LSTransferTreeBoost,400,1.8559084691505685,1.4466973866232498,1.8477958025056411,1.4387582384339308
60,0.1,1,2,0.5,0.0,1.8323083389309063,1.2283815382574126,5,3675,85,300,9,LSTransferTreeBoost,400,1.6448602308053577,1.266646135657577,1.7389733528072278,1.3184730688501758
365,0.1,3,3,0.1,0.01,1.8338751719873276,1.3024190637936104,5,3870,85,300,9,LSTransferTreeBoost,400,1.828980817313511,1.449651254171904,1.822215777380428,1.441498031675617
65,0.1,1,2,0.5,0.01,1.8372859700096704,1.2593559480631231,5,3684,85,300,9,LSTransferTreeBoost,400,1.7071915988820223,1.3247529223246162,1.7663701017298397,1.350453323612665
330,0.1,3,2,0.5,0.0,1.8691513649069544,1.245389741111271,5,3837,85,300,9,LSTransferTreeBoost,400,1.632329508639573,1.220623863566663,1.748355511616931,1.3000892860959508
15,0.1,1,1,0.5,0.0,1.9714520442961772,1.4872852190554535,5,3648,85,300,9,LSTransferTreeBoost,400,1.7631459871044053,1.3548574151462376,1.8191855925231868,1.3987712952804816
285,0.1,3,1,0.5,0.0,1.9851043221951685,1.5306656728859989,5,3810,85,300,9,LSTransferTreeBoost,400,1.755130485441868,1.363694457208534,1.817281115148272,1.4122712235687518
290,0.1,3,1,0.5,0.01,1.9920400592470031,1.5434949690688704,5,3819,85,300,9,LSTransferTreeBoost,400,1.7371683204246529,1.353780535715335,1.78934003331368,1.389657642254312
155,0.1,2,1,0.5,0.01,1.9929565648507723,1.5433135223762815,5,3738,85,300,9,LSTransferTreeBoost,400,1.8031842328810157,1.3934033616752344,1.850500067946128,1.4278060919740083
20,0.1,1,1,0.5,0.01,2.0217554568577794,1.5955398701464882,5,3657,85,300,9,LSTransferTreeBoost,400,1.736032457866949,1.3831200295494392,1.7950377771674075,1.4216015268106104
150,0.1,2,1,0.5,0.0,2.0258608177097814,1.573737350827196,5,3729,85,300,9,LSTransferTreeBoost,400,1.9023589555637457,1.4698620665081323,1.9360900103538616,1.49771604406865
305,0.1,3,1,0.9,0.01,2.0443095791828294,1.6118326625975072,5,3822,85,300,9,LSTransferTreeBoost,400,1.7097237029296428,1.365716230531148,1.7797842127010135,1.4083951245161714
115,0.1,1,3,0.5,0.05,2.0969585578657286,1.5792986428207259,5,3720,85,300,9,LSTransferTreeBoost,400,1.8727338173532015,1.4724818207875428,1.865185347535203,1.457330190207413
270,0.1,3,1,0.1,0.0,2.106720458143306,1.6852074690003476,5,3807,85,300,9,LSTransferTreeBoost,400,1.9731131593460152,1.5696980587314369,1.983899299197103,1.592837120210303
140,0.1,2,1,0.1,0.01,2.1110716580022655,1.693368266188461,5,3735,85,300,9,LSTransferTreeBoost,400,1.855953145503598,1.473778428403268,1.8989474722159008,1.5077632312979568
340,0.1,3,2,0.5,0.05,2.112828661852885,1.5162829252382288,5,3855,85,300,9,LSTransferTreeBoost,400,2.164094176677618,1.7439666662976938,2.164265834341524,1.7548838945627363
310,0.1,3,1,0.9,0.05,2.1128368753481235,1.6645689227790321,5,3831,85,300,9,LSTransferTreeBoost,400,2.283855387463413,1.826003325692234,2.2612292554108158,1.832512282014078
260,0.1,2,3,0.9,0.01,2.1282679754936176,1.619723583815113,5,3795,85,300,9,LSTransferTreeBoost,400,1.8286101093667133,1.4170033166053144,1.7968607258942415,1.3944427848038827
395,0.1,3,3,0.9,0.01,2.1284000496841893,1.595377767222448,5,3876,85,300,9,LSTransferTreeBoost,400,1.6762468555359904,1.2515030069416868,1.693188746801462,1.2450295414957242
135,0.1,2,1,0.1,0.0,2.1295616401746686,1.7113504645282158,5,3726,85,300,9,LSTransferTreeBoost,400,1.9731131593460152,1.5696980587314369,1.983899299197103,1.592837120210303
175,0.1,2,1,0.9,0.05,2.137629009031276,1.6796424971708823,5,3750,85,300,9,LSTransferTreeBoost,400,2.283855387463413,1.826003325692234,2.2612292554108158,1.832512282014078
325,0.1,3,2,0.1,0.05,2.1383960300813123,1.6064613110017671,5,3852,85,300,9,LSTransferTreeBoost,400,1.7301324168190229,1.379236889439473,1.7732035199719305,1.392452315062589
275,0.1,3,1,0.1,0.01,2.147482965860835,1.7085434161613477,5,3816,85,300,9,LSTransferTreeBoost,400,1.855953145503598,1.473778428403268,1.8989474722159008,1.5077632312979568
265,0.1,2,3,0.9,0.05,2.151172448858761,1.6493979045151108,5,3804,85,300,9,LSTransferTreeBoost,400,1.8950931192577012,1.4877310117656803,1.861993339347558,1.4552421717214474
25,0.1,1,1,0.5,0.05,2.159544759237037,1.736681378303134,5,3666,85,300,9,LSTransferTreeBoost,400,2.4948598100281907,2.00003064729089,2.448125819147952,1.998194948915296
295,0.1,3,1,0.5,0.05,2.16017593326204,1.7169981584566738,5,3828,85,300,9,LSTransferTreeBoost,400,2.4948598100281907,2.00003064729089,2.448125819147952,1.998194948915296
230,0.1,2,3,0.1,0.01,2.1627072509151692,1.6432089530507965,5,3789,85,300,9,LSTransferTreeBoost,400,1.829230715850941,1.4463092552712296,1.8127820613241972,1.441010351704223
35,0.1,1,1,0.9,0.01,2.1686389329561337,1.7150218756433468,5,3660,85,300,9,LSTransferTreeBoost,400,2.0066738595940907,1.585133520453777,2.0287312368565047,1.6227137049975062
170,0.1,2,1,0.9,0.01,2.1686885350707743,1.7094083098571358,5,3741,85,300,9,LSTransferTreeBoost,400,1.988421683302076,1.5776777068015433,2.009103817011131,1.6141880919495597
125,0.1,1,3,0.9,0.01,2.170817425117744,1.6370499037419282,5,3714,85,300,9,LSTransferTreeBoost,400,1.8105867575193844,1.4077967048974664,1.784020961887128,1.3900408420640795
95,0.1,1,3,0.1,0.01,2.1710111374684526,1.6724407889100177,5,3708,85,300,9,LSTransferTreeBoost,400,1.853366316660541,1.4570828510064044,1.837591555779984,1.4490287549287009
90,0.1,1,3,0.1,0.0,2.180866831505519,1.6761059357461305,5,3699,85,300,9,LSTransferTreeBoost,400,1.9378423471573496,1.5095552376103023,1.9022924939635533,1.5050345515203545
225,0.1,2,3,0.1,0.0,2.1835740820779144,1.6810177972823641,5,3780,85,300,9,LSTransferTreeBoost,400,1.9266665042510265,1.500830771968922,1.890240807888348,1.494832230918204
350,0.1,3,2,0.9,0.01,2.1847089235808843,1.6402054768799004,5,3849,85,300,9,LSTransferTreeBoost,400,1.623247623019695,1.243915713640411,1.7236063731733895,1.306789229815961
160,0.1,2,1,0.5,0.05,2.1855126504054554,1.7418708606052404,5,3747,85,300,9,LSTransferTreeBoost,400,2.4948598100281907,2.00003064729089,2.448125819147952,1.998194948915296
145,0.1,2,1,0.1,0.05,2.210992281123531,1.787933190184021,5,3744,85,300,9,LSTransferTreeBoost,400,2.258421399249925,1.8102041404186704,2.234773822887236,1.8153360774637888
130,0.1,1,3,0.9,0.05,2.2198250290306367,1.7056188151712774,5,3723,85,300,9,LSTransferTreeBoost,400,1.881959247345152,1.475873714071764,1.8445897162129687,1.4492623815219567
5,0.1,1,1,0.1,0.01,2.220042420029091,1.7952600115753465,5,3654,85,300,9,LSTransferTreeBoost,400,1.855953145503598,1.473778428403268,1.8989474722159008,1.5077632312979568
280,0.1,3,1,0.1,0.05,2.2234383542311127,1.7893153809377835,5,3825,85,300,9,LSTransferTreeBoost,400,2.258421399249925,1.8102041404186704,2.234773822887236,1.8153360774637888
100,0.1,1,3,0.1,0.05,2.2249671808112046,1.7526559805260888,5,3717,85,300,9,LSTransferTreeBoost,400,2.058558690050561,1.639723237653438,2.008613880838759,1.59357886820108
40,0.1,1,1,0.9,0.05,2.2251150857250406,1.7505534708452395,5,3669,85,300,9,LSTransferTreeBoost,400,2.283855387463413,1.826003325692234,2.2612292554108158,1.832512282014078
0,0.1,1,1,0.1,0.0,2.2422073164304885,1.8149364665344252,5,3645,85,300,9,LSTransferTreeBoost,400,1.9731131593460152,1.5696980587314369,1.983899299197103,1.592837120210303
215,0.1,2,2,0.9,0.01,2.255856618251386,1.7200441565157276,5,3768,85,300,9,LSTransferTreeBoost,400,1.6719527839882873,1.3141036119009435,1.7436751829833126,1.3516410041261535
205,0.1,2,2,0.5,0.05,2.2918824948385117,1.7272876389475023,5,3774,85,300,9,LSTransferTreeBoost,400,2.273365894676722,1.8399472704803304,2.255719935486828,1.8463898309766764
235,0.1,2,3,0.1,0.05,2.307779424922489,1.8094664502851336,5,3798,85,300,9,LSTransferTreeBoost,400,2.073124280632032,1.6471253011327929,2.022819926127394,1.602250385918195
80,0.1,1,2,0.9,0.01,2.3146193365273,1.7662273070050616,5,3687,85,300,9,LSTransferTreeBoost,400,1.690154522852638,1.32475423922046,1.7604532797629675,1.3658144560685304
315,0.1,3,2,0.1,0.0,2.3339842788359455,1.8248707594126017,5,3834,85,300,9,LSTransferTreeBoost,400,1.816503054857915,1.455893928881506,1.8420519094220815,1.4651105418495596
355,0.1,3,2,0.9,0.05,2.3999194773128325,1.8745905155755405,5,3858,85,300,9,LSTransferTreeBoost,400,1.82896231030413,1.4456056236655082,1.8452587321050555,1.4572714099310584
180,0.1,2,2,0.1,0.0,2.431217972606329,1.9297943424113928,5,3753,85,300,9,LSTransferTreeBoost,400,1.8264105974815936,1.4647625326500031,1.852326444346175,1.473348435960344
190,0.1,2,2,0.1,0.05,2.4554330465660508,1.9590012790659626,5,3771,85,300,9,LSTransferTreeBoost,400,1.7386796210862727,1.3811161628383808,1.7869290759162857,1.4072711184417708
185,0.1,2,2,0.1,0.01,2.477424210756452,1.958658848396493,5,3762,85,300,9,LSTransferTreeBoost,400,1.6963499037787229,1.35243806702778,1.7742776077381264,1.3880892005711996
220,0.1,2,2,0.9,0.05,2.497064497333084,1.96894502200567,5,3777,85,300,9,LSTransferTreeBoost,400,2.037635225062319,1.6398692528286185,2.0231907379638026,1.6143719524072364
320,0.1,3,2,0.1,0.01,2.503360662048242,1.983262539762882,5,3843,85,300,9,LSTransferTreeBoost,400,2.553452178141723,2.0607195146645663,2.5005067439156,2.045069207524844
85,0.1,1,2,0.9,0.05,2.506712394701636,1.9732972085702296,5,3696,85,300,9,LSTransferTreeBoost,400,2.04124190477852,1.639334257072686,2.054858073104822,1.6449412404196342
10,0.1,1,1,0.1,0.05,2.5247196209358735,2.0564453913007035,5,3663,85,300,9,LSTransferTreeBoost,400,2.766464640111853,2.228959631929018,2.7108759607074107,2.2248540561589905
70,0.1,1,2,0.5,0.05,2.5457942509915044,2.00513077258408,5,3693,85,300,9,LSTransferTreeBoost,400,2.2888450800642706,1.8492852951587595,2.2650337721246845,1.849395092661952
50,0.1,1,2,0.1,0.01,2.54602160054279,2.0351214120491177,5,3681,85,300,9,LSTransferTreeBoost,400,1.693585889671902,1.3507942710908347,1.7660602835745949,1.3860970723610988
55,0.1,1,2,0.1,0.05,2.5984954488310605,2.0825378463109403,5,3690,85,300,9,LSTransferTreeBoost,400,1.7411849130317585,1.385850258914388,1.7776730089384902,1.3956266970724167
45,0.1,1,2,0.1,0.0,2.6139867766681357,2.081400926779741,5,3672,85,300,9,LSTransferTreeBoost,400,1.854916807773764,1.4743891104983708,1.8985865667189112,1.5009121323396903
300,0.1,3,1,0.9,0.0,2.82021784956332,2.24365672531218,5,3813,85,300,9,LSTransferTreeBoost,400,2.9165949746780617,2.3254135674925,2.9003744770453967,2.349475610496863
165,0.1,2,1,0.9,0.0,2.9107732414505287,2.2917972872262546,5,3732,85,300,9,LSTransferTreeBoost,400,2.913900390179227,2.321804201529976,2.897869653266128,2.345669578327894
30,0.1,1,1,0.9,0.0,3.011674837479743,2.370620296920517,5,3651,85,300,9,LSTransferTreeBoost,400,2.913900390179227,2.321804201529976,2.897869653266128,2.345669578327894
390,0.1,3,3,0.9,0.0,3.2356751476770724,2.568630468733193,5,3867,85,300,9,LSTransferTreeBoost,400,2.0943820025680298,1.6421276116368626,2.078757129539521,1.6563550492454642
120,0.1,1,3,0.9,0.0,3.34006330596752,2.6317645722958973,5,3705,85,300,9,LSTransferTreeBoost,400,2.046709744197241,1.611341203437343,2.0211244297305435,1.61104410936941
345,0.1,3,2,0.9,0.0,3.3509207792461195,2.654552923834878,5,3840,85,300,9,LSTransferTreeBoost,400,3.038183116986147,2.406777527047929,3.0345882411095118,2.427367216846285
255,0.1,2,3,0.9,0.0,3.3783041283950643,2.675706198938172,5,3786,85,300,9,LSTransferTreeBoost,400,2.0462854539724,1.6124914713138636,2.0192806627799063,1.6087063998925637
210,0.1,2,2,0.9,0.0,3.448687649128968,2.7241877908561962,5,3759,85,300,9,LSTransferTreeBoost,400,3.101055618844722,2.452539745455657,3.080990374858274,2.455952850537737
75,0.1,1,2,0.9,0.0,3.538814475688652,2.7908929376243314,5,3678,85,300,9,LSTransferTreeBoost,400,3.1000222594017264,2.451734330031069,3.080018784828779,2.45468225943902
