,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
310,0.1,3,1,0.9,0.05,2.0304610851130005,1.6050297671687637,5,1889,85,100,6,MTransferTreeBoost,400,1.9356925070272248,1.5177583144259013,1.9565020483254292,1.5426558971110351
175,0.1,2,1,0.9,0.05,2.039677485420754,1.6203402912532237,5,1808,85,100,6,MTransferTreeBoost,400,1.94590784287182,1.5388378261877138,1.962056315700878,1.554353676858076
280,0.1,3,1,0.1,0.05,2.047172924593137,1.6045866845284038,5,1883,85,100,6,MTransferTreeBoost,400,1.928713469079664,1.528678698297005,1.9334237952783628,1.5347399129815154
270,0.1,3,1,0.1,0.0,2.049445053596951,1.614819584898291,5,1865,85,100,6,MTransferTreeBoost,400,1.949393122217832,1.5403536455925428,1.9534038878688071,1.551394079446528
295,0.1,3,1,0.5,0.05,2.050753231034088,1.6233065770699777,5,1886,85,100,6,MTransferTreeBoost,400,1.9390375674607283,1.5282245204979474,1.9486195742028836,1.542198141082878
160,0.1,2,1,0.5,0.05,2.0640537330439583,1.6302296233079363,5,1805,85,100,6,MTransferTreeBoost,400,1.9477396125145967,1.5342116990707997,1.9566703954914049,1.5485645884997763
155,0.1,2,1,0.5,0.01,2.0648337104173122,1.6357586200904337,5,1796,85,100,6,MTransferTreeBoost,400,2.0338554142283205,1.6011799431833815,2.044905571988995,1.614040112787202
145,0.1,2,1,0.1,0.05,2.0690984750916686,1.6308298086531408,5,1802,85,100,6,MTransferTreeBoost,400,1.9225851306505903,1.5123010226312228,1.9336630036396256,1.5267108831416696
340,0.1,3,2,0.5,0.05,2.0771512577212343,1.6193118783862182,5,1913,85,100,6,MTransferTreeBoost,400,2.016180106770161,1.5813811165033809,1.9556534253511957,1.5427262844786382
330,0.1,3,2,0.5,0.0,2.079469903316702,1.6342833094037175,5,1895,85,100,6,MTransferTreeBoost,400,2.133222290925065,1.6532025031257596,2.079628293983229,1.6298446513487947
135,0.1,2,1,0.1,0.0,2.0809939264023956,1.6388108348593626,5,1784,85,100,6,MTransferTreeBoost,400,1.978612000748546,1.5639645880718085,1.9891070798294903,1.572478561946543
335,0.1,3,2,0.5,0.01,2.0823579357848514,1.6468308945650212,5,1904,85,100,6,MTransferTreeBoost,400,2.123453507496455,1.6572807852777245,2.0688127945768557,1.627916865608276
15,0.1,1,1,0.5,0.0,2.0904671042477205,1.6419277333142355,5,1706,85,100,6,MTransferTreeBoost,400,1.9964194604239305,1.5564212775233843,2.0089430129940364,1.5798238078646805
