,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
215,0.1,2,2,0.9,0.01,0.783694894965793,0.6136868699291596,5,2798,85,500,6,MTransferTreeBoost,400,0.8784726116153311,0.6866058249732124,0.8939269589389529,0.719627511172498
330,0.1,3,2,0.5,0.0,0.7860015242256605,0.6120359480737868,5,2867,85,500,6,MTransferTreeBoost,400,0.8777461271035693,0.6976712053219767,0.8929289303153567,0.7187133802716903
335,0.1,3,2,0.5,0.01,0.792915565356809,0.607993021916799,5,2876,85,500,6,MTransferTreeBoost,400,0.8458915069733177,0.6674363726138048,0.8694723993137486,0.6982490214093174
195,0.1,2,2,0.5,0.0,0.7964871197268273,0.6237071233526161,5,2786,85,500,6,MTransferTreeBoost,400,0.9015363759119516,0.7126094658544021,0.9081217308413008,0.729447807548126
355,0.1,3,2,0.9,0.05,0.8020921481188731,0.621821372278446,5,2888,85,500,6,MTransferTreeBoost,400,0.8728117174421248,0.6868191598091039,0.9013515970033052,0.7275281103575715
200,0.1,2,2,0.5,0.01,0.8022828029426263,0.6359581688883045,5,2795,85,500,6,MTransferTreeBoost,400,0.9104694904556588,0.7207964584958265,0.9081213979879338,0.728108084673699
350,0.1,3,2,0.9,0.01,0.8037266806497488,0.6232160947836306,5,2879,85,500,6,MTransferTreeBoost,400,0.874740500014212,0.685364353457926,0.8947348262543539,0.7210934929695861
80,0.1,1,2,0.9,0.01,0.8113443540629677,0.6329577369832889,5,2717,85,500,6,MTransferTreeBoost,400,0.9206812962312894,0.7211736765152569,0.9269936089774984,0.7440423915818131
340,0.1,3,2,0.5,0.05,0.8324393733983154,0.645553570363091,5,2885,85,500,6,MTransferTreeBoost,400,0.8702529188789058,0.684338433775285,0.8881826916512219,0.7121970762770458
60,0.1,1,2,0.5,0.0,0.834354305397867,0.6476316303666394,5,2705,85,500,6,MTransferTreeBoost,400,0.9239300202983626,0.7237333192144811,0.923271973113548,0.7387273107546078
315,0.1,3,2,0.1,0.0,0.835818547191989,0.6516563395116899,5,2864,85,500,6,MTransferTreeBoost,400,0.8577859687197842,0.6772576919845501,0.8783566902799128,0.708224706572735
320,0.1,3,2,0.1,0.01,0.8421281509715538,0.6505365666264541,5,2873,85,500,6,MTransferTreeBoost,400,0.8278026402706652,0.6508725356917939,0.850302541632919,0.6849725057325324
395,0.1,3,3,0.9,0.01,0.8432431738065173,0.6540955764810207,5,2906,85,500,6,MTransferTreeBoost,400,0.945914105086352,0.7213041096148666,0.940459605979147,0.7391276795922924
65,0.1,1,2,0.5,0.01,0.8452692374896463,0.6597620922994619,5,2714,85,500,6,MTransferTreeBoost,400,0.91362954193141,0.7183487092231149,0.9148641857491008,0.7346347764969454
205,0.1,2,2,0.5,0.05,0.8495515094203819,0.660041671922172,5,2804,85,500,6,MTransferTreeBoost,400,0.9249319608678436,0.7272162835316159,0.9408350162882962,0.7580879067588167
325,0.1,3,2,0.1,0.05,0.8518867408336721,0.6649865034373831,5,2882,85,500,6,MTransferTreeBoost,400,0.8656712712681015,0.675258925796301,0.8966181506844878,0.7160409532531896
180,0.1,2,2,0.1,0.0,0.8547984259173382,0.6673958532425568,5,2783,85,500,6,MTransferTreeBoost,400,0.9389214290273138,0.7361557500382485,0.9369526204960442,0.7496910075196657
380,0.1,3,3,0.5,0.01,0.8595571155563577,0.6637225826166983,5,2903,85,500,6,MTransferTreeBoost,400,0.9371486047031228,0.7199439178930069,0.940723339429993,0.7543222370216449
260,0.1,2,3,0.9,0.01,0.8638941323995256,0.6661012516900333,5,2825,85,500,6,MTransferTreeBoost,400,1.0051531003181942,0.7606513455564659,0.9925228654853068,0.7847877295898273
375,0.1,3,3,0.5,0.0,0.8645124681077192,0.6664002598244153,5,2894,85,500,6,MTransferTreeBoost,400,0.9593305651995676,0.7320298410193525,0.9514875230852082,0.7478910513798719
190,0.1,2,2,0.1,0.05,0.8662700297633169,0.6809574414191785,5,2801,85,500,6,MTransferTreeBoost,400,0.924156247423876,0.7232615692741557,0.9252203516689802,0.7441643760472839
400,0.1,3,3,0.9,0.05,0.8666673478929496,0.667899515837941,5,2915,85,500,6,MTransferTreeBoost,400,0.9478854504265084,0.7298139994616422,0.9555982499633154,0.7515001409345052
50,0.1,1,2,0.1,0.01,0.8704785596821258,0.6846402186647478,5,2711,85,500,6,MTransferTreeBoost,400,1.0078477340266818,0.793733121933215,0.987259300599768,0.7888300420175991
245,0.1,2,3,0.5,0.01,0.8762591169153394,0.6862800914559626,5,2822,85,500,6,MTransferTreeBoost,400,0.971069611943426,0.7425195179907611,0.9544411745816708,0.7575771384092534
385,0.1,3,3,0.5,0.05,0.8799836517741098,0.6881461310649535,5,2912,85,500,6,MTransferTreeBoost,400,0.9818360752126492,0.7613432191235081,0.9921009124116033,0.7779499973797843
70,0.1,1,2,0.5,0.05,0.8833586257689149,0.6845953321361897,5,2723,85,500,6,MTransferTreeBoost,400,0.9627416220005088,0.758847001294987,0.9582033505724225,0.763498698590216
45,0.1,1,2,0.1,0.0,0.8839395746217242,0.6874879242240038,5,2702,85,500,6,MTransferTreeBoost,400,0.9495687514561691,0.7407673968151793,0.9311397351230726,0.7478188661821684
105,0.1,1,3,0.5,0.0,0.8869273447789414,0.7008504693257311,5,2732,85,500,6,MTransferTreeBoost,400,0.9774787128731552,0.7472982559736777,0.9622640599092304,0.7617285010717977
240,0.1,2,3,0.5,0.0,0.8880571177031176,0.6914288136336775,5,2813,85,500,6,MTransferTreeBoost,400,0.9748784680759912,0.7435564961203406,0.9677283032479204,0.7638168876495406
85,0.1,1,2,0.9,0.05,0.8891051462679828,0.6903683706185004,5,2726,85,500,6,MTransferTreeBoost,400,0.9073543671222576,0.714612958741206,0.9134638102472524,0.7355566674162783
185,0.1,2,2,0.1,0.01,0.8934623370868054,0.7025288299676626,5,2792,85,500,6,MTransferTreeBoost,400,0.9566977673046688,0.7541906477638946,0.9579082345695596,0.76905082372568
125,0.1,1,3,0.9,0.01,0.8952750989320638,0.7028830488645396,5,2744,85,500,6,MTransferTreeBoost,400,1.0117129467458843,0.770755381488096,1.0035396436612114,0.7808025604335584
220,0.1,2,2,0.9,0.05,0.896681104416863,0.702132191945271,5,2807,85,500,6,MTransferTreeBoost,400,0.9113910697164186,0.7170858422898234,0.9211580595108328,0.7426529229403372
110,0.1,1,3,0.5,0.01,0.8973367542698074,0.7019431769171323,5,2741,85,500,6,MTransferTreeBoost,400,1.0319146696429105,0.7909000646249384,1.0112941059282314,0.7976124404160263
360,0.1,3,3,0.1,0.0,0.8991073651644133,0.7053359493327876,5,2891,85,500,6,MTransferTreeBoost,400,0.9937359810131262,0.7617034262270375,0.9926683850451444,0.7832909642162117
370,0.1,3,3,0.1,0.05,0.903293196966381,0.7045613498991379,5,2909,85,500,6,MTransferTreeBoost,400,0.9828979497319048,0.7530365163717604,0.9721015733648212,0.7674763107562673
250,0.1,2,3,0.5,0.05,0.9059297345648002,0.7057221649297155,5,2831,85,500,6,MTransferTreeBoost,400,1.0117407017838298,0.772029123276119,1.014028412497703,0.8001444315157819
130,0.1,1,3,0.9,0.05,0.9064608805667834,0.7097743826746334,5,2753,85,500,6,MTransferTreeBoost,400,1.034443735073019,0.7923228459237105,1.0116156704478434,0.7984322064237849
265,0.1,2,3,0.9,0.05,0.9073983660390847,0.7151549759119673,5,2834,85,500,6,MTransferTreeBoost,400,1.0116191306542068,0.7701509261709835,0.9928197253351196,0.7819625426320169
365,0.1,3,3,0.1,0.01,0.9081983476480918,0.7125893007009841,5,2900,85,500,6,MTransferTreeBoost,400,1.0049960735166028,0.7652833567662831,1.0058911336629532,0.7875119587979312
230,0.1,2,3,0.1,0.01,0.9115556155198062,0.7212326788413448,5,2819,85,500,6,MTransferTreeBoost,400,1.0234633052868736,0.7784080474768075,1.0062825730708973,0.7998959347501928
55,0.1,1,2,0.1,0.05,0.9140439750393934,0.7209149062778618,5,2720,85,500,6,MTransferTreeBoost,400,0.9757450053722478,0.7655922249225549,0.9565328744289356,0.7627555474175088
235,0.1,2,3,0.1,0.05,0.920559101284382,0.72717891409721,5,2828,85,500,6,MTransferTreeBoost,400,1.0413636141827556,0.7948215359563437,1.0354060980859028,0.8148954062759165
95,0.1,1,3,0.1,0.01,0.9210198939305341,0.7286156567962159,5,2738,85,500,6,MTransferTreeBoost,400,1.0482731480816485,0.7990921846379624,1.040891830071618,0.8232511602606071
225,0.1,2,3,0.1,0.0,0.9214256077333296,0.7284368646760397,5,2810,85,500,6,MTransferTreeBoost,400,1.0096959287165777,0.7759045519743312,0.9931748709551096,0.78351609574621
90,0.1,1,3,0.1,0.0,0.9343725976810848,0.7359165613485267,5,2729,85,500,6,MTransferTreeBoost,400,1.0723934620748423,0.8148854078598888,1.0472293903926233,0.8296566855698786
100,0.1,1,3,0.1,0.05,0.939485796338602,0.7351033316247313,5,2747,85,500,6,MTransferTreeBoost,400,1.0163913353950615,0.778375770314631,0.9930707798127766,0.7839415626688901
270,0.1,3,1,0.1,0.0,0.9576244276250536,0.7561715249657313,5,2837,85,500,6,MTransferTreeBoost,400,1.0144136741442062,0.8066928625518686,1.015632834420911,0.8058850371784483
115,0.1,1,3,0.5,0.05,0.9713962353251981,0.7650595842918768,5,2750,85,500,6,MTransferTreeBoost,400,1.0104877825788898,0.7712852558426873,1.0023097779874364,0.7844934718080572
275,0.1,3,1,0.1,0.01,0.9790037044768033,0.7730409997147633,5,2846,85,500,6,MTransferTreeBoost,400,1.0384223806035062,0.8250823416253952,1.0369233506779845,0.8244080245342055
140,0.1,2,1,0.1,0.01,0.9838441030291353,0.7812690025063448,5,2765,85,500,6,MTransferTreeBoost,400,1.0354404269175386,0.8205578070275885,1.019682330584181,0.8087542700720222
280,0.1,3,1,0.1,0.05,0.9850041452119772,0.7785098944105784,5,2855,85,500,6,MTransferTreeBoost,400,1.0485662566879057,0.831227258767108,1.030492290719498,0.8174076037678751
0,0.1,1,1,0.1,0.0,0.9878622151551856,0.7850162669875498,5,2675,85,500,6,MTransferTreeBoost,400,1.011458172392077,0.8023134695680688,0.9938737754030182,0.7898968061274091
175,0.1,2,1,0.9,0.05,0.9907643328492247,0.7900508704638721,5,2780,85,500,6,MTransferTreeBoost,400,1.015983450589963,0.8076935027053441,1.001102459216192,0.7933888675219191
155,0.1,2,1,0.5,0.01,0.9965282206937834,0.7966888114913913,5,2768,85,500,6,MTransferTreeBoost,400,1.0227145302914669,0.8145235906018095,1.0091645243234626,0.8009328455804664
160,0.1,2,1,0.5,0.05,0.998200940244747,0.7924815154874004,5,2777,85,500,6,MTransferTreeBoost,400,1.0116345607716055,0.8057002525319731,0.9985314871183936,0.7929901990118909
135,0.1,2,1,0.1,0.0,1.000221033562243,0.7958468839189259,5,2756,85,500,6,MTransferTreeBoost,400,1.0162871919546657,0.8082795618681328,1.0004615673599158,0.7928550532358704
145,0.1,2,1,0.1,0.05,1.0033927532804765,0.7937162625656479,5,2774,85,500,6,MTransferTreeBoost,400,1.020908119251685,0.8109672073650627,1.0064940914800011,0.7985002402363457
170,0.1,2,1,0.9,0.01,1.0087596389488904,0.8097118648015542,5,2771,85,500,6,MTransferTreeBoost,400,1.043216703744258,0.8331441000717545,1.0320128374699555,0.8207761287034204
290,0.1,3,1,0.5,0.01,1.0109984603773623,0.8031298013644488,5,2849,85,500,6,MTransferTreeBoost,400,1.0339543395428383,0.8235375512528592,1.030107200518816,0.8197765793342394
35,0.1,1,1,0.9,0.01,1.0134410045046944,0.8060602307481805,5,2690,85,500,6,MTransferTreeBoost,400,1.061904638280024,0.8395708873553084,1.041047615400376,0.8294114506520627
310,0.1,3,1,0.9,0.05,1.016114703763096,0.804380363500926,5,2861,85,500,6,MTransferTreeBoost,400,1.0222839219249271,0.8126134341734929,1.0120425237096904,0.8038030800239536
295,0.1,3,1,0.5,0.05,1.0220604330269603,0.806529669780447,5,2858,85,500,6,MTransferTreeBoost,400,1.010623724301228,0.8044003948969964,0.9974260002271608,0.7930783715895384
20,0.1,1,1,0.5,0.01,1.023871255753956,0.8117557784471945,5,2687,85,500,6,MTransferTreeBoost,400,1.0745532666858817,0.8499667110440858,1.0589995519297382,0.8461804009933414
10,0.1,1,1,0.1,0.05,1.025453261231588,0.8107543453755174,5,2693,85,500,6,MTransferTreeBoost,400,1.0705884316289187,0.847649758300752,1.053771880560085,0.8399830761537261
25,0.1,1,1,0.5,0.05,1.0346437311043286,0.8196911792479439,5,2696,85,500,6,MTransferTreeBoost,400,1.0757448424770146,0.8504074625526828,1.061333796890734,0.8470119695774209
305,0.1,3,1,0.9,0.01,1.041887435155552,0.8298322630161377,5,2852,85,500,6,MTransferTreeBoost,400,1.008048146991097,0.8033460292537593,0.9986156468130696,0.7925462568454557
5,0.1,1,1,0.1,0.01,1.0552168451157466,0.8334098659944361,5,2684,85,500,6,MTransferTreeBoost,400,1.0725119377311336,0.8474376219867576,1.05387572456018,0.8392924029265967
285,0.1,3,1,0.5,0.0,1.0842584518087375,0.8566522254901214,5,2840,85,500,6,MTransferTreeBoost,400,1.088523314495931,0.8617628389894924,1.0912286989134616,0.8678680730465126
150,0.1,2,1,0.5,0.0,1.0877148834665145,0.8663194898658372,5,2759,85,500,6,MTransferTreeBoost,400,1.0924584128240795,0.8661858260122794,1.101577821974434,0.8793980983334524
15,0.1,1,1,0.5,0.0,1.111346271108371,0.8817175540798898,5,2678,85,500,6,MTransferTreeBoost,400,1.1433837073255926,0.9005315865859947,1.1248875017287543,0.8980572154036671
40,0.1,1,1,0.9,0.05,1.1130891725274181,0.8882839399989896,5,2699,85,500,6,MTransferTreeBoost,400,1.077969925363446,0.8513170700191149,1.0633871618455504,0.8480738950686603
255,0.1,2,3,0.9,0.0,1.4111854359834726,1.12255898379565,5,2816,85,500,6,MTransferTreeBoost,400,1.3151260029377607,1.0264662834256877,1.2910736531573146,1.0414379649908871
120,0.1,1,3,0.9,0.0,1.4446205135797672,1.161005146103129,5,2735,85,500,6,MTransferTreeBoost,400,1.3783769008587552,1.0887404387267792,1.354814421411244,1.0896311269966927
345,0.1,3,2,0.9,0.0,1.5847527103360408,1.2713614982655532,5,2870,85,500,6,MTransferTreeBoost,400,1.56607048243262,1.2460918803748122,1.5763173175990086,1.281045944681123
390,0.1,3,3,0.9,0.0,1.692177631880917,1.3610660560180996,5,2897,85,500,6,MTransferTreeBoost,400,1.2580735140070811,0.9898841427879984,1.2500323955716297,1.011610025594101
210,0.1,2,2,0.9,0.0,1.706113187660981,1.3826454290202712,5,2789,85,500,6,MTransferTreeBoost,400,1.5545399822477537,1.2460248782566232,1.5409455811824089,1.2481889646386564
75,0.1,1,2,0.9,0.0,1.8094166145963135,1.4579625656143098,5,2708,85,500,6,MTransferTreeBoost,400,1.6710322207448869,1.333811216345081,1.6582655947892386,1.3662555552053932
300,0.1,3,1,0.9,0.0,2.1641679718406275,1.7422488310796473,5,2843,85,500,6,MTransferTreeBoost,400,2.3753898799544677,1.914968876223469,2.381556474819891,1.9430653785504528
165,0.1,2,1,0.9,0.0,2.1700811404925324,1.7555089163525608,5,2762,85,500,6,MTransferTreeBoost,400,2.3961085253833136,1.9311695914467584,2.398462824474301,1.9552298181233352
30,0.1,1,1,0.9,0.0,2.6559950511482606,2.127922833854309,5,2681,85,500,6,MTransferTreeBoost,400,2.4188286734670097,1.9478485883193557,2.4098103866081524,1.9666277767146187
