,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
350,0.1,3,2,0.9,0.01,0.8797097628715036,0.6892645550664247,5,2879,85,500,6,MTransferTreeBoost,400,1.0524230764296054,0.822512381142519,1.1059640235281116,0.8640100630390498
335,0.1,3,2,0.5,0.01,0.8876593429618126,0.6942744346791099,5,2876,85,500,6,MTransferTreeBoost,400,1.020580155760321,0.7981146617203408,1.089130681701804,0.8518617216223413
330,0.1,3,2,0.5,0.0,0.8920792212935954,0.697664450248815,5,2867,85,500,6,MTransferTreeBoost,400,1.0664370647544088,0.8356110679596007,1.1192408612731437,0.8894509955369929
215,0.1,2,2,0.9,0.01,0.8965386852734515,0.711400909971804,5,2798,85,500,6,MTransferTreeBoost,400,1.040975292032971,0.8118502794693172,1.1024702039851924,0.8631556645636074
355,0.1,3,2,0.9,0.05,0.9001147404270912,0.7049554636459042,5,2888,85,500,6,MTransferTreeBoost,400,1.0402576967248898,0.8081533744497242,1.09922788853592,0.8562182848502443
200,0.1,2,2,0.5,0.01,0.9075781229936298,0.7204281951982533,5,2795,85,500,6,MTransferTreeBoost,400,1.0729295332692828,0.8393224730493568,1.1048460862814171,0.8726062374243825
195,0.1,2,2,0.5,0.0,0.9136995047755072,0.7179686072816147,5,2786,85,500,6,MTransferTreeBoost,400,1.036466045736998,0.8085400301497818,1.0822140470891952,0.8558956535267455
340,0.1,3,2,0.5,0.05,0.9145777738821982,0.7152361404235128,5,2885,85,500,6,MTransferTreeBoost,400,1.0634442797964037,0.822138954324995,1.1163251917211257,0.8635416822908355
60,0.1,1,2,0.5,0.0,0.9178807508361466,0.7236111018959025,5,2705,85,500,6,MTransferTreeBoost,400,1.1081625714137056,0.8708849119396275,1.1391460351412943,0.9041879723765844
395,0.1,3,3,0.9,0.01,0.9224750789178902,0.7302082714494552,5,2906,85,500,6,MTransferTreeBoost,400,1.1115816810475692,0.8549768521225621,1.1493400424927096,0.8935640501731537
65,0.1,1,2,0.5,0.01,0.9233835815147309,0.7347766721061534,5,2714,85,500,6,MTransferTreeBoost,400,1.088678365064881,0.8521694214474254,1.1264283189878126,0.8725074268021492
325,0.1,3,2,0.1,0.05,0.929818632098635,0.727831495247711,5,2882,85,500,6,MTransferTreeBoost,400,1.054943966750254,0.8240092304403145,1.0866240752096197,0.8621792850885662
315,0.1,3,2,0.1,0.0,0.9320932553590952,0.7320060096598181,5,2864,85,500,6,MTransferTreeBoost,400,1.1157039932440156,0.8655869780580517,1.1543080581968572,0.9101055252298824
320,0.1,3,2,0.1,0.01,0.9322949652185422,0.7345178815517912,5,2873,85,500,6,MTransferTreeBoost,400,1.0878249488092009,0.8433010112276201,1.1138361205102143,0.8687462680120931
185,0.1,2,2,0.1,0.01,0.939475793400109,0.7415926887508923,5,2792,85,500,6,MTransferTreeBoost,400,1.0838582151644625,0.8408496642842945,1.1201043829842343,0.8756612122332731
205,0.1,2,2,0.5,0.05,0.9463189968900878,0.7514291166995707,5,2804,85,500,6,MTransferTreeBoost,400,1.0614562076088765,0.823633708300134,1.114551477873985,0.8689861635171162
220,0.1,2,2,0.9,0.05,0.9485540220942843,0.7507528816845406,5,2807,85,500,6,MTransferTreeBoost,400,1.0492288856494263,0.8164910253273322,1.1094002437756585,0.8638302783796364
180,0.1,2,2,0.1,0.0,0.950466282912177,0.7526622697015202,5,2783,85,500,6,MTransferTreeBoost,400,1.0980611857102005,0.8510925258118963,1.1158456310544802,0.8752685763468796
260,0.1,2,3,0.9,0.01,0.954300579383496,0.7517049370751062,5,2825,85,500,6,MTransferTreeBoost,400,1.121997799512363,0.8677646498677193,1.1688395158093958,0.9045927936217828
80,0.1,1,2,0.9,0.01,0.9558544813749572,0.7573975836002687,5,2717,85,500,6,MTransferTreeBoost,400,1.0878682513820797,0.8527839294905046,1.1398806812873858,0.8912339577533336
375,0.1,3,3,0.5,0.0,0.9565575684947409,0.7453764444073638,5,2894,85,500,6,MTransferTreeBoost,400,1.114375926150576,0.8739297301507994,1.1431672772308683,0.899587610979695
400,0.1,3,3,0.9,0.05,0.9644353420660167,0.7586808859468113,5,2915,85,500,6,MTransferTreeBoost,400,1.1544866381192591,0.8863815818656746,1.176590784497129,0.9201591041200716
380,0.1,3,3,0.5,0.01,0.9700469404326288,0.7543638814272061,5,2903,85,500,6,MTransferTreeBoost,400,1.108509425076094,0.854961121807324,1.1558583248767231,0.8868307362057878
240,0.1,2,3,0.5,0.0,0.9718770961281894,0.7574820420896049,5,2813,85,500,6,MTransferTreeBoost,400,1.1116203997801082,0.865333307417912,1.1399184527807105,0.8934007199963236
245,0.1,2,3,0.5,0.01,0.9817591606319993,0.7712072825379408,5,2822,85,500,6,MTransferTreeBoost,400,1.1232997633438562,0.866873528082115,1.150206408435623,0.8918586648562348
125,0.1,1,3,0.9,0.01,0.9817721518885485,0.7779139111641267,5,2744,85,500,6,MTransferTreeBoost,400,1.153175179624353,0.8872865128395694,1.1769602956095129,0.9115125585441158
360,0.1,3,3,0.1,0.0,0.9821480014459624,0.7797125917156901,5,2891,85,500,6,MTransferTreeBoost,400,1.1164684678917025,0.8737088145974448,1.127305193480378,0.8846044702467218
105,0.1,1,3,0.5,0.0,0.992818345711342,0.7875532905475737,5,2732,85,500,6,MTransferTreeBoost,400,1.1475113120481484,0.8924974267804976,1.1638199250822698,0.904732924872021
110,0.1,1,3,0.5,0.01,0.9970091124693878,0.7913035119186174,5,2741,85,500,6,MTransferTreeBoost,400,1.1621296952165536,0.9013698381112216,1.1640149074445214,0.9072690580843068
45,0.1,1,2,0.1,0.0,0.9993773807125947,0.8015988170712159,5,2702,85,500,6,MTransferTreeBoost,400,1.1295691117377744,0.88958106062883,1.1514311820103509,0.90460523180553
385,0.1,3,3,0.5,0.05,1.0054391312154691,0.7888620880323136,5,2912,85,500,6,MTransferTreeBoost,400,1.130762540775622,0.8761404069538692,1.1813953888447144,0.9175163889501808
370,0.1,3,3,0.1,0.05,1.0055563435968295,0.7894596973820758,5,2909,85,500,6,MTransferTreeBoost,400,1.1214738735765797,0.8724279209461479,1.1246095418382955,0.881724545162657
265,0.1,2,3,0.9,0.05,1.0073753223095825,0.790651524208398,5,2834,85,500,6,MTransferTreeBoost,400,1.1624914898236254,0.901684770016332,1.2022813778420387,0.9349504882528098
365,0.1,3,3,0.1,0.01,1.0092240188896466,0.7860205900148545,5,2900,85,500,6,MTransferTreeBoost,400,1.1227105527092789,0.8705572414019621,1.15590549080383,0.8978701863051815
190,0.1,2,2,0.1,0.05,1.0098325300131061,0.8045753386600136,5,2801,85,500,6,MTransferTreeBoost,400,1.1286252647467658,0.8737185333760618,1.155743736770197,0.8987554758320627
70,0.1,1,2,0.5,0.05,1.0143089160329617,0.8112371005041694,5,2723,85,500,6,MTransferTreeBoost,400,1.149766300299618,0.8899504401397663,1.1867863340295208,0.9121340373454576
270,0.1,3,1,0.1,0.0,1.0209096968100921,0.8108077415238262,5,2837,85,500,6,MTransferTreeBoost,400,1.1268158375583246,0.8917429458512133,1.1600695232696097,0.9210234220823498
225,0.1,2,3,0.1,0.0,1.0211324696105177,0.8069230593125661,5,2810,85,500,6,MTransferTreeBoost,400,1.150997635290547,0.8939240440201927,1.185426903023975,0.9141131918620397
55,0.1,1,2,0.1,0.05,1.0253870048394915,0.8213318029596129,5,2720,85,500,6,MTransferTreeBoost,400,1.1546619339512312,0.9033977127000132,1.1662078794683748,0.9141029669430796
85,0.1,1,2,0.9,0.05,1.02693075816047,0.8139204046285975,5,2726,85,500,6,MTransferTreeBoost,400,1.137132294664614,0.8853063245253138,1.188896311165026,0.914948384938171
90,0.1,1,3,0.1,0.0,1.0272833103122476,0.820390916327076,5,2729,85,500,6,MTransferTreeBoost,400,1.1864853298015203,0.9188936134472168,1.200843261373688,0.9373100226383396
290,0.1,3,1,0.5,0.01,1.0276773409349216,0.8151186099109639,5,2849,85,500,6,MTransferTreeBoost,400,1.1254073977447294,0.8931170330738513,1.1695210080531109,0.9318091107290234
50,0.1,1,2,0.1,0.01,1.0298226523674805,0.8275928344546145,5,2711,85,500,6,MTransferTreeBoost,400,1.126277014107795,0.8882706881261381,1.135028654335955,0.8906752794974818
275,0.1,3,1,0.1,0.01,1.0312373329900466,0.8236136961372713,5,2846,85,500,6,MTransferTreeBoost,400,1.1366776864971642,0.9050623426711804,1.1594533401102012,0.9254214955261942
250,0.1,2,3,0.5,0.05,1.035423231396829,0.8172472103208509,5,2831,85,500,6,MTransferTreeBoost,400,1.1589455435192868,0.8973891635807081,1.1979553364824096,0.9280842567204396
230,0.1,2,3,0.1,0.01,1.0369807355098029,0.8234053710678679,5,2819,85,500,6,MTransferTreeBoost,400,1.1504927806431533,0.8913622133426367,1.1809341064425811,0.91445045622629
130,0.1,1,3,0.9,0.05,1.0378588018660653,0.8209969640928627,5,2753,85,500,6,MTransferTreeBoost,400,1.1888649321271318,0.9236596158208992,1.205132701369405,0.9443145980238262
235,0.1,2,3,0.1,0.05,1.0475280301040528,0.8236636810641753,5,2828,85,500,6,MTransferTreeBoost,400,1.129856824854116,0.8672847983958802,1.16410501198853,0.9007591617403388
95,0.1,1,3,0.1,0.01,1.0484286190524865,0.8303578268246827,5,2738,85,500,6,MTransferTreeBoost,400,1.1342431878110382,0.879650181505793,1.1561850472659163,0.8986721047502668
310,0.1,3,1,0.9,0.05,1.0503909634539985,0.8410589836216875,5,2861,85,500,6,MTransferTreeBoost,400,1.1242280560562614,0.8968228532242439,1.1572569963657735,0.9239463701273752
295,0.1,3,1,0.5,0.05,1.0505345943861992,0.8394983235573991,5,2858,85,500,6,MTransferTreeBoost,400,1.1473767428833397,0.911351384802645,1.1849475004021266,0.938227506470592
140,0.1,2,1,0.1,0.01,1.0527500469634328,0.8404294310890593,5,2765,85,500,6,MTransferTreeBoost,400,1.1595700707951626,0.9189295286496596,1.191335887273718,0.9435272307304674
135,0.1,2,1,0.1,0.0,1.0538774562521975,0.844519905455295,5,2756,85,500,6,MTransferTreeBoost,400,1.1380093307551056,0.9065867844957848,1.165693336461028,0.9282824837352116
175,0.1,2,1,0.9,0.05,1.0539083592588183,0.8384098971493723,5,2780,85,500,6,MTransferTreeBoost,400,1.1728130442196507,0.9263930727775782,1.2113671389666625,0.9573985045606545
285,0.1,3,1,0.5,0.0,1.0620642187546436,0.8490674797438919,5,2840,85,500,6,MTransferTreeBoost,400,1.1225023305162634,0.895421587691722,1.1542011044446228,0.9191769355311163
0,0.1,1,1,0.1,0.0,1.0718040068164476,0.8482142267811874,5,2675,85,500,6,MTransferTreeBoost,400,1.200938556822854,0.942480939439826,1.2271560347140833,0.967627320528432
155,0.1,2,1,0.5,0.01,1.07675934728829,0.8597110683010094,5,2768,85,500,6,MTransferTreeBoost,400,1.1339708409799525,0.8930789093848509,1.166542946834007,0.918888314263134
20,0.1,1,1,0.5,0.01,1.0780136567983785,0.8521218796857266,5,2687,85,500,6,MTransferTreeBoost,400,1.1594560520809465,0.915903401229122,1.1856761887000775,0.932505519554949
160,0.1,2,1,0.5,0.05,1.0800824517909557,0.8623995871866272,5,2777,85,500,6,MTransferTreeBoost,400,1.1926493128077202,0.940904424847624,1.2325425061904638,0.9752338483352012
115,0.1,1,3,0.5,0.05,1.081704593266988,0.8560893660716816,5,2750,85,500,6,MTransferTreeBoost,400,1.1716221788136854,0.9066566597865476,1.1897993422170885,0.924660134376307
280,0.1,3,1,0.1,0.05,1.089458039044399,0.8699558391155365,5,2855,85,500,6,MTransferTreeBoost,400,1.3155002735943595,1.055594253079052,1.344324393610634,1.086544020711916
150,0.1,2,1,0.5,0.0,1.0919692827322762,0.8760114985812552,5,2759,85,500,6,MTransferTreeBoost,400,1.125718185514534,0.8983202069031536,1.1554221807050264,0.920126643177678
