,n_samples,time (s),Method
0,100,1.925732135772705,LAD
1,100,2.0751609802246094,LAD
2,100,2.0333924293518066,LAD
3,100,2.0696864128112793,LAD
4,100,2.054615020751953,LAD
5,100,2.047234058380127,LAD
6,100,2.085320472717285,LAD
7,100,2.815282106399536,LAD
8,100,3.383654832839966,LAD
9,100,3.566592216491699,LAD
10,100,3.8523991107940674,LAD
11,100,3.769573926925659,LAD
12,100,3.638970375061035,LAD
13,100,3.300143241882324,LAD
14,100,2.7450718879699707,LAD
15,100,1.9214210510253906,LAD
16,100,1.6741611957550049,LAD
