,n_samples,time (s),Method
0,100,1.5243468284606934,LAD
1,100,1.431687593460083,LAD
2,100,1.4199473857879639,LAD
3,100,1.4408924579620361,LAD
4,100,1.4247136116027832,LAD
5,100,1.4599738121032715,LAD
6,100,1.429224967956543,LAD
7,100,1.446455955505371,LAD
8,100,1.449258804321289,LAD
9,100,1.4541022777557373,LAD
10,100,1.4593174457550049,LAD
11,100,1.4939024448394775,LAD
12,100,1.4884529113769531,LAD
13,100,1.4949092864990234,LAD
14,100,1.528735876083374,LAD
15,100,1.5562214851379395,LAD
16,100,1.5350472927093506,LAD
17,100,1.5465047359466553,LAD
18,100,1.5239624977111816,LAD
19,100,1.5110177993774414,LAD
20,100,1.5060920715332031,LAD
21,100,1.4940626621246338,LAD
22,100,1.4588875770568848,LAD
23,100,1.4670751094818115,LAD
24,100,1.4890930652618408,LAD
25,100,1.473088026046753,LAD
26,100,1.4740643501281738,LAD
27,100,1.4707262516021729,LAD
28,100,1.4455816745758057,LAD
29,100,1.4741325378417969,LAD
30,100,1.4813003540039062,LAD
31,100,1.4806430339813232,LAD
32,100,1.4401764869689941,LAD
33,100,1.446505069732666,LAD
34,100,1.4512755870819092,LAD
35,100,1.4606719017028809,LAD
36,100,1.462040901184082,LAD
37,100,1.4973762035369873,LAD
38,100,1.4745581150054932,LAD
39,100,1.4565041065216064,LAD
40,100,1.459000587463379,LAD
41,100,1.5503284931182861,LAD
42,100,1.4641871452331543,LAD
43,100,1.4640674591064453,LAD
44,100,1.45969557762146,LAD
45,100,1.470574140548706,LAD
46,100,1.4676542282104492,LAD
47,100,1.532485008239746,LAD
48,100,1.5449140071868896,LAD
49,100,1.542311191558838,LAD
50,200,1.7355873584747314,LAD
51,200,1.7101409435272217,LAD
52,200,1.7209773063659668,LAD
53,200,1.6843299865722656,LAD
54,200,1.7451775074005127,LAD
55,200,1.736637830734253,LAD
56,200,1.724534511566162,LAD
57,200,1.7526800632476807,LAD
58,200,1.6569201946258545,LAD
59,200,1.7344293594360352,LAD
60,200,1.7833342552185059,LAD
61,200,1.7479515075683594,LAD
62,200,1.7517132759094238,LAD
63,200,1.6933350563049316,LAD
64,200,1.7662127017974854,LAD
65,200,1.8122203350067139,LAD
66,200,1.767808198928833,LAD
67,200,1.735025405883789,LAD
68,200,1.7045793533325195,LAD
69,200,1.7074627876281738,LAD
70,200,1.7313270568847656,LAD
71,200,1.7556078433990479,LAD
72,200,1.670487403869629,LAD
73,200,1.7285799980163574,LAD
74,200,1.710026502609253,LAD
75,200,1.7000222206115723,LAD
76,200,1.739326000213623,LAD
77,200,1.795173168182373,LAD
78,200,1.671560287475586,LAD
79,200,1.7055816650390625,LAD
80,200,1.6991267204284668,LAD
81,200,1.6492259502410889,LAD
82,200,1.643678903579712,LAD
83,200,1.6915271282196045,LAD
84,200,1.7220096588134766,LAD
85,200,1.66434645652771,LAD
86,200,1.7172210216522217,LAD
87,200,1.7385601997375488,LAD
88,200,1.7518575191497803,LAD
89,200,1.7732141017913818,LAD
90,200,1.7615606784820557,LAD
91,200,1.7624900341033936,LAD
92,200,1.7542455196380615,LAD
93,200,1.7503437995910645,LAD
