,seed,method,rmse,mae
0,8,LSTransferTreeBoost,1.5117124020484853,1.1975216747676136
1,8,LADTransferTreeBoost,1.5083608778173803,1.180521803205892
2,9,LSTransferTreeBoost,1.4625911570994168,1.1551627632597778
3,9,LADTransferTreeBoost,1.692143574710317,1.3416695341657128
4,10,LSTransferTreeBoost,1.3049881258309401,1.0348753874629757
5,10,LADTransferTreeBoost,1.4073845754829957,1.1086657158279956
6,11,LSTransferTreeBoost,1.406827492098106,1.1158618055066771
7,11,LADTransferTreeBoost,1.7987464216855584,1.4063567898674474
8,12,LSTransferTreeBoost,1.4667690151940884,1.1485381725119939
9,12,LADTransferTreeBoost,1.668057927696955,1.2988849158178701
10,13,LSTransferTreeBoost,1.4013587161994772,1.1244038448357265
11,13,LADTransferTreeBoost,1.6690634856153401,1.3478528019520468
12,14,LSTransferTreeBoost,1.5799700938390913,1.2640084307622206
13,14,LADTransferTreeBoost,1.8181978362109057,1.4287889802026752
14,15,LSTransferTreeBoost,1.4371414120473698,1.129297437299622
15,15,LADTransferTreeBoost,1.6034563892308489,1.2375818376501437
16,16,LSTransferTreeBoost,1.3823331460135233,1.1243527450238184
17,16,LADTransferTreeBoost,1.5938139779122085,1.2691707164081676
18,17,LSTransferTreeBoost,1.3094220519540265,1.0286304278408231
19,17,LADTransferTreeBoost,1.4846030486986244,1.1779551747140493
20,18,LSTransferTreeBoost,1.4030932721511777,1.1153571960072208
21,18,LADTransferTreeBoost,4.202294079117243,3.43888703195532
22,19,LSTransferTreeBoost,1.459684783721332,1.1529325253469227
23,19,LADTransferTreeBoost,1.6868183407635833,1.323049654330733
24,20,LSTransferTreeBoost,1.5366131387507662,1.2152615974267407
25,20,LADTransferTreeBoost,1.5716095410470543,1.2514980724410913
26,21,LSTransferTreeBoost,1.2798833565455776,1.0299541861709633
27,21,LADTransferTreeBoost,1.328447582147175,1.053703916880035
28,22,LSTransferTreeBoost,1.5001627164966091,1.1982846580120212
29,22,LADTransferTreeBoost,1.8488974133858855,1.4909666575970286
30,23,LSTransferTreeBoost,1.5665078989973762,1.2565996107836732
31,23,LADTransferTreeBoost,1.7663892759119362,1.392737479192659
32,24,LSTransferTreeBoost,1.468248659153788,1.1737915589784202
33,24,LADTransferTreeBoost,1.5429789265126659,1.21432798393248
34,25,LSTransferTreeBoost,1.6016118754267215,1.2644230573442743
35,25,LADTransferTreeBoost,1.6267295573941516,1.2886528535795219
36,26,LSTransferTreeBoost,1.4720278443313122,1.179013322424099
37,26,LADTransferTreeBoost,1.5758406963777134,1.2440063828303833
38,27,LSTransferTreeBoost,1.4214809663953516,1.1240429767712825
39,27,LADTransferTreeBoost,1.5522578114949244,1.2363314871902864
