,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,1,6,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1000,1.6933880709119653,1.3685997076090162,1.741320358305723,1.4122953087590584
1,1,6,LADTransferTreeBoost,0.05,1,1,0.01,0.5,1000,1.8168785401353431,1.4573106191440603,1.8327575019328324,1.465450731148724
2,1,6,MTransferTreeBoost,0.05,1,1,0.01,0.5,1000,2.368190505616541,1.8966737369084057,2.440003406364684,1.9580276167911566
3,1,6,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1000,1.6958960216213712,1.3708793898434237,1.7445800095090338,1.415062327403042
4,1,6,LADTransferTreeBoost,0.05,1,1,0.01,0.9,1000,2.014764806921627,1.6231806139090823,2.0471700646746807,1.6358729646644934
5,1,6,MTransferTreeBoost,0.05,1,1,0.01,0.9,1000,2.626291811912804,2.114295241745819,2.7175492712932927,2.1847402202541026
6,1,6,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1000,1.6870256104014905,1.3637516822290112,1.7363043056494396,1.4075026390331213
7,1,6,LADTransferTreeBoost,0.05,1,1,0.05,0.5,1000,2.0116275469705527,1.6206118070999422,2.0471289732955014,1.6358223418572992
8,1,6,MTransferTreeBoost,0.05,1,1,0.05,0.5,1000,2.728998599003646,2.1939380476167814,2.829391024859785,2.278150982445582
9,1,6,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1000,1.6668020594250206,1.3484961805274533,1.716364695021384,1.39248957887022
10,1,6,LADTransferTreeBoost,0.05,1,1,0.05,0.9,1000,1.9577026856186215,1.5759652573482434,1.9916043630259903,1.5887179027242335
11,1,6,MTransferTreeBoost,0.05,1,1,0.05,0.9,1000,2.5481439032729756,2.046444062223921,2.6269575829290255,2.1123798264278277
12,1,6,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1000,1.5146802781747093,1.21204275367163,1.570213044594072,1.2926458276868624
13,1,6,LADTransferTreeBoost,0.05,1,2,0.01,0.5,1000,1.619144001705174,1.2844851802195607,1.667494271108606,1.3419739631915513
14,1,6,MTransferTreeBoost,0.05,1,2,0.01,0.5,1000,1.4132723523443347,1.1352120866275013,1.4290699520088304,1.1515950205203336
15,1,6,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1000,1.5186585004245878,1.2193076054212648,1.5707451976992373,1.2940640192610482
16,1,6,LADTransferTreeBoost,0.05,1,2,0.01,0.9,1000,1.6040888253545247,1.2820066089370072,1.6506309483969124,1.3304461098994291
17,1,6,MTransferTreeBoost,0.05,1,2,0.01,0.9,1000,1.4282069620685207,1.1520345470157818,1.4392035200494278,1.1553621222201673
18,1,6,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1000,1.489915281807111,1.1885750941370476,1.5389498290783497,1.2664752909983756
19,1,6,LADTransferTreeBoost,0.05,1,2,0.05,0.5,1000,1.6397393737079178,1.3025845709321473,1.6816532381024123,1.351578825878227
20,1,6,MTransferTreeBoost,0.05,1,2,0.05,0.5,1000,1.5606603771083736,1.238773631800008,1.5616436487479999,1.2341523423242622
21,1,6,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1000,1.4745707284093819,1.172994292988531,1.5246262109478628,1.2528065490975886
22,1,6,LADTransferTreeBoost,0.05,1,2,0.05,0.9,1000,1.6204238349130724,1.2900559629205708,1.6617572842495576,1.3287176035911392
23,1,6,MTransferTreeBoost,0.05,1,2,0.05,0.9,1000,1.423950008097014,1.1472977636021684,1.4314889097839976,1.152063795137165
24,1,6,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1000,1.6933880709119657,1.3685997076090162,1.7413203583057233,1.4122953087590586
25,1,6,LADTransferTreeBoost,0.05,2,1,0.01,0.5,1000,1.955098252609208,1.572103671355758,1.989487734976692,1.5885407699569978
26,1,6,MTransferTreeBoost,0.05,2,1,0.01,0.5,1000,2.368190505616541,1.8966737369084057,2.440003406364684,1.9580276167911566
27,1,6,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1000,1.6958960216213705,1.370879389843423,1.7445800095090334,1.4150623274030418
28,1,6,LADTransferTreeBoost,0.05,2,1,0.01,0.9,1000,2.014764806921627,1.6231806139090823,2.0471700646746807,1.6358729646644934
29,1,6,MTransferTreeBoost,0.05,2,1,0.01,0.9,1000,2.626291811912804,2.114295241745819,2.7175492712932927,2.1847402202541026
30,1,6,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1000,1.6870256104014905,1.363751682229011,1.7363043056494396,1.4075026390331213
31,1,6,LADTransferTreeBoost,0.05,2,1,0.05,0.5,1000,2.0116275469705527,1.6206118070999422,2.0471289732955014,1.6358223418572992
32,1,6,MTransferTreeBoost,0.05,2,1,0.05,0.5,1000,2.728998599003646,2.1939380476167814,2.829391024859785,2.278150982445582
33,1,6,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1000,1.6668020594250208,1.3484961805274533,1.716364695021384,1.39248957887022
34,1,6,LADTransferTreeBoost,0.05,2,1,0.05,0.9,1000,1.9577026856186215,1.5759652573482434,1.9916043630259903,1.5887179027242335
35,1,6,MTransferTreeBoost,0.05,2,1,0.05,0.9,1000,2.5481439032729756,2.046444062223921,2.6269575829290255,2.1123798264278277
36,1,6,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1000,1.514680278174709,1.21204275367163,1.5702130445940718,1.2926458276868624
37,1,6,LADTransferTreeBoost,0.05,2,2,0.01,0.5,1000,1.597471839517345,1.2723994252683937,1.6470294959505039,1.3208483068754957
38,1,6,MTransferTreeBoost,0.05,2,2,0.01,0.5,1000,1.4132723523443347,1.1352120866275013,1.4290699520088304,1.1515950205203336
39,1,6,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1000,1.5186585004245883,1.2193076054212653,1.5707451976992377,1.2940640192610486
40,1,6,LADTransferTreeBoost,0.05,2,2,0.01,0.9,1000,1.5965108894888747,1.2650713530998636,1.6395736996483525,1.3173481602497399
41,1,6,MTransferTreeBoost,0.05,2,2,0.01,0.9,1000,1.4282069620685207,1.1520345470157818,1.4392035200494278,1.1553621222201673
42,1,6,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1000,1.489915281807111,1.1885750941370479,1.5389498290783497,1.2664752909983756
43,1,6,LADTransferTreeBoost,0.05,2,2,0.05,0.5,1000,1.5987123140429154,1.273496239010922,1.6482146150864962,1.3263602949286901
44,1,6,MTransferTreeBoost,0.05,2,2,0.05,0.5,1000,1.5606603771083736,1.238773631800008,1.5616436487479999,1.2341523423242622
45,1,6,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1000,1.4745707284093819,1.1729942929885306,1.5246262109478625,1.2528065490975886
46,1,6,LADTransferTreeBoost,0.05,2,2,0.05,0.9,1000,1.6443803837853384,1.3072958486401827,1.679413451954664,1.3568386221830917
47,1,6,MTransferTreeBoost,0.05,2,2,0.05,0.9,1000,1.423950008097014,1.1472977636021684,1.4314889097839976,1.152063795137165
48,1,6,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1000,1.6772796305243591,1.3582776528773146,1.723038053581712,1.4022309982619308
49,1,6,LADTransferTreeBoost,0.1,1,1,0.01,0.5,1000,1.8894793612515663,1.514932934967688,1.910001865165741,1.523083984329673
50,1,6,MTransferTreeBoost,0.1,1,1,0.01,0.5,1000,1.6721650383447408,1.362967866821778,1.708778836249583,1.3840480108120883
51,1,6,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1000,1.607388189409083,1.3041381097722282,1.6499770357443888,1.3457312992162487
52,1,6,LADTransferTreeBoost,0.1,1,1,0.01,0.9,1000,1.7778485591772961,1.4276751933790983,1.7940109025823796,1.4351131434914142
53,1,6,MTransferTreeBoost,0.1,1,1,0.01,0.9,1000,1.6512306294492258,1.3405503114242783,1.6833888815261064,1.3627297282030895
54,1,6,LSTransferTreeBoost,0.1,1,1,0.05,0.5,1000,1.6539752608390943,1.3383008789901931,1.704591176718136,1.3857303602606763
55,1,6,LADTransferTreeBoost,0.1,1,1,0.05,0.5,1000,1.9824393281292148,1.5960147464139671,2.0136216199928696,1.604104010303237
56,1,6,MTransferTreeBoost,0.1,1,1,0.05,0.5,1000,1.6407327030158547,1.3332274704105702,1.6790941007615336,1.3604118302178678
57,1,6,LSTransferTreeBoost,0.1,1,1,0.05,0.9,1000,1.6471861913858412,1.3336729261303595,1.6917532053285955,1.3787258190670217
58,1,6,LADTransferTreeBoost,0.1,1,1,0.05,0.9,1000,1.6891670766922058,1.3550376518689613,1.7040131650432446,1.3673562072836807
59,1,6,MTransferTreeBoost,0.1,1,1,0.05,0.9,1000,1.6430919725987383,1.3375812872496728,1.6796497237988446,1.3650017293256012
60,1,6,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1000,1.4550252878530956,1.1658770802724394,1.5052493639838127,1.2416434247125976
61,1,6,LADTransferTreeBoost,0.1,1,2,0.01,0.5,1000,1.5628928290217357,1.2458215661954792,1.5969087668451987,1.280103932800013
62,1,6,MTransferTreeBoost,0.1,1,2,0.01,0.5,1000,1.3874259191676874,1.114720614071766,1.4176649733616733,1.136823073825666
63,1,6,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1000,1.5201985780241152,1.213742764070325,1.5630061119410033,1.2857031442404099
64,1,6,LADTransferTreeBoost,0.1,1,2,0.01,0.9,1000,1.6282087634138396,1.292214932334582,1.6729068541740302,1.3428537250865233
65,1,6,MTransferTreeBoost,0.1,1,2,0.01,0.9,1000,1.352641487098497,1.087227826025323,1.3922670743239831,1.123728326186233
66,1,6,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1000,1.5004543242455675,1.193497785948081,1.5300255224192343,1.2562022049603347
67,1,6,LADTransferTreeBoost,0.1,1,2,0.05,0.5,1000,1.6082615178392081,1.2864775202378849,1.658812385879775,1.335718694716144
68,1,6,MTransferTreeBoost,0.1,1,2,0.05,0.5,1000,1.4718244074541067,1.1845007230045907,1.5022856634088158,1.20399039318621
69,1,6,LSTransferTreeBoost,0.1,1,2,0.05,0.9,1000,1.469597183857544,1.1711034956777444,1.508317315736453,1.2443444571057907
70,1,6,LADTransferTreeBoost,0.1,1,2,0.05,0.9,1000,1.6774584864614688,1.3434385748440063,1.7098102503895498,1.3828805804725106
71,1,6,MTransferTreeBoost,0.1,1,2,0.05,0.9,1000,1.4450237689510295,1.1663155575321602,1.441214813687646,1.1600974536713438
72,1,6,LSTransferTreeBoost,0.1,2,1,0.01,0.5,1000,1.6772796305243591,1.3582776528773146,1.723038053581712,1.4022309982619308
73,1,6,LADTransferTreeBoost,0.1,2,1,0.01,0.5,1000,1.8894793612515663,1.514932934967688,1.910001865165741,1.523083984329673
74,1,6,MTransferTreeBoost,0.1,2,1,0.01,0.5,1000,1.6721650383447408,1.362967866821778,1.708778836249583,1.3840480108120883
75,1,6,LSTransferTreeBoost,0.1,2,1,0.01,0.9,1000,1.6073881894090833,1.3041381097722282,1.649977035744389,1.3457312992162487
76,1,6,LADTransferTreeBoost,0.1,2,1,0.01,0.9,1000,1.7244990220035212,1.382904781517697,1.7359409281522624,1.38506742885015
77,1,6,MTransferTreeBoost,0.1,2,1,0.01,0.9,1000,1.6512306294492258,1.3405503114242783,1.6833888815261064,1.3627297282030895
78,1,6,LSTransferTreeBoost,0.1,2,1,0.05,0.5,1000,1.6539752608390947,1.3383008789901933,1.7045911767181365,1.3857303602606765
79,1,6,LADTransferTreeBoost,0.1,2,1,0.05,0.5,1000,1.9824393281292148,1.5960147464139671,2.0136216199928696,1.604104010303237
80,1,6,MTransferTreeBoost,0.1,2,1,0.05,0.5,1000,1.6407327030158547,1.3332274704105702,1.6790941007615336,1.3604118302178678
81,1,6,LSTransferTreeBoost,0.1,2,1,0.05,0.9,1000,1.647186191385841,1.3336729261303595,1.6917532053285955,1.3787258190670217
82,1,6,LADTransferTreeBoost,0.1,2,1,0.05,0.9,1000,2.030513359449377,1.6369440762730634,2.074946767853935,1.6582951725933714
83,1,6,MTransferTreeBoost,0.1,2,1,0.05,0.9,1000,1.6430919725987383,1.3375812872496728,1.6796497237988446,1.3650017293256012
84,1,6,LSTransferTreeBoost,0.1,2,2,0.01,0.5,1000,1.455025287853096,1.1658770802724399,1.5052493639838127,1.2416434247125976
85,1,6,LADTransferTreeBoost,0.1,2,2,0.01,0.5,1000,1.5593435859984026,1.2401234232833878,1.6036458140018046,1.286573169850927
86,1,6,MTransferTreeBoost,0.1,2,2,0.01,0.5,1000,1.3874259191676874,1.114720614071766,1.4176649733616733,1.136823073825666
87,1,6,LSTransferTreeBoost,0.1,2,2,0.01,0.9,1000,1.520198578024115,1.2137427640703249,1.5630061119410033,1.2857031442404099
88,1,6,LADTransferTreeBoost,0.1,2,2,0.01,0.9,1000,1.8267843642415758,1.4531266105301157,1.8854173326633672,1.513320551072448
89,1,6,MTransferTreeBoost,0.1,2,2,0.01,0.9,1000,1.352641487098497,1.087227826025323,1.3922670743239831,1.123728326186233
90,1,6,LSTransferTreeBoost,0.1,2,2,0.05,0.5,1000,1.5004543242455677,1.1934977859480813,1.5300255224192343,1.256202204960335
91,1,6,LADTransferTreeBoost,0.1,2,2,0.05,0.5,1000,1.6199439986371562,1.2917411994793273,1.6736434958965716,1.3450561233159848
92,1,6,MTransferTreeBoost,0.1,2,2,0.05,0.5,1000,1.4718244074541067,1.1845007230045907,1.5022856634088158,1.20399039318621
93,1,6,LSTransferTreeBoost,0.1,2,2,0.05,0.9,1000,1.469597183857544,1.1711034956777444,1.508317315736453,1.2443444571057907
94,1,6,LADTransferTreeBoost,0.1,2,2,0.05,0.9,1000,1.6082139981824195,1.2792564507562774,1.646987259241869,1.324447873778789
95,1,6,MTransferTreeBoost,0.1,2,2,0.05,0.9,1000,1.4450237689510295,1.1663155575321602,1.441214813687646,1.1600974536713438
96,2,6,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1000,1.5772720802309903,1.2399484443230322,1.4668178962652851,1.1745723038022624
97,2,6,LADTransferTreeBoost,0.05,1,1,0.01,0.5,1000,2.1121714717430966,1.6357309424090263,1.9838013855082326,1.5478029657286148
98,2,6,MTransferTreeBoost,0.05,1,1,0.01,0.5,1000,1.8309005073016966,1.4197328026732396,1.7102400890466278,1.3404743878610843
99,2,6,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1000,1.5334018384905015,1.204452977686024,1.4258390936165801,1.1432699752563926
100,2,6,LADTransferTreeBoost,0.05,1,1,0.01,0.9,1000,2.1100871413495046,1.6378698399035747,1.9876243972020478,1.5502018929078525
101,2,6,MTransferTreeBoost,0.05,1,1,0.01,0.9,1000,1.8888505603836068,1.4558076870016143,1.764916230196062,1.378505718973601
102,2,6,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1000,1.5422749414371875,1.2112053282418238,1.4348703070047528,1.149875439865039
