,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,1,6,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1000,1.3571458456286278,1.073754903868314,1.4009572092733815,1.1085799306718396
1,1,6,LADTransferTreeBoost,0.05,1,1,0.01,0.5,1000,1.4721603647330943,1.1598476413677168,1.4707481856043088,1.1590740717433232
2,1,6,MTransferTreeBoost,0.05,1,1,0.01,0.5,1000,1.2436568040476819,0.9827749173569439,1.248368674552156,0.9867221772767738
3,1,6,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1000,1.3764098194487608,1.0876962257229394,1.4169177102474453,1.1189929599762987
4,1,6,LADTransferTreeBoost,0.05,1,1,0.01,0.9,1000,1.5226646339370982,1.200624271039851,1.5236347029948976,1.1995435861105652
5,1,6,MTransferTreeBoost,0.05,1,1,0.01,0.9,1000,1.4222697653952197,1.1177135755259724,1.4110485956491292,1.1192378745155784
6,1,6,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1000,1.3585084280594841,1.0730998625355155,1.398607278105642,1.1053801780316224
7,1,6,LADTransferTreeBoost,0.05,1,1,0.05,0.5,1000,1.4598246007309585,1.149983237629676,1.4460637604572546,1.1441903115529721
8,1,6,MTransferTreeBoost,0.05,1,1,0.05,0.5,1000,1.5196571519564204,1.1910042548722013,1.5102275966986765,1.190888072303359
9,1,6,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1000,1.3727526794401224,1.085410217449001,1.4140453533549064,1.1166501820493182
10,1,6,LADTransferTreeBoost,0.05,1,1,0.05,0.9,1000,1.4500178735767613,1.1410305018385816,1.4490652653273186,1.1413517513639526
11,1,6,MTransferTreeBoost,0.05,1,1,0.05,0.9,1000,1.3636567795780448,1.0702550341237478,1.3559369366454368,1.0723092746222638
12,1,6,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1000,1.2502562457794908,0.994474791479668,1.2586565972361021,0.9977909537531691
13,1,6,LADTransferTreeBoost,0.05,1,2,0.01,0.5,1000,1.2874248545202873,1.014298769917098,1.301344803168198,1.0294924140835244
14,1,6,MTransferTreeBoost,0.05,1,2,0.01,0.5,1000,1.1711855227271208,0.911831629305346,1.1957525923378438,0.9280465705307434
15,1,6,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1000,1.24376962658117,0.9872904186822021,1.2476398229525474,0.9862007866398779
16,1,6,LADTransferTreeBoost,0.05,1,2,0.01,0.9,1000,1.2888792568725305,1.0104239199325455,1.309835394219277,1.0308444431300736
17,1,6,MTransferTreeBoost,0.05,1,2,0.01,0.9,1000,1.2159818748010183,0.9500728006343453,1.236985280592019,0.95383226620104
18,1,6,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1000,1.2518490941997076,0.9919519821294053,1.2563855244387514,0.9900559610916928
19,1,6,LADTransferTreeBoost,0.05,1,2,0.05,0.5,1000,1.2577408375587684,0.98870948740186,1.2776630669062736,1.0049476305130887
20,1,6,MTransferTreeBoost,0.05,1,2,0.05,0.5,1000,1.1990837363951616,0.9369473451504267,1.234895869335762,0.9485705362604313
21,1,6,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1000,1.2750969568037869,1.0058622377399555,1.284822925988966,1.0186011587780794
22,1,6,LADTransferTreeBoost,0.05,1,2,0.05,0.9,1000,1.3085823498826472,1.0284974995463363,1.323678415160033,1.042176076366903
23,1,6,MTransferTreeBoost,0.05,1,2,0.05,0.9,1000,1.2191689796388705,0.9463822631970451,1.261619199187712,0.9685677190265803
24,1,6,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1000,1.357145845628628,1.073754903868314,1.4009572092733813,1.1085799306718396
25,1,6,LADTransferTreeBoost,0.05,2,1,0.01,0.5,1000,1.3867712371529775,1.0904271508969874,1.3900232782878807,1.0966600215145668
26,1,6,MTransferTreeBoost,0.05,2,1,0.01,0.5,1000,1.2436568040476954,0.9827749173569532,1.2483686745521663,0.9867221772767816
27,1,6,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1000,1.3764098194487608,1.0876962257229397,1.4169177102474453,1.1189929599762987
28,1,6,LADTransferTreeBoost,0.05,2,1,0.01,0.9,1000,1.4118221309749188,1.1109573589617985,1.4201296949912103,1.119540351143536
29,1,6,MTransferTreeBoost,0.05,2,1,0.01,0.9,1000,1.4222697653952197,1.1177135755259724,1.4110485956491292,1.1192378745155784
30,1,6,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1000,1.3585084280594844,1.0730998625355155,1.3986072781056422,1.1053801780316224
31,1,6,LADTransferTreeBoost,0.05,2,1,0.05,0.5,1000,1.4467056882819571,1.1392458301676907,1.4430705419775045,1.1367242004613631
32,1,6,MTransferTreeBoost,0.05,2,1,0.05,0.5,1000,1.5196571519564204,1.1910042548722013,1.5102275966986765,1.190888072303359
33,1,6,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1000,1.3727526794401226,1.0854102174490008,1.4140453533549064,1.1166501820493184
34,1,6,LADTransferTreeBoost,0.05,2,1,0.05,0.9,1000,1.4429025697414457,1.136892006126895,1.4402839124646991,1.134827320769415
35,1,6,MTransferTreeBoost,0.05,2,1,0.05,0.9,1000,1.3636567795780448,1.0702550341237478,1.3559369366454368,1.0723092746222638
36,1,6,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1000,1.2502562457794908,0.9944747914796681,1.2586565972361021,0.9977909537531692
37,1,6,LADTransferTreeBoost,0.05,2,2,0.01,0.5,1000,1.3261577373607993,1.0459482653205414,1.3500161538661621,1.0718060924780761
38,1,6,MTransferTreeBoost,0.05,2,2,0.01,0.5,1000,1.1711855227271208,0.9118316293053459,1.1957525923378436,0.9280465705307431
39,1,6,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1000,1.24376962658117,0.987290418682202,1.2476398229525472,0.9862007866398779
40,1,6,LADTransferTreeBoost,0.05,2,2,0.01,0.9,1000,1.3859085440776102,1.0844673782481822,1.3950091993940679,1.0972540912015547
41,1,6,MTransferTreeBoost,0.05,2,2,0.01,0.9,1000,1.2159818748009288,0.9500728006342144,1.236985280592008,0.9538322662010317
42,1,6,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1000,1.251849094199708,0.9919519821294055,1.2563855244387514,0.9900559610916928
43,1,6,LADTransferTreeBoost,0.05,2,2,0.05,0.5,1000,1.3156290187823698,1.031206118781528,1.328237899228222,1.0432018592457581
44,1,6,MTransferTreeBoost,0.05,2,2,0.05,0.5,1000,1.1990837363951614,0.9369473451504271,1.2348958693357617,0.9485705362604311
45,1,6,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1000,1.2750969568037869,1.0058622377399555,1.284822925988966,1.0186011587780794
46,1,6,LADTransferTreeBoost,0.05,2,2,0.05,0.9,1000,1.3185846735751499,1.0382953326914226,1.3417088041605312,1.063242594526908
47,1,6,MTransferTreeBoost,0.05,2,2,0.05,0.9,1000,1.2191689796388705,0.9463822631970445,1.2616191991877115,0.9685677190265797
48,1,6,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1000,1.3302075944271325,1.0574385304140739,1.372513879406429,1.0872627161837534
49,1,6,LADTransferTreeBoost,0.1,1,1,0.01,0.5,1000,1.3479151417413893,1.0630060930336365,1.3459852912738335,1.0593570484078105
50,1,6,MTransferTreeBoost,0.1,1,1,0.01,0.5,1000,1.2940461476223366,1.0202139778348698,1.2925009854839662,1.020594505382794
51,1,6,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1000,1.3561011618883314,1.0747309725006808,1.3945004192531778,1.1036117711915594
52,1,6,LADTransferTreeBoost,0.1,1,1,0.01,0.9,1000,1.4820342917816602,1.1694426406541512,1.4802679459748185,1.167475057328792
53,1,6,MTransferTreeBoost,0.1,1,1,0.01,0.9,1000,1.26158010309054,0.9972526618700845,1.2624694184875078,0.9994584875636227
54,1,6,LSTransferTreeBoost,0.1,1,1,0.05,0.5,1000,1.3312943286372199,1.0612817185337455,1.3673907304652315,1.0857499641551163
55,1,6,LADTransferTreeBoost,0.1,1,1,0.05,0.5,1000,1.3982854870561523,1.101053667225876,1.3957312528848171,1.1004651524355789
56,1,6,MTransferTreeBoost,0.1,1,1,0.05,0.5,1000,1.2976556683484919,1.0228381047752209,1.3037105621646743,1.0284655727320655
57,1,6,LSTransferTreeBoost,0.1,1,1,0.05,0.9,1000,1.343082533451383,1.067078474179822,1.3816647996620235,1.095115406917258
58,1,6,LADTransferTreeBoost,0.1,1,1,0.05,0.9,1000,1.373585391057216,1.0763257536918829,1.3757564938917126,1.0855205880432715
59,1,6,MTransferTreeBoost,0.1,1,1,0.05,0.9,1000,1.2753502795742722,1.009764798069666,1.2746736417218434,1.01057131440356
60,1,6,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1000,1.2535238896307141,0.9977306378469935,1.2634623798510742,0.9988808398248102
61,1,6,LADTransferTreeBoost,0.1,1,2,0.01,0.5,1000,1.3369278651248089,1.0479808380044484,1.3686322017099999,1.0811484284863564
62,1,6,MTransferTreeBoost,0.1,1,2,0.01,0.5,1000,1.11854553256337,0.8764425849323634,1.1065805378901925,0.8579380908043527
63,1,6,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1000,1.257591543026099,1.0020196855798835,1.271467902423739,1.006083386021672
64,1,6,LADTransferTreeBoost,0.1,1,2,0.01,0.9,1000,1.2246993186464625,0.9652630866565212,1.247203232080823,0.9913548006136482
65,1,6,MTransferTreeBoost,0.1,1,2,0.01,0.9,1000,1.129082160958221,0.8808339500028262,1.1364961006902357,0.8842776054516805
66,1,6,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1000,1.2531550278463703,0.9960731824357917,1.2683249103522856,0.9985048886157699
67,1,6,LADTransferTreeBoost,0.1,1,2,0.05,0.5,1000,1.3262636538555628,1.0429461146068608,1.3584882928265338,1.0748246097810497
68,1,6,MTransferTreeBoost,0.1,1,2,0.05,0.5,1000,1.138888732725787,0.8856642901806734,1.1716903156070149,0.9146392209015148
69,1,6,LSTransferTreeBoost,0.1,1,2,0.05,0.9,1000,1.2492141007680304,0.9955223174625141,1.2559545571133477,0.9978010446838272
70,1,6,LADTransferTreeBoost,0.1,1,2,0.05,0.9,1000,1.1911084697883456,0.9424066986310686,1.2022897105822845,0.950766521245373
71,1,6,MTransferTreeBoost,0.1,1,2,0.05,0.9,1000,1.1699633143469559,0.9054287208160429,1.2019347341191808,0.9163802865488233
72,1,6,LSTransferTreeBoost,0.1,2,1,0.01,0.5,1000,1.3302075944271325,1.057438530414074,1.3725138794064293,1.0872627161837534
73,1,6,LADTransferTreeBoost,0.1,2,1,0.01,0.5,1000,1.4062388834774968,1.109055390690418,1.4024430932012686,1.1052470364831342
74,1,6,MTransferTreeBoost,0.1,2,1,0.01,0.5,1000,1.2940461476223366,1.02021397783487,1.2925009854839664,1.0205945053827938
75,1,6,LSTransferTreeBoost,0.1,2,1,0.01,0.9,1000,1.3561011618883312,1.0747309725006804,1.3945004192531776,1.1036117711915592
76,1,6,LADTransferTreeBoost,0.1,2,1,0.01,0.9,1000,1.470673471604756,1.1600351341409745,1.4716549525537965,1.1606185585677256
77,1,6,MTransferTreeBoost,0.1,2,1,0.01,0.9,1000,1.26158010309054,0.9972526618700847,1.2624694184875078,0.9994584875636224
78,1,6,LSTransferTreeBoost,0.1,2,1,0.05,0.5,1000,1.3312943286372196,1.0612817185337455,1.3673907304652315,1.0857499641551165
