,seed,target_column,target_instances,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.3977266154940686,1.7904136290087882,2.5827934009689355,1.9493638196499357
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.3007207934983835,1.7134558082884643,2.4313050621485273,1.8093726323788022
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.3263580742016248,2.626676374743459,3.707486867451166,3.0145712858172287
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,2.8652857852809617,2.2217719341271023,3.1818958926216134,2.5320676929175066
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.4442511811644416,1.8267420467179454,2.6578444756107436,2.010421929105692
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.320958428184462,1.7199312705905812,2.45891488395512,1.8337470235415698
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,3.3598808310200625,2.646832508688752,3.6598101131133385,2.958026402609601
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,2.9385918971324196,2.2620646457207174,3.207146538677411,2.5249292983853495
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.3707152134760436,1.788078401918056,2.5198506002169156,1.879524914612209
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.374483918851291,1.7829825865570246,2.501427035012348,1.8696862559641674
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.5,3.555814399807269,2.8596297569424562,3.946563902658053,3.2348262432531207
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.9230082097244288,2.2613593141333386,3.2665352451098864,2.5889298839572823
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.5,2.3831674436240156,1.792047491187216,2.542365034535647,1.9116569759454223
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.9,2.368114470128689,1.7839623863508365,2.5100644748385434,1.8753485546213209
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.05,0.5,3.5742274181535074,2.896512091998085,3.8815549902074378,3.2001490874037635
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.05,0.9,2.874805792012311,2.228285989753456,3.1409529994996417,2.4710121624886483
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.314401100220904,1.7206382621617522,2.447050619172916,1.8288711894605076
