,seed,target_column,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,2,Hgv,475,TradaBoostR2,10,0.1,1,4.10250749607658,3.3115274857698136,4.00846354958913,3.174238508384021
1,1,Hgv,95,TradaBoostR2,10,0.1,1,5.601530441614978,4.6275305592794655,9.379481945865152,5.286287562925859
2,1,Hgv,665,TradaBoostR2,10,0.1,1,3.572254428913354,2.832019086962992,3.724719567305571,2.8842406746845826
3,2,Hgv,95,TradaBoostR2,10,0.1,1,6.017918395159758,4.731553673223917,8.981188769906238,5.455989332630553
4,1,Hgv,570,TradaBoostR2,10,0.1,1,3.657804924762443,2.9048770361430365,3.712272505659287,2.933049340226141
5,1,Hgv,760,TradaBoostR2,10,0.1,1,3.330870408745051,2.591872957706349,3.4326701042379373,2.640272686334131
6,1,Hgv,285,TradaBoostR2,10,0.1,1,4.430022322969525,3.5268137704531908,4.95860405047515,3.605221119661619
7,2,Hgv,190,TradaBoostR2,10,0.1,1,5.104765374586399,4.196135670217948,5.351307884773132,4.256340480020989
8,1,Hgv,190,TradaBoostR2,10,0.1,1,5.110519522111753,4.108162580863694,8.181794298622869,4.377473093523682
9,1,Hgv,475,TradaBoostR2,10,0.1,1,3.8545971746674144,3.067338783944007,3.8893618149691047,3.081120542062276
10,1,Hgv,855,TradaBoostR2,10,0.1,1,3.3217595500717114,2.571387044570294,3.4898418956858195,2.663260001173775
11,2,Hgv,380,TradaBoostR2,10,0.1,1,4.393022407324021,3.561654860029968,4.323898492246025,3.430911024065184
12,2,Hgv,285,TradaBoostR2,10,0.1,1,4.5595992672923416,3.728708567004208,4.503587252314931,3.630420735330984
13,1,Hgv,950,TradaBoostR2,10,0.1,1,3.254855372217243,2.5175633875984014,3.439933981954135,2.612726441343664
14,1,Hgv,380,TradaBoostR2,10,0.1,1,4.099906342779732,3.27184043864903,4.184863009989429,3.2650127087831846
15,1,Hgv,95,TradaBoostR2,10,0.1,2,27.157491558875613,7.89208707826024,29.38116194678016,8.581370144554448
16,2,Hgv,475,TradaBoostR2,10,0.1,2,35.09752887128811,4.9742915363023,5.201773545916951,3.42999391103615
17,1,Hgv,665,TradaBoostR2,10,0.1,2,4.033779935889447,3.0016967152038387,5.655762491077827,3.28751826408884
