,seed,target_column,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,1,Hgv,95,TradaBoostR2,10,0.1,1,2.8273424441010877,1.9636561702747943,2.910421118865859,1.910528480725401
1,1,Hgv,95,TradaBoostR2,10,0.1,2,3.848284486997168,2.3441434829494026,4.109249937314686,2.4835480617362866
2,2,Hgv,95,TradaBoostR2,10,0.1,1,3.011665872866072,1.8359772449882936,2.891577659253453,1.8158733042120008
3,2,Hgv,190,TradaBoostR2,10,0.1,1,2.541087350742883,1.621524630517735,2.4136575222543,1.7159549600262314
4,1,Hgv,95,TradaBoostR2,10,0.5,1,2.6830137943024845,1.972781686053816,2.822356860774714,2.003142315147238
5,1,Hgv,380,TradaBoostR2,10,0.1,1,2.2622243317766757,1.599159887324247,2.3294379268237537,1.648815984573336
6,2,Hgv,95,TradaBoostR2,10,0.1,2,65.75236325069648,9.185029060883934,15.73894354486262,6.407650281700868
7,2,Hgv,285,TradaBoostR2,10,0.1,1,2.083777977763936,1.4615991163243407,2.094339092452812,1.5117081429026449
8,2,Hgv,190,TradaBoostR2,10,0.1,2,2.325694281806044,1.644095814102183,2.5871715919799145,1.7189892816831438
9,1,Hgv,95,TradaBoostR2,10,0.5,2,4.129529911242399,2.6662915536483,5.105545810883561,2.8815365559242485
10,2,Hgv,95,TradaBoostR2,10,0.5,1,2.6300680421367977,1.8549688741490984,2.7568172192633984,1.964565594539757
11,1,Hgv,380,TradaBoostR2,10,0.1,2,4.123685886307299,2.255101141789367,4.348535827219182,2.3807016106284946
12,1,Hgv,380,TradaBoostR2,10,0.5,1,2.766673475962756,1.9371127235720096,2.8806446266795023,2.0270355831151026
13,2,Hgv,285,TradaBoostR2,10,0.1,2,2.1292222554365394,1.516185651742642,2.166742663791347,1.6181652194987373
14,2,Hgv,190,TradaBoostR2,10,0.5,1,2.2281105760284023,1.6508119590678454,2.303097547803689,1.7084604196260496
15,2,Hgv,95,TradaBoostR2,10,0.5,2,2.513318010917084,1.7966322698366963,2.4628542898695764,1.8349022521798903
16,2,Hgv,285,TradaBoostR2,10,0.5,1,2.409252834628397,1.7660848106155247,2.465833827263837,1.8267517735729373
