,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,50,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1000,162.3378378464939,119.17529087529296,168.4296458933974,123.73690712467658
1,50,1,LADTransferTreeBoost,0.05,1,1,0.01,0.5,1000,167.0353885349662,120.97592908899172,172.88922919920353,124.95133044841434
2,50,1,MTransferTreeBoost,0.05,1,1,0.01,0.5,1000,163.86902921497006,124.0527681030166,165.82422214909363,126.83578741039324
3,50,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1000,161.05292604672474,119.93851725028485,167.05405522854514,123.14055333716188
4,50,1,LADTransferTreeBoost,0.05,1,1,0.01,0.9,1000,175.13748926310143,124.52314426120984,180.27440760826408,129.10878529141644
5,50,1,MTransferTreeBoost,0.05,1,1,0.01,0.9,1000,165.7084925179016,125.3502270064012,166.47236285675683,126.42068206152628
6,50,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1000,165.95742726159614,120.19520819201894,174.01380734502072,126.9675425248233
7,50,1,LADTransferTreeBoost,0.05,1,1,0.05,0.5,1000,172.50909082406318,124.91373739867993,179.69743808024384,129.55782814606656
8,50,1,MTransferTreeBoost,0.05,1,1,0.05,0.5,1000,168.55684847456246,120.48670970711983,174.10829698932665,124.82754360361595
9,50,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1000,167.84007917926772,121.22205582042783,176.19652321762163,128.05081360426837
10,50,1,LADTransferTreeBoost,0.05,1,1,0.05,0.9,1000,182.33805759848656,129.83964335732435,188.1990726389186,134.73159327244375
11,50,1,MTransferTreeBoost,0.05,1,1,0.05,0.9,1000,161.5554045982623,117.73743781183532,165.00797969707222,121.82052357744841
12,50,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1000,98.96310294400729,72.80128249368046,104.24042031764387,77.49437683361782
13,50,1,LADTransferTreeBoost,0.05,1,2,0.01,0.5,1000,90.42086114211283,63.228487700305124,94.25852099210847,66.33623869038686
14,50,1,MTransferTreeBoost,0.05,1,2,0.01,0.5,1000,117.65187023666753,93.17081903518981,119.52952592029318,95.24152455051264
15,50,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1000,100.9399144942257,72.70256677184373,105.86703936465337,76.73747084340759
16,50,1,LADTransferTreeBoost,0.05,1,2,0.01,0.9,1000,87.58189417932981,59.83036835247565,92.41126297695509,63.88299337526632
17,50,1,MTransferTreeBoost,0.05,1,2,0.01,0.9,1000,117.40169072631959,93.59952912042124,121.00061682115756,96.87170251828147
18,50,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1000,97.7808928144991,72.97726116340577,101.54941773935873,77.16376051826263
19,50,1,LADTransferTreeBoost,0.05,1,2,0.05,0.5,1000,90.01481518368527,63.61463039871372,94.72720262277866,67.93142153888627
20,50,1,MTransferTreeBoost,0.05,1,2,0.05,0.5,1000,130.38664138933981,98.65814684473374,139.11747242344478,104.3579486730256
21,50,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1000,99.37766255561885,72.79376019743435,103.88789873650937,77.65112417658088
22,50,1,LADTransferTreeBoost,0.05,1,2,0.05,0.9,1000,87.5761054803762,63.10835927662772,91.81876101602595,67.03698591535533
23,50,1,MTransferTreeBoost,0.05,1,2,0.05,0.9,1000,124.27748298590727,99.10910076653708,129.51231904425336,103.38960589369724
24,50,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1000,112.0056004218886,79.20350230520127,118.20902957400703,83.3453971880945
25,50,1,LADTransferTreeBoost,0.05,2,1,0.01,0.5,1000,105.00768060917407,68.82087085441209,103.82389049378143,68.97693043742893
26,50,1,MTransferTreeBoost,0.05,2,1,0.01,0.5,1000,113.92898218716768,88.46838293805277,119.05254532844516,91.75268045018372
27,50,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1000,99.47553934126181,69.22832967563636,105.80985545357963,74.6469300846219
28,50,1,LADTransferTreeBoost,0.05,2,1,0.01,0.9,1000,80.87638095564392,54.450729081462235,79.58064952302405,54.024202201966986
29,50,1,MTransferTreeBoost,0.05,2,1,0.01,0.9,1000,123.5174208860493,95.65033149507094,126.78652830262693,98.83689129784543
30,50,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1000,219.1277331694724,155.93108591269234,232.66899156418418,167.0513825964427
31,50,1,LADTransferTreeBoost,0.05,2,1,0.05,0.5,1000,196.4853334394609,126.62018873966602,209.5782518804911,137.6364428095771
32,50,1,MTransferTreeBoost,0.05,2,1,0.05,0.5,1000,243.57758665890023,176.3571948455604,259.78993985911603,188.66719255944375
33,50,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1000,128.07759339256498,87.50401114926618,137.88784026346937,94.6283847760435
