,seed,target_column,target_instances,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.44552187808395,1.8433735140542697,2.5812901781629276,1.9586065897099991
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.3756946910868995,1.7751161723981965,2.4956719613975187,1.8705262380653243
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.152892538312675,2.4401352346730545,3.503651648657616,2.795971304913324
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,2.7554048938609594,2.094787003563014,3.0196279780600923,2.356899100141507
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.489381090724162,1.8759477771979256,2.6655133096679116,2.020749557727799
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.3945574915534436,1.7983428518539313,2.5131902427804427,1.8962332120857848
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,3.2209429590331906,2.514815157533378,3.5127476742459396,2.809568968018536
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,2.8064974878471807,2.137757541525666,3.040283872217927,2.3646029119805854
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.3368054130547655,1.7332549022036563,2.486584323097769,1.8507838147642834
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.301427847766863,1.6879408415866586,2.4560316933737094,1.8056528275418886
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.5,3.7631745515602524,3.090547948429845,4.180824508428029,3.463509450643102
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.885036308061337,2.236401747604115,3.2226030933150223,2.5557481812971385
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.5,2.380369887126921,1.7720387770399104,2.570782481633722,1.9230883268234404
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.9,2.3341015487269825,1.7357217398967533,2.468602687586778,1.8419791047318286
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.05,0.5,3.6925452953553477,3.017443750010842,4.007653072678204,3.3207069265828184
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.05,0.9,3.016517313897551,2.3631642826954935,3.2916091045256053,2.6206682413255855
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.4146968901601347,1.8247622521598756,2.5334001914495317,1.9160932393688157
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.01,0.9,2.3571524211406922,1.7490510630600176,2.4688837348662602,1.8400192434548273
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.05,0.5,2.7093803194793065,2.0537467079055767,2.9638129659681245,2.2963271888942955
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.05,0.9,2.465356002213381,1.836347921659608,2.6297115335825603,1.9922027255888075
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.01,0.5,2.4436674779416183,1.8560633272036633,2.563431162658395,1.9447740958275574
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.01,0.9,2.393579718091983,1.802781683227793,2.5081661299704847,1.8947128571018381
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.05,0.5,2.746778536777459,2.082956731393876,2.9765998366472832,2.303330221067028
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.6631047232942655,1.9800053595027827,2.6815236232061714,2.0087199221874625
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.05,0.9,2.4864419965170663,1.8542026987375035,2.6433356334648375,2.0024149070807247
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,1,0.01,0.5,2.3159788091017997,1.699959496038575,2.4714010101401964,1.8238382560143973
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.585097891817968,1.9460241011254429,2.628429993873476,2.0057646676891396
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,1,0.01,0.9,2.332880352741303,1.7115257615506012,2.448212134780032,1.8130922075700844
0,1,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.8691742597176084,2.1575572587020457,2.820565448251721,2.105789872011775
0,1,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.834692424696178,2.1485780719779104,2.8105095836139142,2.111353247872194
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.0630134993914644,2.2834150400736584,3.1313872143471353,2.3360218799476855
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,2.8595219023756333,2.120500426764942,2.9098506366134496,2.172908496964247
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,1,0.05,0.5,2.8408121784306837,2.1932452119404213,3.1687369030760753,2.5074454763546528
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.7135699468438523,2.0252945188042033,2.7409900301259595,2.043074789459539
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,1,0.05,0.9,2.355918693967133,1.7354173884887003,2.517086416198142,1.8804150859914712
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,2,0.01,0.5,2.3368048044324183,1.741675662273684,2.494260065267938,1.8589812746255074
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.618365725221167,1.9756155457514208,2.6609031482511525,2.0247403063588956
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,3.068171805829152,2.3115862357295436,3.1324520054602867,2.3542397668350263
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,2,0.01,0.9,2.3273072920908486,1.736663846800082,2.465088998968351,1.8378842421683865
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,2,0.05,0.5,2.9606390106388303,2.3241584434839915,3.237699974378198,2.581571621485561
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,2.8368314916462563,2.1202108407489666,2.8914726315369648,2.168333307540866
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,2,0.05,0.9,2.3867072790373642,1.7782163094891308,2.579684834166497,1.9331629450530334
0,6,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.619803816884809,1.9525273153275908,2.6406119210379,2.0074840787807715
0,2,Hgv,190,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.265384934912074,1.6426025059775857,2.4190879713016185,1.8379376028190444
0,6,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.5839146207673607,1.9335714789106169,2.5854450445632975,1.9729710008116277
0,2,Hgv,190,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.197515068724321,1.6078275241336344,2.3370436693399084,1.7531920823293279
0,6,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.8349400569394687,2.1646246788890218,2.926091500691898,2.244171780469822
0,2,Hgv,190,LSTransferTreeBoost,0.05,1,1,0.05,0.5,2.5258348981894643,1.885104827353361,2.7850226498941972,2.1598538929878353
0,6,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.7017046268643266,2.064411823384372,2.775847135510096,2.1498241867157644
0,6,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.5,2.6707064118262314,2.0013102175166804,2.6874413529026198,2.0253810168731645
0,6,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.9,2.660386976975527,1.9991626085395493,2.662739360268508,2.0394068343806984
0,6,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.05,0.5,2.8989515375821653,2.193018553092792,2.96053414068359,2.2642589620946967
0,6,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.05,0.9,2.726264703391074,2.073868069327469,2.787745636644087,2.150447634637932
0,6,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.6477173155720504,1.9783219418211067,2.657716939664989,2.0121649250789124
0,6,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.01,0.9,2.576810482489226,1.9328609884225956,2.626769975485424,2.003587514747636
0,6,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.05,0.5,2.870424896071473,2.1203478987504076,2.9044152207012397,2.1664132282961392
0,6,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.05,0.9,2.717636558815492,1.997671483373967,2.7453108661934422,2.0443228088052483
