,seed,target_column,target_instances,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.4016784941793095,1.7882810878433275,2.587025798710925,1.9486871529508378
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.30344650565625,1.7091921360452824,2.420275946496561,1.800684451741642
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.3007653230729606,2.5999859812657804,3.673265109756355,2.976999566321029
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,2.8625402490224467,2.2049405518719216,3.1715001549405186,2.5101130561792306
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.442842182686015,1.8142515646054194,2.6500241783314014,2.000292794799438
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.3136301479449335,1.71118644176706,2.4407953405772216,1.8197580179355526
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,3.3444443205564403,2.6374747689053346,3.6391247844449355,2.944144101670032
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,2.85481233700651,2.208074638999516,3.1172868263685727,2.448702388880124
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.339194750898787,1.7368597712253349,2.4884487259886012,1.8588998859115782
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.3385053868191332,1.7377288879149924,2.4555613492989994,1.828012931040151
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.5,3.5845889143645886,2.904197210816148,3.9914093525753342,3.2993423492609444
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.964441066424746,2.2975595703171323,3.3012234292531724,2.6255203524651205
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.5,2.396679805266218,1.7710476566378752,2.5808199373042973,1.9417965900936318
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.9,2.3439750885259567,1.741105879609862,2.4732484576010116,1.8428943055777378
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.05,0.5,3.57871986125953,2.8927817358600256,3.878150557328461,3.18960464629081
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.05,0.9,2.895748267182039,2.232218872902888,3.1612946829632387,2.4806745210823493
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.316035829711299,1.7129101324221991,2.4358316883052287,1.820956169159861
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.01,0.9,2.3421967766839726,1.7478836600156897,2.4411065407837844,1.8136827171638596
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.05,0.5,2.8558909567126904,2.2049073243244925,3.169602674265191,2.5166257086149524
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.05,0.9,2.5864213831787546,1.959776010348996,2.850701156855118,2.213339097278696
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.01,0.5,2.3485058408595365,1.7764691094010159,2.466644603269773,1.8500267516503275
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.01,0.9,2.3309282097957906,1.7313701354709146,2.459953671070067,1.8344084987048097
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.05,0.5,2.8173953579640303,2.171331701135757,3.0855349662199876,2.412736734237766
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.05,0.9,2.5264170255439367,1.9042906097596213,2.753284437930368,2.1136262449938203
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,1,0.01,0.5,2.3325137371370155,1.7326080182223307,2.460565550978672,1.829052833574569
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,1,0.01,0.9,2.403796379469422,1.8199459082909943,2.5291034683066775,1.8915808704092767
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,1,0.05,0.5,2.8781949587079207,2.216770657114603,3.2035633239311623,2.5440485406756124
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,1,0.05,0.9,2.4290960595019278,1.8127315087066624,2.64188208859089,2.007011551331412
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,2,0.01,0.5,2.345383261443686,1.7511582107982353,2.460802327016931,1.8379735769185725
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,2,0.01,0.9,2.378084181692497,1.7993570474781442,2.5092003070465543,1.8828973068372135
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,2,0.05,0.5,2.918636207314658,2.2693751568770515,3.1845202162875914,2.5341995997082494
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,2,0.05,0.9,2.4397433235639427,1.8173836422667857,2.6405442513735715,1.999529700189803
0,2,Hgv,190,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.182351464015115,1.6135001202048838,2.3290299852447327,1.7768006142180763
