,seed,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,850.0,0.1,1.0,1.0,0.0,0.1,400.0,8.900162866822473,5.173691809612304,6.878675291683892,5.045967472784487
1,850.0,0.1,1.0,1.0,0.0,0.5,400.0,8.943337137260738,5.353267674074292,6.920574742893022,5.183464504330212
2,850.0,0.1,1.0,1.0,0.01,0.1,400.0,8.748617326130425,5.051224444978358,6.940323493059291,5.164012467729903
3,850.0,0.1,1.0,1.0,0.01,0.5,400.0,8.624526944423557,5.030119659055298,6.81506256302741,5.0649646881409796
4,850.0,0.1,1.0,1.0,0.01,0.9,400.0,8.59129074856602,5.2168258453692,6.918422182700977,5.186923970624132
5,850.0,0.1,1.0,1.0,0.05,0.1,400.0,9.445941422792512,5.345686410968266,7.047709086290102,5.0462700360962485
6,850.0,0.1,1.0,1.0,0.05,0.5,400.0,8.553605861327233,5.072583415270703,6.906570325095697,5.133170279112888
7,850.0,0.1,1.0,1.0,0.05,0.9,400.0,8.79306560958907,5.037231116026159,6.91418212602962,5.060530965920714
8,850.0,0.1,1.0,2.0,0.0,0.1,400.0,10.134913759773267,5.207660083149402,7.627986010304173,5.362648723713831
9,850.0,0.1,1.0,2.0,0.0,0.5,400.0,9.367085714019515,5.441245108074737,6.893342437458394,5.104644540757611
10,850.0,0.1,1.0,2.0,0.01,0.1,400.0,10.203054832550057,5.236996399261363,7.556309153832552,5.2437142602385105
11,850.0,0.1,1.0,2.0,0.01,0.5,400.0,9.46796757345251,5.14714993464328,7.117951315732476,5.054875293102132
12,850.0,0.1,1.0,2.0,0.01,0.9,400.0,9.220078920436357,5.323815076285334,6.903860499383157,5.036057555189012
13,850.0,0.1,1.0,2.0,0.05,0.1,400.0,10.191139106470967,5.1929920590882865,7.645956828976466,5.278788056772195
14,850.0,0.1,1.0,2.0,0.05,0.5,400.0,10.062860125876492,5.2488142452797035,7.459843403877907,5.120206239705783
15,850.0,0.1,1.0,2.0,0.05,0.9,400.0,10.083908785722063,5.114407203414729,7.52617916077691,5.2988080800447666
16,850.0,0.1,1.0,3.0,0.0,0.1,400.0,10.255574617695926,5.452770028731876,7.818645238808228,5.478725612174301
17,850.0,0.1,1.0,3.0,0.0,0.5,400.0,8.941493005121835,5.091402560356013,7.007042193082299,5.282453875235826
18,850.0,0.1,1.0,3.0,0.01,0.1,400.0,9.782634882443789,5.2350178920223005,7.6558463091140885,5.539661739963964
