,seed,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,850.0,0.1,1.0,1.0,0.0,0.1,400.0,10.044748985940963,5.336308882797958,10.499743788166267,5.464301906683554
1,850.0,0.1,1.0,1.0,0.0,0.5,400.0,10.150001350176089,5.635188632809823,10.412478764246197,5.443610416567009
2,850.0,0.1,1.0,1.0,0.01,0.1,400.0,10.222681638461918,5.532762857799904,10.542454983053151,5.5639760482955465
3,850.0,0.1,1.0,1.0,0.01,0.5,400.0,10.182053064423885,5.550749121479317,10.482427714692054,5.459862056664597
4,850.0,0.1,1.0,1.0,0.01,0.9,400.0,10.113710796333837,5.772557911596383,10.402399583267218,5.515413383294547
5,850.0,0.1,1.0,1.0,0.05,0.1,400.0,10.244976106561321,5.520431908023673,10.552697761532707,5.556765005382681
6,850.0,0.1,1.0,1.0,0.05,0.5,400.0,10.055914379437317,5.396235884086543,10.545261771238193,5.474549714112523
7,850.0,0.1,1.0,1.0,0.05,0.9,400.0,10.257410871254423,5.496104267821963,10.588900818233423,5.503625251519717
8,850.0,0.1,1.0,2.0,0.0,0.1,400.0,10.352481746166932,5.417733294126905,10.940661102860279,5.584600442744215
9,850.0,0.1,1.0,2.0,0.0,0.5,400.0,10.067915173588844,5.649382938777628,10.47325562416267,5.366099402839958
10,850.0,0.1,1.0,2.0,0.01,0.1,400.0,10.408017088898282,5.441613922443058,10.952876215242311,5.583075534009553
11,850.0,0.1,1.0,2.0,0.01,0.5,400.0,10.258618733456206,5.520324700456906,10.664818111859342,5.463756902043145
12,850.0,0.1,1.0,2.0,0.01,0.9,400.0,10.319816327632523,6.247908452441,10.509658408747304,5.636661364566539
13,850.0,0.1,1.0,2.0,0.05,0.1,400.0,10.373806559561352,5.4455355961080025,10.928941312552901,5.5404694595863395
14,850.0,0.1,1.0,2.0,0.05,0.5,400.0,10.442385438657093,5.596060180532689,10.852243079670759,5.5296324670756745
15,850.0,0.1,1.0,2.0,0.05,0.9,400.0,10.309713391003966,5.339854067283331,10.829265531513364,5.470029962976399
16,850.0,0.1,1.0,3.0,0.0,0.1,400.0,10.823070160664804,5.816783793647119,11.637767387241759,6.178718034194901
17,850.0,0.1,1.0,3.0,0.0,0.5,400.0,10.157674277135865,5.842120694730114,10.527904208549698,5.49659470785876
18,850.0,0.1,1.0,3.0,0.01,0.1,400.0,10.793453123768,5.803947260988115,11.632426300041885,6.251590474771985
19,850.0,0.1,1.0,3.0,0.01,0.5,400.0,10.28219641434728,5.644263168164078,10.842752845676557,5.532425427959837
20,850.0,0.1,1.0,3.0,0.01,0.9,400.0,10.10697197797564,5.92040104057797,10.689201521204872,5.674582452763451
21,850.0,0.1,1.0,3.0,0.05,0.1,400.0,10.809066376715432,5.802089169118442,11.75267101320905,6.266352529451143
22,850.0,0.1,1.0,3.0,0.05,0.5,400.0,10.558603976681736,5.677451217619724,11.345644713770161,5.828022736512566
23,850.0,0.1,1.0,3.0,0.05,0.9,400.0,10.475330927604396,5.609575882183569,11.274743292807493,5.725184889724918
24,850.0,0.1,2.0,1.0,0.0,0.1,400.0,9.983301906698445,5.3517712219506945,10.406869957079968,5.4307723141808255
25,850.0,0.1,2.0,1.0,0.0,0.5,400.0,10.106357299805351,5.645411950469177,10.417480772369649,5.349474407671925
26,850.0,0.1,2.0,1.0,0.01,0.1,400.0,10.06269969009401,5.485273261961194,10.504129511947395,5.439988968471635
27,850.0,0.1,2.0,1.0,0.01,0.5,400.0,10.17275070590402,5.522212471433848,10.506605320801176,5.408706851357984
28,850.0,0.1,2.0,1.0,0.01,0.9,400.0,9.887654939555333,5.8780211603515475,10.298292279050074,5.398727509415509
29,850.0,0.1,2.0,1.0,0.05,0.1,400.0,10.106817610073577,5.479258542352311,10.503779932392463,5.476834350592216
30,850.0,0.1,2.0,1.0,0.05,0.5,400.0,10.164610832201596,5.416058882599696,10.543167946317329,5.500870334177828
31,850.0,0.1,2.0,1.0,0.05,0.9,400.0,10.183595800490433,5.463409462216543,10.56730780178119,5.399196456122212
32,850.0,0.1,2.0,2.0,0.0,0.1,400.0,10.21711478212717,5.452109393002721,10.784118118031646,5.452553951256038
33,850.0,0.1,2.0,2.0,0.0,0.5,400.0,10.191379053826884,5.814852841275306,10.553281587181925,5.534165313486875
34,850.0,0.1,2.0,2.0,0.01,0.1,400.0,10.225988632599716,5.426259104965052,10.842076227786986,5.478630245698005
35,850.0,0.1,2.0,2.0,0.01,0.5,400.0,10.173509240850052,5.581175566827373,10.65412655418305,5.483161804266241
36,850.0,0.1,2.0,2.0,0.01,0.9,400.0,10.2367622783158,6.4238381014694115,10.48498961891168,5.638416305806089
37,850.0,0.1,2.0,2.0,0.05,0.1,400.0,10.271151921708267,5.331169816734113,10.919715016894607,5.547470512193573
38,850.0,0.1,2.0,2.0,0.05,0.5,400.0,10.392753478639477,5.431887922627284,10.98395842770715,5.582330671191584
39,850.0,0.1,2.0,2.0,0.05,0.9,400.0,10.496552192213066,5.589329765659134,10.875405425204336,5.545203313861769
40,850.0,0.1,2.0,3.0,0.0,0.1,400.0,10.575432614580306,5.75034408749014,11.21307319190808,5.613444332457114
41,850.0,0.1,2.0,3.0,0.0,0.5,400.0,10.106514828563698,5.84537722682265,10.625948796031178,5.512264734577395
42,850.0,0.1,2.0,3.0,0.01,0.1,400.0,10.578084798714489,5.723201154982426,11.232600395019459,5.573751824264435
43,850.0,0.1,2.0,3.0,0.01,0.5,400.0,10.19288508459358,5.584336209648824,10.900550967729602,5.491582532552282
44,850.0,0.1,2.0,3.0,0.01,0.9,400.0,10.125320536445042,6.008351200956456,10.538112092017045,5.482309130691407
45,850.0,0.1,2.0,3.0,0.05,0.1,400.0,10.833660979554102,5.811343785611523,11.528933419596777,5.981199537685877
46,850.0,0.1,2.0,3.0,0.05,0.5,400.0,10.543614453393769,5.741096563176504,11.224527178244212,5.732997640316533
47,850.0,0.1,2.0,3.0,0.05,0.9,400.0,10.157513324650852,5.523744168202382,11.167696954180864,5.603399536242303
48,850.0,0.1,3.0,1.0,0.0,0.1,400.0,9.848455194556148,5.599537431584038,10.13076827229172,5.382085645592556
49,850.0,0.1,3.0,1.0,0.0,0.5,400.0,9.830277665499208,5.389781257151394,10.391177182664551,5.177074445813804
50,850.0,0.1,3.0,1.0,0.01,0.1,400.0,10.006025737588486,5.438623784600975,10.388644577802216,5.361487415327137
