,seed,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,850.0,0.1,1.0,7.817734200757305,4.942332664280562,6.321117762685634,4.7029398711028305
1,850.0,0.1,2.0,7.717239605924759,4.822665526342034,6.025996945802034,4.4131567708164345
2,850.0,0.1,3.0,7.822017593422823,4.860433269916045,5.8271444623972615,4.262057523180373
3,850.0,0.1,4.0,8.03086386854169,4.8790259913330996,5.753570826126525,4.241509019119413
4,850.0,0.1,5.0,8.108090680633673,4.938199451126224,5.643956744655199,4.229589878712714
5,850.0,0.1,6.0,8.314635450456754,5.120248570720126,5.697705483897109,4.33784511771075
6,851.0,0.1,1.0,6.450482727738138,4.358824871276608,5.49051472602096,3.9249748911020514
7,851.0,0.1,2.0,6.42091772319051,4.295620387222043,5.473047436591349,3.8810529635698896
8,851.0,0.1,3.0,6.354022924167308,4.29059035428976,5.508755280685318,3.94406766209952
9,851.0,0.1,4.0,6.552908602844197,4.519877457624498,5.658922816829779,4.058767365338251
10,851.0,0.1,5.0,6.461539667863301,4.443654217760441,5.677069328459828,4.1107036216076
11,851.0,0.1,6.0,6.686103143009023,4.611066787181027,5.860478210037445,4.238082251418444
12,852.0,0.1,1.0,7.220324885032775,4.758462661186934,7.4072974469947015,4.7752947178702385
13,852.0,0.1,2.0,7.210932077697023,4.734386428456889,7.257169249626869,4.6767229214610975
14,852.0,0.1,3.0,7.192542990320764,4.653326367234225,7.367272501542378,4.6610996872803
15,852.0,0.1,4.0,7.126137825470989,4.535198456958819,7.21488875767919,4.549927561019594
16,852.0,0.1,5.0,7.329365331517105,4.710142532241153,7.176731354335128,4.516828048031661
17,852.0,0.1,6.0,7.387123953136333,4.776921285106429,7.193595931140799,4.506341413415964
18,853.0,0.1,1.0,6.156517604447326,4.419050145827327,6.5161086587937245,4.614838793493802
19,853.0,0.1,2.0,6.1484561552217505,4.421424328420121,6.433443409787968,4.59246027594036
20,853.0,0.1,3.0,6.01775694388289,4.316983071434255,6.465456062321449,4.619238298734045
21,853.0,0.1,4.0,5.964852166018245,4.257209133264116,6.884702024366902,4.828028121167196
22,853.0,0.1,5.0,5.963766513084879,4.256327012708866,6.941618980654148,4.8909629857326244
23,853.0,0.1,6.0,5.984491079615107,4.329637567912103,7.138395281554988,5.024290494896901
