,seed,lr,n_estimators,tree_size,rmse,mae
0,860.0,0.1,10.0,1.0,15.791904896336478,12.887940364853893
1,860.0,0.1,10.0,2.0,15.791904896336478,12.887940364853893
2,860.0,0.1,10.0,3.0,15.743238005601823,12.844843618967328
3,860.0,0.1,10.0,4.0,15.611647455362709,12.746672492644215
4,860.0,0.1,20.0,1.0,10.916873880909755,9.196317327104106
5,860.0,0.1,20.0,2.0,15.788849430850279,12.885257478112225
6,860.0,0.1,20.0,3.0,15.721602898231003,12.834247818216685
7,860.0,0.1,20.0,4.0,15.64819650130584,12.782347619740063
8,860.0,0.1,30.0,1.0,10.916873880909755,9.196317327104106
9,860.0,0.1,30.0,2.0,15.802440994691414,12.895468152894832
10,860.0,0.1,30.0,3.0,15.891631921887203,12.980588574686182
11,860.0,0.1,30.0,4.0,15.789538140951556,12.899984430034738
12,860.0,0.1,50.0,1.0,15.87926239338634,12.954039614952064
13,860.0,0.1,50.0,2.0,15.702915550163102,12.811923051025275
14,860.0,0.1,50.0,3.0,15.898574961744043,12.984566875684735
15,860.0,0.1,50.0,4.0,15.8247610962001,12.936494951753383
16,860.0,0.1,100.0,1.0,15.836311577973152,12.912248643082801
17,860.0,0.1,100.0,2.0,15.780598655935359,12.89918756480564
18,860.0,0.1,100.0,3.0,15.663767086050651,12.79131035032618
19,860.0,0.1,100.0,4.0,15.852597536488222,12.951451210025278
20,860.0,0.1,150.0,1.0,15.836311577973152,12.912248643082801
21,860.0,0.1,150.0,2.0,15.780598655935359,12.89918756480564
22,860.0,0.1,150.0,3.0,15.661133097350445,12.790094613794475
23,860.0,0.1,150.0,4.0,15.854406656334271,12.953682837129104
24,860.0,0.5,10.0,1.0,15.791904896336478,12.887940364853893
25,860.0,0.5,10.0,2.0,15.702915550163102,12.811923051025275
26,860.0,0.5,10.0,3.0,15.898574961744043,12.984566875684735
27,860.0,0.5,10.0,4.0,15.838148726689857,12.948965230667657
28,860.0,0.5,20.0,1.0,15.836311577973152,12.912248643082801
29,860.0,0.5,20.0,2.0,15.780598655935359,12.89918756480564
30,860.0,0.5,20.0,3.0,15.666333755577135,12.793660201722496
