,seed,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,860.0,0.05,1.0,5.255518865144331,4.023682060344772,6.003139221607265,4.841536404121047
1,860.0,0.05,2.0,5.550300661820178,4.278817422311544,6.161568765012046,4.9917512873313905
2,860.0,0.05,3.0,5.462834174415124,4.280578441197782,6.193705600468582,4.952611899326452
3,860.0,0.05,4.0,5.1071859999574105,4.08433526910157,6.120653935159839,4.744678867488774
4,860.0,0.05,5.0,5.3060410553441795,4.1668677632997015,6.169505955451752,4.838367493881468
5,860.0,0.05,6.0,5.44699757140676,4.134212363983108,6.1755381622270065,4.898717697062423
6,860.0,0.05,7.0,5.902861635713553,4.636362595060334,5.909376016728231,4.877944607875333
7,860.0,0.075,1.0,5.259815399850071,4.058933443331477,5.99918562721175,4.847936651097375
8,860.0,0.075,2.0,5.5939109555275435,4.299162478748716,6.224426839438395,5.047735309551366
9,860.0,0.075,3.0,5.426379662063618,4.183896389702756,6.196532992567925,4.939906271723237
10,860.0,0.075,4.0,5.239931648488853,4.168212164693966,6.05055975258046,4.777190263993867
11,860.0,0.075,5.0,5.251888324631652,4.018441848260518,6.344368671602086,4.942184289007371
12,860.0,0.075,6.0,5.538069184185216,4.198202836290516,6.290215551005239,5.009754195716821
13,860.0,0.075,7.0,5.575602297109397,4.3635365335764735,5.870968399503248,4.698372362893408
14,860.0,0.1,1.0,5.257400667257058,4.0265452012457015,6.044602148159573,4.875006529120729
15,860.0,0.1,2.0,5.6894859476364585,4.303704551859456,6.185644457395158,4.982237346917597
16,860.0,0.1,3.0,5.584856188027007,4.275697224519701,6.17271184964072,4.927733716022724
17,860.0,0.1,4.0,5.194144911732018,4.021822653466358,6.329107031666068,4.9848977506631265
18,860.0,0.1,5.0,5.419826194174784,4.139377959397017,6.284408360646285,4.825458192345281
19,860.0,0.1,6.0,5.495978271925145,4.3770349167371725,6.101577905520139,4.780094100198264
20,860.0,0.1,7.0,5.357847069428708,4.209261665065454,5.761822433011706,4.588988837767444
21,860.0,0.125,1.0,5.238143366394067,4.0126093333003485,6.037787317544062,4.8488855405927955
22,860.0,0.125,2.0,5.7532166905184905,4.2860977605022565,6.100291028393675,4.906430043532993
23,860.0,0.125,3.0,5.520677480166439,4.261436083192735,6.207872207590993,4.943325349817347
24,860.0,0.125,4.0,5.518160155998414,4.179418177111238,6.164467566496582,4.87296631768089
25,860.0,0.125,5.0,5.361596844926536,4.1041473156074755,6.226789759081551,4.8486152254838775
26,860.0,0.125,6.0,5.458000000594547,4.253796945130202,6.227390442106395,4.87132698197388
27,860.0,0.125,7.0,5.843588494131254,4.473216973796855,6.122279204878376,4.791767328823714
28,860.0,0.15,1.0,5.296983612767641,4.065093464159724,6.067514112671357,4.888700324722256
29,860.0,0.15,2.0,5.6757557624031305,4.293373318020262,6.17380555005796,4.985388022611745
30,860.0,0.15,3.0,5.718911151718464,4.257734177215188,6.219208843094639,4.985096267290242
31,860.0,0.15,4.0,5.3000782961224875,4.105056003300458,6.172290403071172,4.849000088607968
32,860.0,0.15,5.0,5.513499555023395,4.210832634960692,6.480333745629827,5.166103804258038
33,860.0,0.15,6.0,5.842210565012687,4.327898055397906,6.750806655637759,5.3900391354933435
34,860.0,0.15,7.0,5.455121069556638,4.268594480149584,6.807628866746134,5.344421190461527
