,seed,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,860.0,0.1,1.0,1.0,0.0,0.1,400.0,4.582499507790216,3.8663361152464732,5.943904321077274,4.25138957994144
1,860.0,0.1,1.0,1.0,0.0,0.5,400.0,4.732089678091761,4.048421645771741,5.789913718488895,4.387765025544816
2,860.0,0.1,1.0,1.0,0.01,0.1,400.0,4.573031973122999,3.8704936986733416,5.867325892541242,4.212382660924513
3,860.0,0.1,1.0,1.0,0.01,0.5,400.0,4.536074627057125,3.8108765993147586,5.652813786838832,4.359294459343483
4,860.0,0.1,1.0,1.0,0.01,0.9,400.0,4.698276347519508,3.9756039518523734,5.653572477810389,4.333095816239629
5,860.0,0.1,1.0,1.0,0.05,0.1,400.0,4.572395110427767,3.832535554126067,5.913481075093804,4.219859588275606
6,860.0,0.1,1.0,1.0,0.05,0.5,400.0,4.492820822338139,3.7772397415547303,5.642862918623643,4.205541212711575
7,860.0,0.1,1.0,1.0,0.05,0.9,400.0,4.52185242239314,3.791931627761599,5.704117239272654,4.187747848065236
8,860.0,0.1,1.0,2.0,0.0,0.1,400.0,4.164996787842547,3.0942408711377096,6.111625241455283,4.184869943424987
9,860.0,0.1,1.0,2.0,0.0,0.5,400.0,4.739866021885352,3.956713687790733,6.181045241685531,4.410451741415355
10,860.0,0.1,1.0,2.0,0.01,0.1,400.0,4.445069171578475,3.3283333359632037,6.222442959036182,4.214311543554672
11,860.0,0.1,1.0,2.0,0.01,0.5,400.0,4.56435703262234,3.6964627148002003,6.12553474908109,4.223749215202288
12,860.0,0.1,1.0,2.0,0.01,0.9,400.0,4.472610322702994,3.5588033765803018,5.912699787769825,4.202235565553006
13,860.0,0.1,1.0,2.0,0.05,0.1,400.0,4.586172528162018,3.3674184191882555,6.142105158670713,4.253264533651468
14,860.0,0.1,1.0,2.0,0.05,0.5,400.0,4.664961078840551,3.4266262320413494,6.374350144396754,4.2979837262175495
15,860.0,0.1,1.0,2.0,0.05,0.9,400.0,4.581123444290997,3.544025713137139,6.128221769668748,4.1290914202963105
16,860.0,0.1,1.0,3.0,0.0,0.1,400.0,4.645123775590485,3.4072612627420313,6.718117502403616,4.528199733558073
17,860.0,0.1,1.0,3.0,0.0,0.5,400.0,3.9195599903290526,3.169761282677579,6.344953070231293,4.672383331282921
18,860.0,0.1,1.0,3.0,0.01,0.1,400.0,3.921805677136283,2.8908153366757348,6.3499725031660095,4.613574179795226
19,860.0,0.1,1.0,3.0,0.01,0.5,400.0,4.118838840981956,3.3298155893420707,6.274327679266332,4.4962030349534965
20,860.0,0.1,1.0,3.0,0.01,0.9,400.0,3.979569138521466,3.086229788008973,6.285990194927365,4.527951042300754
21,860.0,0.1,1.0,3.0,0.05,0.1,400.0,4.426724421886483,3.2064430592896103,6.416495242990776,4.324114520727173
22,860.0,0.1,1.0,3.0,0.05,0.5,400.0,4.325372002363471,3.1675678738324167,6.683828363579363,4.499896627371274
23,860.0,0.1,1.0,3.0,0.05,0.9,400.0,4.086026266508238,3.1275376831509245,6.2171487867823405,4.235412338192002
24,860.0,0.1,2.0,1.0,0.0,0.1,400.0,4.478698458297904,3.7856877785037293,5.902200556811522,4.326699353927437
25,860.0,0.1,2.0,1.0,0.0,0.5,400.0,4.423737631633462,3.678538006762153,6.183662965973463,4.752318548456803
26,860.0,0.1,2.0,1.0,0.01,0.1,400.0,4.425532639142574,3.805230780959999,5.729015510864661,4.289934770491081
