,seed,lr,n_estimators,tree_size,rmse,mae
0,860.0,0.1,10.0,1.0,220.22039349078517,181.01050988288392
1,860.0,0.1,10.0,2.0,220.65582213054807,182.441697567467
2,860.0,0.1,10.0,3.0,204.24614694122764,170.6115335290204
3,860.0,0.1,10.0,4.0,198.3449583934228,166.22578389382318
4,860.0,0.1,20.0,1.0,220.22039349078517,181.01050988288392
5,860.0,0.1,20.0,2.0,211.80286164938283,177.4513405337721
6,860.0,0.1,20.0,3.0,211.9742130585657,176.21488346306376
7,860.0,0.1,20.0,4.0,203.6881859794891,168.55366239696417
8,860.0,0.1,30.0,1.0,219.13572963917622,182.19946061429755
9,860.0,0.1,30.0,2.0,221.45207706811968,185.57069382819833
10,860.0,0.1,30.0,3.0,211.48682238185413,175.17707063451158
11,860.0,0.1,30.0,4.0,209.65448326790278,173.4926526092133
12,860.0,0.1,50.0,1.0,219.06207020492536,182.04900961489906
13,860.0,0.1,50.0,2.0,219.47364396133398,182.65118816538958
14,860.0,0.1,50.0,3.0,211.0958495081056,175.50784936922608
15,860.0,0.1,50.0,4.0,212.8213645707004,176.45683497577045
16,860.0,0.1,100.0,1.0,217.32242788370257,187.9249418258863
17,860.0,0.1,100.0,2.0,210.88853164370013,170.30445521692945
18,860.0,0.1,100.0,3.0,215.10013170427152,179.30666175396433
19,860.0,0.1,100.0,4.0,208.9174909282274,175.33035687171653
20,860.0,0.1,150.0,1.0,217.32242788370257,187.9249418258863
21,860.0,0.1,150.0,2.0,212.61764224723927,172.68637389923282
22,860.0,0.1,150.0,3.0,217.25810804384346,180.92025773834152
23,860.0,0.1,150.0,4.0,207.43469639018343,174.17746352960245
24,860.0,0.5,10.0,1.0,219.06207020492536,182.04900961489906
25,860.0,0.5,10.0,2.0,219.21678027669356,181.8525513349447
26,860.0,0.5,10.0,3.0,224.5772468964521,184.76386574839816
27,860.0,0.5,10.0,4.0,213.72655377380886,176.16588336824879
28,860.0,0.5,20.0,1.0,217.32242788370257,187.9249418258863
29,860.0,0.5,20.0,2.0,214.39436966268042,177.12388445649665
30,860.0,0.5,20.0,3.0,199.64353363698274,168.5524029433127
31,860.0,0.5,20.0,4.0,201.39584771115577,169.56088126075343
32,860.0,0.5,30.0,1.0,217.32242788370257,187.9249418258863
33,860.0,0.5,30.0,2.0,214.82954408930047,180.63724988732054
34,860.0,0.5,30.0,3.0,216.79409348903764,180.1119837122801
35,860.0,0.5,30.0,4.0,205.901333921046,173.02505992087185
36,860.0,0.5,50.0,1.0,219.29906936629914,184.7644277567721
37,860.0,0.5,50.0,2.0,209.33670630292886,177.2088273121438
38,860.0,0.5,50.0,3.0,211.08048347345442,177.83479673139647
39,860.0,0.5,50.0,4.0,209.50039575202615,178.22695729220507
40,860.0,0.5,100.0,1.0,219.29906936629914,184.7644277567721
41,860.0,0.5,100.0,2.0,209.05306681417122,177.2909713685686
42,860.0,0.5,100.0,3.0,211.53326967800385,178.37204305573684
43,860.0,0.5,100.0,4.0,216.397896978868,179.5796559030798
44,860.0,0.5,150.0,1.0,219.29906936629914,184.7644277567721
45,860.0,0.5,150.0,2.0,209.05306681417122,177.2909713685686
46,860.0,0.5,150.0,3.0,210.7591013790263,177.86491998626985
47,860.0,0.5,150.0,4.0,217.62552706778584,182.745138919114
48,860.0,1.0,10.0,1.0,219.3664641996379,180.00707378608402
49,860.0,1.0,10.0,2.0,213.98705240481095,176.86536394868415
50,860.0,1.0,10.0,3.0,221.63747326219237,184.09370249130959
51,860.0,1.0,10.0,4.0,204.06206028093825,170.177822883182
52,860.0,1.0,20.0,1.0,219.29906936629914,184.7644277567721
53,860.0,1.0,20.0,2.0,209.33670630292886,177.2088273121438
54,860.0,1.0,20.0,3.0,217.59286346341668,181.17615757258181
55,860.0,1.0,20.0,4.0,208.88774822300294,177.10117051098374
56,860.0,1.0,30.0,1.0,219.29906936629914,184.7644277567721
57,860.0,1.0,30.0,2.0,209.33670630292886,177.2088273121438
58,860.0,1.0,30.0,3.0,211.5698469264327,178.42199478710077
59,860.0,1.0,30.0,4.0,210.77434025190308,179.60861271597847
60,860.0,1.0,50.0,1.0,219.29906936629914,184.7644277567721
61,860.0,1.0,50.0,2.0,209.05306681417122,177.2909713685686
62,860.0,1.0,50.0,3.0,209.94631575521777,177.26276528101033
63,860.0,1.0,50.0,4.0,204.49606808580995,176.162256340771
64,860.0,1.0,100.0,1.0,177.47713913749544,152.13840127400337
65,860.0,1.0,100.0,2.0,208.83067989228954,177.08576873379985
66,860.0,1.0,100.0,3.0,210.7088806103504,178.18231176375969
67,860.0,1.0,100.0,4.0,203.54643058027372,173.9818526164436
68,860.0,1.0,150.0,1.0,177.05104426370997,151.63977607907924
69,860.0,1.0,150.0,2.0,208.37586213194317,176.4030188139127
70,860.0,1.0,150.0,3.0,209.99050417212166,177.18676611839632
71,860.0,1.0,150.0,4.0,210.50599942034384,178.56770721600276
72,861.0,0.1,10.0,1.0,207.62801828642262,169.68681011347235
73,861.0,0.1,10.0,2.0,206.6247841208421,168.11366897582045
74,861.0,0.1,10.0,3.0,199.49537786055268,161.5129862647875
75,861.0,0.1,10.0,4.0,196.89889896422366,160.86556176253634
76,861.0,0.1,20.0,1.0,207.62801828642262,169.68681011347235
77,861.0,0.1,20.0,2.0,200.80431624482816,167.4261606272606
78,861.0,0.1,20.0,3.0,200.78135089642046,163.22476348041607
79,861.0,0.1,20.0,4.0,203.82379798927946,165.56757091989772
80,861.0,0.1,30.0,1.0,207.62801828642262,169.68681011347235
81,861.0,0.1,30.0,2.0,207.8506194891992,170.4657408694377
82,861.0,0.1,30.0,3.0,206.10359590068742,167.50976036533604
83,861.0,0.1,30.0,4.0,201.86029468747358,162.16631954430756
84,861.0,0.1,50.0,1.0,207.47764535147792,169.4023676855432
85,861.0,0.1,50.0,2.0,207.7105227575962,170.30196973187887
86,861.0,0.1,50.0,3.0,203.43225077121366,166.68141027803185
87,861.0,0.1,50.0,4.0,200.37707193423665,162.1319760334438
88,861.0,0.1,100.0,1.0,207.86942256497508,168.07523118427136
89,861.0,0.1,100.0,2.0,202.77303511380745,164.87638284640198
90,861.0,0.1,100.0,3.0,203.42063268397445,166.57616539556918
91,861.0,0.1,100.0,4.0,197.95061197016636,163.1663515440257
92,861.0,0.1,150.0,1.0,207.86942256497508,168.07523118427136
93,861.0,0.1,150.0,2.0,203.97975223838878,165.43195630715178
94,861.0,0.1,150.0,3.0,195.6751007482191,161.28120538186175
95,861.0,0.1,150.0,4.0,195.60743882980492,160.69149008767414
96,861.0,0.5,10.0,1.0,207.86942256497508,168.07523118427136
97,861.0,0.5,10.0,2.0,207.55899310057717,170.066326907854
98,861.0,0.5,10.0,3.0,204.0333461585072,167.60566743561435
99,861.0,0.5,10.0,4.0,205.6741101880335,166.35771306235614
100,861.0,0.5,20.0,1.0,207.86942256497508,168.07523118427136
101,861.0,0.5,20.0,2.0,201.79684166509162,164.29588955518292
102,861.0,0.5,20.0,3.0,194.8563296650097,162.06125108925517
103,861.0,0.5,20.0,4.0,199.2646300316513,164.18124271658724
104,861.0,0.5,30.0,1.0,203.28879356030896,166.45842614739234
105,861.0,0.5,30.0,2.0,207.24247472711377,169.49503690285098
106,861.0,0.5,30.0,3.0,196.35314578730436,162.4052950170939
107,861.0,0.5,30.0,4.0,203.5053628008648,163.71960587777315
108,861.0,0.5,50.0,1.0,207.62801828642262,169.68681011347235
