,seed,target_column,target_instances,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,10,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.7988604367092718,2.1290669028004325,2.742282876976158,2.0514483533063252
0,9,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.9054796296233123,2.15685645321385,2.6500955823273475,2.0244513750787823
0,3,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,3.1053325939620056,2.298237524436044,2.797205762278776,2.0822767877796458
0,1,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.946751715079784,2.2139606804854797,2.9300924031761735,2.2246817535187025
0,10,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.760219353185507,2.101502234864011,2.690430524461582,2.0107746972606613
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.75137394109655,2.1139897537579517,2.9234943621319665,2.2634931105969582
0,9,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.8344031021911094,2.1418590460648614,2.5378207360425953,1.9402949945247379
0,1,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.8430435347069523,2.1265885652504153,2.841043800144658,2.1621746571255684
0,4,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.6431773413416466,2.004128712758014,2.724579605816684,2.0664130303231834
0,8,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.7559739519498154,2.131384418867539,2.77377038644359,2.099224792355747
0,3,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.8388722455442874,2.1203973250821564,2.58350634581786,1.9296093514844528
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.5571072352198585,1.922880623418387,2.718833188384405,2.0523742323361165
0,3,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,4.055759272167795,3.130688824088181,3.781407904121896,2.9419651174210024
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.731436772630188,2.091937505641978,2.8780587255817967,2.245963279202333
0,1,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.471243382925325,2.6445969360945645,3.419801677548793,2.5853052107990484
0,9,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.2430228261765266,2.4103098145517,3.125817518496155,2.423617338140055
0,7,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.909590192541423,2.1838179892413945,2.9513672487740905,2.283665932263295
0,3,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,3.754612495692079,2.8933076737923953,3.480549336018026,2.692520748424299
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.369538181958257,2.538485172362977,3.477124432310112,2.674814968172451
0,1,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,3.3636811306670067,2.5489788014104238,3.330880280466037,2.5220107429201275
0,5,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,3.155702569341255,2.346223391293987,2.965372704369937,2.2583617694835465
0,4,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.5898512016194517,1.9674348257474785,2.643160681527947,2.000149773089314
0,3,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,3.163889572819368,2.3010750121239814,2.8292471535536716,2.046089296432254
0,4,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.9592432537576623,3.016671651427792,4.194575030749614,3.2564551459296607
0,1,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,3.0054895194588562,2.2561641001479074,2.952326372788821,2.2614306035197003
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,3.179244147580484,2.3999908053754293,3.2892051678145786,2.511189560469356
0,7,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.8665801275143785,2.169801446833725,2.8989806866918753,2.2348100126999033
0,7,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,4.402038378359132,3.4088573167893017,4.5527911393106475,3.5174116790834073
0,4,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,3.3723891309876706,2.5753217155272585,3.5355091914262933,2.734150148927148
