,seed,target_column,target_instances,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.393509366990366,1.7894033990396898,2.584626120537632,1.9468863412389377
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.288705220604157,1.689420076766177,2.4387808156052686,1.8042730425789997
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.2292125984195197,2.5286373356221943,3.6100221461129074,2.907955375145357
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,2.8625912929637294,2.210587041884695,3.192147621768146,2.5287339239522355
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.4360568830020597,1.8201827698773072,2.6433112660244587,1.9928066396334283
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.314126065024367,1.7238586455571168,2.4617875123154134,1.839255077950026
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,3.2803388133201925,2.5744235735005083,3.5839183339188674,2.8834379301832067
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,2.8644127984689836,2.204148119315215,3.1408817265514526,2.457622782406083
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.3697443079080256,1.7660020269910275,2.58593186062784,1.9366703958343097
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.2750084577508463,1.6829114086429342,2.4296351744610836,1.7986205511495765
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.5,3.654543573356355,2.9783983808971515,4.07443023377491,3.3709533599256543
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.908293770158892,2.2545022637657484,3.2590150831440963,2.5848786306131544
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.5,2.384649867757086,1.7775446429508992,2.5957355292759257,1.9451759575164902
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.9,2.287927598921966,1.7014874047685453,2.441671682163887,1.8111419415798353
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.05,0.5,3.670878552700594,2.9857183265033784,3.9857220718431434,3.291368991027588
0,2,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.05,0.9,2.951385728677125,2.295466933554699,3.220038060317931,2.545164604753224
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.3217598583157897,1.7187570775032555,2.4763191471028585,1.8433500070079853
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.01,0.9,2.2835097280941588,1.6838736791489273,2.428960205176879,1.796554397127736
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.05,0.5,2.827498005024819,2.1718458030840835,3.1473667684232116,2.486211334940504
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.05,0.9,2.524627403449206,1.9049710835095954,2.783559095033932,2.1442758241537594
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.01,0.5,2.3590391510853483,1.7671293204983698,2.51066206876233,1.8794307426987766
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.01,0.9,2.302138958712428,1.7182868157870579,2.443481006512451,1.8226375686272775
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.05,0.5,2.814848237101889,2.1659454446656925,3.0980719699002397,2.4193822893353705
0,2,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.05,0.9,2.49178996088768,1.8716475056884365,2.7171638176835025,2.0693660534969327
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,1,0.01,0.5,2.2914955758438396,1.7006085032301923,2.4336701727052295,1.806045566487488
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,1,0.01,0.9,2.2836623709057866,1.7003834988276734,2.438453567571345,1.8120700041223239
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,1,0.05,0.5,2.895161898924565,2.2385463997854598,3.2492937657891177,2.5725416020491036
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,1,0.05,0.9,2.456504161539055,1.8371633661948856,2.711577293099585,2.061460494847056
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,2,0.01,0.5,2.3312425052501964,1.7459380566686047,2.4795167244239225,1.8502144463680943
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,2,0.01,0.9,2.2899273341191773,1.7097926394054843,2.4453995785243134,1.815928602083302
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,2,0.05,0.5,2.906590239357351,2.2687617998060485,3.1880182609407104,2.5301863873995463
0,2,Hgv,95,LSTransferTreeBoost,0.1,2,2,0.05,0.9,2.3896489924881363,1.7785485848483766,2.6075519436512997,1.9579142938294554
0,2,Hgv,190,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.187347507364836,1.5764322049198414,2.376900295694409,1.7788789212846832
0,2,Hgv,190,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.1473293835485303,1.573031381284113,2.3171649162240153,1.7352959963047934
0,2,Hgv,190,LSTransferTreeBoost,0.05,1,1,0.05,0.5,2.5694195755624083,1.9350709822346805,2.862822674409251,2.2357808493955336
0,2,Hgv,190,LSTransferTreeBoost,0.05,1,1,0.05,0.9,2.5730682371242297,1.9251583053758698,2.850232136318823,2.223055544951721
0,2,Hgv,190,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.186936897564223,1.59493374825949,2.3431764705819162,1.7709579441455794
0,2,Hgv,190,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.1608356843338927,1.5693917800216572,2.309496601537843,1.7369962121116
0,2,Hgv,190,LSTransferTreeBoost,0.05,1,2,0.05,0.5,2.33848564135121,1.7225966645590098,2.5279903741575245,1.9331498340504631
0,2,Hgv,190,LSTransferTreeBoost,0.05,1,2,0.05,0.9,2.333016218888878,1.7216079736689747,2.548047454431222,1.9463961164897978
0,2,Hgv,190,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.139975239699701,1.5679485105130966,2.310459061168083,1.7355572857847223
0,2,Hgv,190,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.1410986427563423,1.5811613846719466,2.280139610715616,1.7065312151327408
0,2,Hgv,190,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.595968355358029,1.9630645784868714,2.9105520512053373,2.2707549549716366
0,2,Hgv,190,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.2648924565381274,1.63209011694975,2.489113899562844,1.8766824059689196
0,2,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.01,0.5,2.160630245174358,1.5705326615926327,2.3024028385807065,1.7311180679359897
0,2,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.01,0.9,2.140970420526322,1.5583625385278053,2.2719536869374224,1.694507747806072
0,2,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.05,0.5,2.4709504652658234,1.8648122625303163,2.7379174035063842,2.121984837220977
0,2,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.05,0.9,2.347372324188376,1.7481071562586277,2.5934002699123093,1.9895481703111526
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.1530810631170754,1.5896263748431643,2.3059843201800683,1.7343387699557915
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,1,0.01,0.9,2.1363873376540825,1.5673378221717595,2.2711342671349777,1.6949055559000044
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,1,0.05,0.5,2.365841531715196,1.7129043507501602,2.585776335281803,1.970579623993272
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,1,0.05,0.9,2.239737128060813,1.6131844869903589,2.452600300338791,1.8360241236086732
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,2,0.01,0.5,2.1818010430585204,1.5961191182704744,2.3151176985284945,1.7455280571679386
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,2,0.01,0.9,2.147052139038037,1.566012541153225,2.2841308387449337,1.7049910194922422
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,2,0.05,0.5,2.31692412530972,1.7074345849977275,2.519966820159726,1.9311660425930233
0,2,Hgv,190,LSTransferTreeBoost,0.1,1,2,0.05,0.9,2.246911324624262,1.6263287664444128,2.436329513085216,1.8429513319000526
0,2,Hgv,190,LSTransferTreeBoost,0.1,2,1,0.01,0.5,2.1436551236941606,1.5908700522118717,2.306980842936377,1.7380789944932689
0,2,Hgv,190,LSTransferTreeBoost,0.1,2,1,0.01,0.9,2.1391139246262174,1.5700908091123513,2.278227940185884,1.6966596087306023
0,2,Hgv,190,LSTransferTreeBoost,0.1,2,1,0.05,0.5,2.276965760291208,1.6446483782318808,2.514158525793247,1.8930318953500787
0,2,Hgv,190,LSTransferTreeBoost,0.1,2,1,0.05,0.9,2.1597883107697595,1.5383896424735035,2.357914677707638,1.7449202306970155
