,seed,target_column,target_instances,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,1,Volume,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,86.7557725880825,61.437676113286734,85.5604501644184,60.87203765899914
0,1,Volume,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,87.73180737483267,62.46140301167657,86.48876530773983,61.42110797492578
0,1,Volume,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,86.64297885507139,61.6122496580253,85.52141016457473,60.963204730680516
0,1,Volume,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,86.47226421870026,61.02616143198226,85.39273210313927,60.855391332043126
0,1,Volume,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,87.31629089556905,63.27235966430294,85.57387775527332,62.37670596298492
0,1,Volume,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,87.53304385280384,63.20184988547601,85.80338929522276,62.240159600638215
0,1,Volume,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,86.72975738449884,61.55805882756243,85.15281080103318,61.74367853788086
0,1,Volume,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,87.04138542284988,62.55644394312453,85.34137020144193,61.81171137236032
0,1,Volume,95,LSTransferTreeBoost,0.05,2,1,0.01,0.5,87.13152827126584,61.78562920713777,85.46637075217703,60.70353702158683
0,1,Volume,95,LSTransferTreeBoost,0.05,2,1,0.01,0.9,88.32074134233771,62.69057451630601,86.92851030785447,61.13924373302346
0,1,Volume,95,LSTransferTreeBoost,0.05,2,1,0.05,0.5,87.12789808864407,62.72148271156444,85.58042388133174,61.47487080384095
0,1,Volume,95,LSTransferTreeBoost,0.05,2,1,0.05,0.9,87.17980720593309,62.528594888516935,85.69258474576799,61.195380219682114
0,1,Volume,95,LSTransferTreeBoost,0.05,2,2,0.01,0.5,87.50821316326594,63.50416604989361,85.85083903473968,62.41086768072815
0,1,Volume,95,LSTransferTreeBoost,0.05,2,2,0.01,0.9,87.80034196951603,63.35804721976765,86.26114706082932,62.37441362175801
0,1,Volume,95,LSTransferTreeBoost,0.05,2,2,0.05,0.5,87.59524491674996,63.774679406811515,85.66167305098767,62.85154934793647
0,1,Volume,95,LSTransferTreeBoost,0.05,2,2,0.05,0.9,87.63727344264096,63.852086314950625,85.62612781393666,62.55695418457589
0,1,Volume,95,LSTransferTreeBoost,0.1,1,1,0.01,0.5,87.17899225819953,61.85901732178886,85.77198484433391,61.12524131805987
