,seed,target_column,target_instances,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,1,Dgv,150,LSTransferTreeBoost,0.02,1,1,0.01,0.9,7.700691229423943,5.319327409877584,6.522860917464819,4.535407038854482
0,1,Dgv,150,LSTransferTreeBoost,0.02,1,2,0.01,0.9,7.834584913691822,5.479618610121626,6.427231849548269,4.649744717373653
0,1,Dgv,150,LSTransferTreeBoost,0.02,2,1,0.01,0.9,7.554093255671676,5.183082703822599,6.456704914673901,4.515620328060798
0,1,Dgv,150,LSTransferTreeBoost,0.02,2,2,0.01,0.9,7.637468029560479,5.262758478672015,6.3215181741758695,4.532194888247673
0,1,Dgv,301,LSTransferTreeBoost,0.02,1,1,0.01,0.9,7.4802368509159605,5.091826160961061,6.328140896557844,4.394874998654726
0,1,Dgv,301,LSTransferTreeBoost,0.02,1,2,0.01,0.9,7.604613339439736,5.104677528962006,6.348632906753329,4.421506876149126
0,1,Dgv,301,LSTransferTreeBoost,0.02,2,1,0.01,0.9,7.403496233169612,4.982828713771596,6.301535328537073,4.3835728608529765
0,1,Dgv,301,LSTransferTreeBoost,0.02,2,2,0.01,0.9,7.565539701368844,5.137226434790673,6.387863876609164,4.4659625582056135
0,1,Dgv,451,LSTransferTreeBoost,0.02,1,1,0.01,0.9,7.238555630829781,4.8848522353773856,6.067864302078509,4.289025756716722
0,1,Dgv,451,LSTransferTreeBoost,0.02,1,2,0.01,0.9,7.2872293933077525,4.884659862044536,5.94843976753908,4.24608023053115
0,1,Dgv,451,LSTransferTreeBoost,0.02,2,1,0.01,0.9,7.202152643007236,4.839172596352605,6.028283918755388,4.282760712919755
0,1,Dgv,451,LSTransferTreeBoost,0.02,2,2,0.01,0.9,7.2966906531095175,4.879834711135482,5.9606465064846175,4.273265928694175
0,1,Dgv,602,LSTransferTreeBoost,0.02,1,1,0.01,0.9,7.235107749286157,4.835815228307141,6.06781425389814,4.273351460567908
0,1,Dgv,602,LSTransferTreeBoost,0.02,1,2,0.01,0.9,7.220780564935362,4.78478850789546,5.952900327084663,4.176268671319291
0,1,Dgv,602,LSTransferTreeBoost,0.02,2,1,0.01,0.9,7.2231921137578885,4.806019908815964,6.017422550786929,4.201725958971374
0,1,Dgv,602,LSTransferTreeBoost,0.02,2,2,0.01,0.9,7.216735290000754,4.771876000830261,5.954675640614444,4.163076036749796
0,1,Dgv,753,LSTransferTreeBoost,0.02,1,1,0.01,0.9,7.300291345020442,4.865724553595877,6.027849289486077,4.203627359136801
0,1,Dgv,753,LSTransferTreeBoost,0.02,1,2,0.01,0.9,7.27344635487801,4.810265069321599,5.8703362223478335,4.06401556082445
0,1,Dgv,753,LSTransferTreeBoost,0.02,2,1,0.01,0.9,7.277607591101839,4.796003314909835,6.00490079408963,4.12665708410622
0,1,Dgv,753,LSTransferTreeBoost,0.02,2,2,0.01,0.9,7.258772642919634,4.803114559024857,5.863616853197343,4.0506962701501825
0,1,Dgv,903,LSTransferTreeBoost,0.02,1,1,0.01,0.9,7.190945311425446,4.813718456030402,5.892619647022364,4.123429551949824
