,seed,target_instances,d,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,val_rmse,val_mae,rmse,mae
0,1,100,1,MLP,0.0005,0.0001,0.0,True,1.7777473,1.4388562,1.820961,1.4556631
0,1,100,1,MLP,0.0005,0.0001,0.0,False,1.7845727,1.4333447,1.8373309,1.4826977
0,1,100,2,MLP,0.0005,0.0001,0.0,True,1.9275455,1.6003591,1.9287485,1.5768379
0,1,100,1,MLP,0.0005,0.0001,0.1,True,1.6200132,1.2722886,1.6221597,1.2634709
0,1,100,3,MLP,0.0005,0.0001,0.0,True,2.3779664,1.9221224,2.3727992,1.9019148
0,1,100,1,MLP,0.0005,0.0001,0.1,False,1.8892373,1.5152235,1.9663539,1.5913167
0,1,100,2,MLP,0.0005,0.0001,0.0,False,1.8941168,1.5264746,1.9657629,1.5963082
0,1,100,3,MLP,0.0005,0.0001,0.0,False,1.7390661,1.3969729,1.792012,1.4548093
0,1,100,1,MLP,0.0005,5e-05,0.0,True,2.1992338,1.7795804,2.2301755,1.8258213
0,1,100,3,MLP,0.0005,0.0001,0.1,True,3.1303475,2.702065,3.208389,2.7857358
0,1,100,2,MLP,0.0005,0.0001,0.1,True,2.1529753,1.7717617,2.0986214,1.7069874
0,1,100,1,MLP,0.0005,5e-05,0.0,False,1.909021,1.5418748,1.9751318,1.5891365
0,1,100,3,MLP,0.0005,0.0001,0.1,False,1.7542486,1.392348,1.7855738,1.413654
0,1,100,2,MLP,0.0005,0.0001,0.1,False,1.7903199,1.4131081,1.8392503,1.4589452
0,1,100,1,MLP,0.0005,5e-05,0.1,True,1.7623595,1.4270698,1.7018183,1.3660189
0,1,100,1,MLP,0.0005,5e-05,0.1,False,1.8205837,1.4621755,1.8955585,1.5212729
0,1,100,2,MLP,0.0005,5e-05,0.0,True,2.2991908,1.8957309,2.2766926,1.8677335
0,1,100,3,MLP,0.0005,5e-05,0.0,True,2.1982708,1.7966775,2.2615066,1.8729521
0,1,100,3,MLP,0.0005,5e-05,0.0,False,1.8757302,1.5065734,1.9569806,1.5787319
0,1,100,2,MLP,0.0005,5e-05,0.0,False,1.8799213,1.5017586,1.9472598,1.5703317
0,1,100,1,MLP,0.0001,0.0001,0.0,True,1.7000198,1.3423555,1.7845236,1.4080591
0,1,100,1,MLP,0.0001,0.0001,0.0,False,1.8944074,1.5107521,1.9748958,1.5903274
0,1,100,3,MLP,0.0005,5e-05,0.1,True,2.4113526,2.023976,2.442435,2.0544903
0,1,100,2,MLP,0.0005,5e-05,0.1,True,2.3882222,1.9757911,2.2940156,1.8982751
0,1,100,3,MLP,0.0005,5e-05,0.1,False,1.987629,1.5975866,2.0509126,1.6552354
0,1,100,1,MLP,0.0001,0.0001,0.1,True,2.3533633,1.9938093,2.3697636,2.0044525
0,1,100,2,MLP,0.0005,5e-05,0.1,False,1.8441652,1.47703,1.9253114,1.5535874
0,1,100,1,MLP,0.0001,0.0001,0.1,False,1.9242061,1.5562329,1.9877884,1.6192925
0,1,100,3,MLP,0.0001,0.0001,0.0,True,2.1456473,1.7336543,2.1820605,1.7386013
0,1,100,2,MLP,0.0001,0.0001,0.0,True,2.111216,1.7479751,2.1052315,1.7197208
0,1,100,3,MLP,0.0001,0.0001,0.0,False,1.737091,1.3918968,1.7745888,1.4291968
0,1,100,1,MLP,0.0001,5e-05,0.0,True,1.7354394,1.3842143,1.7787193,1.4236135
0,1,100,2,MLP,0.0001,0.0001,0.0,False,1.9089254,1.5305498,1.9549177,1.5695974
0,1,100,1,MLP,0.0001,5e-05,0.0,False,1.7567377,1.4178054,1.8080654,1.461945
0,1,100,2,MLP,0.0001,0.0001,0.1,True,3.363857,3.023791,3.3164961,3.0107749
0,1,100,3,MLP,0.0001,0.0001,0.1,True,2.2280927,1.840198,2.1617029,1.7887596
0,1,100,1,MLP,0.0001,5e-05,0.1,True,2.8723874,2.5045025,2.892356,2.5168798
0,1,100,2,MLP,0.0001,0.0001,0.1,False,1.5929577,1.2596648,1.676703,1.348346
0,1,100,3,MLP,0.0001,0.0001,0.1,False,1.9045459,1.5284652,1.9850541,1.6062728
0,1,100,1,MLP,0.0001,5e-05,0.1,False,1.8289574,1.4697056,1.9056677,1.5324202
0,1,100,2,MLP,0.0001,5e-05,0.0,True,2.0471041,1.6477679,2.0229013,1.6321797
0,1,100,3,MLP,0.0001,5e-05,0.0,True,2.5037808,2.1326492,2.5092928,2.1071641
0,1,100,2,MLP,0.0001,5e-05,0.0,False,2.069044,1.6649528,2.1301212,1.714822
0,1,200,1,MLP,0.0005,0.0001,0.0,True,1.7725099,1.4278463,1.777021,1.428056
0,1,100,3,MLP,0.0001,5e-05,0.0,False,1.947899,1.5557005,1.9981279,1.6024089
0,1,200,1,MLP,0.0005,0.0001,0.0,False,1.6568567,1.3313286,1.6333524,1.3192819
0,1,100,2,MLP,0.0001,5e-05,0.1,True,2.0472019,1.7087097,1.956971,1.6215315
0,1,100,3,MLP,0.0001,5e-05,0.1,True,2.5522857,2.107797,2.5150802,2.0718527
0,1,100,2,MLP,0.0001,5e-05,0.1,False,1.8045291,1.4351306,1.874097,1.5075057
0,1,100,3,MLP,0.0001,5e-05,0.1,False,1.8820345,1.4863576,1.9196718,1.5309273
0,1,200,1,MLP,0.0005,0.0001,0.1,True,2.3045666,1.9609643,2.3080904,1.9775909
0,1,200,1,MLP,0.0005,0.0001,0.1,False,1.7304777,1.377526,1.7638294,1.3970029
0,1,200,3,MLP,0.0005,0.0001,0.0,True,2.8609803,2.465285,2.865164,2.49249
0,1,200,2,MLP,0.0005,0.0001,0.0,True,1.7067766,1.3678159,1.7104619,1.3697122
0,1,200,3,MLP,0.0005,0.0001,0.0,False,1.5175078,1.211354,1.4963857,1.1976067
0,1,200,2,MLP,0.0005,0.0001,0.0,False,1.5905836,1.2919796,1.5689025,1.2696422
0,1,200,1,MLP,0.0005,5e-05,0.0,True,1.8552821,1.4567207,1.9309095,1.5064821
0,1,200,3,MLP,0.0005,0.0001,0.1,True,3.4998932,3.251265,3.558339,3.304708
0,1,200,1,MLP,0.0005,5e-05,0.0,False,1.7269055,1.3869152,1.755891,1.4227208
0,1,200,2,MLP,0.0005,0.0001,0.1,True,2.7905102,2.5161185,2.786096,2.5152948
0,1,200,3,MLP,0.0005,0.0001,0.1,False,1.5059193,1.1928383,1.5150217,1.2035197
0,1,200,2,MLP,0.0005,0.0001,0.1,False,1.6600175,1.3264223,1.6414584,1.3057574
0,1,200,1,MLP,0.0005,5e-05,0.1,True,1.7774392,1.4658543,1.7942393,1.4508529
0,1,200,3,MLP,0.0005,5e-05,0.0,True,2.3775892,1.9926927,2.357652,1.9843918
0,1,200,2,MLP,0.0005,5e-05,0.0,True,2.5497806,2.1870914,2.576304,2.2252324
0,1,200,1,MLP,0.0005,5e-05,0.1,False,1.6441553,1.3149835,1.6410927,1.3113904
0,1,200,3,MLP,0.0005,5e-05,0.0,False,1.5413765,1.2286088,1.5338515,1.2147336
0,1,200,2,MLP,0.0005,5e-05,0.0,False,1.7533125,1.4005259,1.7674372,1.4139977
0,1,200,1,MLP,0.0001,0.0001,0.0,True,2.1462944,1.747451,2.137466,1.7460515
0,1,200,2,MLP,0.0005,5e-05,0.1,True,4.376957,4.1667295,4.355813,4.149699
0,1,200,3,MLP,0.0005,5e-05,0.1,True,1.8507298,1.5397414,1.8978658,1.584712
0,1,200,1,MLP,0.0001,0.0001,0.0,False,1.9350061,1.5516691,1.9436028,1.5607766
0,1,200,2,MLP,0.0005,5e-05,0.1,False,1.6787083,1.3431215,1.674536,1.325787
0,1,200,3,MLP,0.0005,5e-05,0.1,False,1.5140883,1.1802509,1.5128416,1.1848634
0,1,200,1,MLP,0.0001,0.0001,0.1,True,1.6482384,1.3236333,1.6441762,1.3286611
0,1,200,2,MLP,0.0001,0.0001,0.0,True,1.9180125,1.5547866,1.9425011,1.5666933
0,1,200,3,MLP,0.0001,0.0001,0.0,True,2.922892,2.5432243,2.959605,2.6084166
0,1,200,1,MLP,0.0001,0.0001,0.1,False,1.64664,1.313629,1.6375355,1.305146
0,1,200,3,MLP,0.0001,0.0001,0.0,False,1.4659618,1.1600554,1.4386638,1.1389248
0,1,200,2,MLP,0.0001,0.0001,0.0,False,1.6290321,1.296705,1.6172407,1.2826526
0,1,200,1,MLP,0.0001,5e-05,0.0,True,3.6338153,3.3617122,3.6213536,3.3508608
0,1,200,3,MLP,0.0001,0.0001,0.1,True,4.5502744,4.32321,4.5862026,4.359233
0,1,200,2,MLP,0.0001,0.0001,0.1,True,3.2587988,2.9624794,3.3187754,3.0199332
0,1,200,1,MLP,0.0001,5e-05,0.0,False,1.817312,1.4518262,1.8390867,1.4719809
0,1,200,3,MLP,0.0001,0.0001,0.1,False,1.5672379,1.2256931,1.5588329,1.2158846
0,1,200,2,MLP,0.0001,0.0001,0.1,False,1.6397702,1.3128566,1.6436392,1.3081592
0,1,200,1,MLP,0.0001,5e-05,0.1,True,1.991678,1.6435488,2.0028272,1.6715437
0,1,200,3,MLP,0.0001,5e-05,0.0,True,2.2180622,1.8129253,2.2131128,1.8156818
0,1,200,2,MLP,0.0001,5e-05,0.0,True,1.9458324,1.58106,1.8994033,1.5566564
0,1,200,3,MLP,0.0001,5e-05,0.0,False,1.5916908,1.2715086,1.5717893,1.2620898
0,1,200,1,MLP,0.0001,5e-05,0.1,False,1.6667413,1.3389872,1.6553233,1.3215038
0,1,200,2,MLP,0.0001,5e-05,0.0,False,1.5824006,1.273423,1.5574163,1.2516035
0,1,200,3,MLP,0.0001,5e-05,0.1,True,2.7359736,2.3971424,2.799322,2.4438007
0,1,300,1,MLP,0.0005,0.0001,0.0,True,1.4974449,1.1982412,1.4874381,1.2088507
0,1,200,2,MLP,0.0001,5e-05,0.1,True,1.714755,1.3808976,1.720965,1.4107974
0,1,200,3,MLP,0.0001,5e-05,0.1,False,1.5689738,1.2338438,1.5624588,1.2240546
0,1,200,2,MLP,0.0001,5e-05,0.1,False,1.6449485,1.32281,1.6476033,1.3107245
0,1,300,1,MLP,0.0005,0.0001,0.0,False,0.99243325,0.7893177,1.029159,0.8144002
0,1,300,2,MLP,0.0005,0.0001,0.0,True,2.73176,2.4089358,2.7478242,2.406022
0,1,300,1,MLP,0.0005,0.0001,0.1,True,2.4722664,2.1652844,2.4467883,2.144082
0,1,300,3,MLP,0.0005,0.0001,0.0,True,1.6112051,1.2953917,1.6760497,1.3285651
0,1,300,2,MLP,0.0005,0.0001,0.0,False,1.3954797,1.1073735,1.4366215,1.1148971
0,1,300,3,MLP,0.0005,0.0001,0.0,False,1.1053926,0.8708952,1.132324,0.87166506
0,1,300,1,MLP,0.0005,0.0001,0.1,False,1.2271265,0.9828811,1.2680129,1.0097592
0,1,300,2,MLP,0.0005,0.0001,0.1,True,1.6221355,1.3444232,1.6618662,1.37645
0,1,300,1,MLP,0.0005,5e-05,0.0,True,1.9773513,1.6240102,2.0372872,1.6691817
0,1,300,3,MLP,0.0005,0.0001,0.1,True,1.6071813,1.3038186,1.6589359,1.3406847
0,1,300,2,MLP,0.0005,0.0001,0.1,False,1.2677394,1.0148985,1.3036474,1.0241083
0,1,300,1,MLP,0.0005,5e-05,0.0,False,1.208254,0.9691651,1.2465585,0.99886316
0,1,300,3,MLP,0.0005,0.0001,0.1,False,1.1814954,0.92291415,1.2538956,0.97474766
0,1,300,2,MLP,0.0005,5e-05,0.0,True,1.6319356,1.3123876,1.7186499,1.3884648
0,1,300,1,MLP,0.0005,5e-05,0.1,True,1.5936887,1.2923218,1.5826286,1.2714391
0,1,300,3,MLP,0.0005,5e-05,0.0,True,1.5689987,1.2549756,1.6374942,1.3089027
0,1,300,2,MLP,0.0005,5e-05,0.0,False,1.2488257,0.9953517,1.2666177,1.002009
0,1,300,3,MLP,0.0005,5e-05,0.0,False,1.2223027,0.9515881,1.2627722,0.98238987
0,1,300,1,MLP,0.0005,5e-05,0.1,False,1.3712205,1.0905278,1.4092486,1.1087279
0,1,300,2,MLP,0.0005,5e-05,0.1,True,1.6021016,1.2940553,1.6204878,1.31251
0,1,300,1,MLP,0.0001,0.0001,0.0,True,1.5819434,1.2711533,1.5561239,1.2439708
0,1,300,3,MLP,0.0005,5e-05,0.1,True,2.2518442,1.9405521,2.2766197,1.9533389
