,seed,target_column,target_instances,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,val_rmse,val_mae,rmse,mae
0,3,Volume,570,MLP,0.0005,0.0001,0.0,True,127.32787,93.13221,129.67303,97.71816
0,3,Volume,570,MLP,0.0005,0.0001,0.0,False,73.72019,50.076885,74.099945,48.83823
0,3,Volume,570,MLP,0.0005,0.0001,0.1,True,97.60133,64.9957,98.18687,68.66319
0,3,Volume,570,MLP,0.0005,0.0001,0.1,False,78.55192,52.863274,78.597206,51.25446
0,3,Volume,570,MLP,0.0005,5e-05,0.0,True,98.15907,65.265076,99.17982,68.673615
0,3,Volume,570,MLP,0.0005,5e-05,0.0,False,74.98906,50.641953,75.77933,50.083786
0,3,Volume,570,MLP,0.0005,5e-05,0.1,True,109.28393,75.45919,112.14014,80.25538
0,3,Volume,570,MLP,0.0005,5e-05,0.1,False,75.90272,50.544525,76.606094,49.374825
0,3,Volume,570,MLP,0.0001,0.0001,0.0,True,152.20491,115.39309,155.67426,121.06104
0,3,Volume,570,MLP,0.0001,0.0001,0.0,False,74.959625,52.262512,75.44525,51.208576
0,3,Volume,570,MLP,0.0001,0.0001,0.1,True,141.27759,105.834236,144.54231,111.438995
0,1,Volume,570,MLP,0.0005,0.0001,0.0,True,102.71517,73.20362,103.60414,72.836494
0,3,Volume,570,MLP,0.0001,0.0001,0.1,False,74.74563,49.65404,75.67141,49.21718
0,1,Volume,570,MLP,0.0005,0.0001,0.0,False,71.38627,49.42084,73.956436,50.538086
0,2,Volume,570,MLP,0.0005,0.0001,0.0,True,97.550026,69.36263,107.76025,75.821266
0,4,Volume,570,MLP,0.0005,0.0001,0.0,True,141.17215,105.92548,138.9317,106.835785
0,2,Volume,570,MLP,0.0005,0.0001,0.0,False,68.71487,48.92563,79.01466,55.485363
0,4,Volume,570,MLP,0.0005,0.0001,0.0,False,76.65599,51.773533,72.43117,51.86229
0,3,Volume,570,MLP,0.0001,5e-05,0.0,True,100.826035,68.953964,103.44482,72.62162
0,1,Volume,570,MLP,0.0005,0.0001,0.1,True,111.08002,81.25647,111.87671,80.30238
0,5,Volume,570,MLP,0.0005,0.0001,0.0,True,105.052864,73.04985,102.34762,72.79574
