,seed,target_column,target_instances,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,val_rmse,val_mae,rmse,mae
0,1,Volume,95,MLP,0.0005,0.0001,0.0,False,131.45172,105.65498,138.85413,108.60895
0,1,Volume,95,MLP,0.0005,0.0001,0.1,False,117.45321,93.33151,120.648026,93.842155
0,1,Volume,95,MLP,0.0005,5e-05,0.0,False,110.59789,88.89841,114.658905,86.66317
0,1,Volume,95,MLP,0.0005,5e-05,0.1,False,124.89133,98.5082,125.4277,98.72659
0,1,Volume,95,MLP,0.0001,0.0001,0.0,False,124.99806,96.21085,130.77295,95.62551
0,1,Volume,95,MLP,0.0001,0.0001,0.1,False,116.0776,90.75574,119.47025,89.99542
0,1,Volume,95,MLP,0.0001,5e-05,0.0,False,127.43091,100.115906,129.90285,97.696594
0,1,Volume,95,MLP,0.0001,5e-05,0.1,False,109.90668,85.791824,117.23631,88.03419
0,1,Dgv,95,MLP,0.0005,0.0001,0.0,False,14.611075,11.083725,14.903382,11.28489
0,1,Dgv,95,MLP,0.0005,0.0001,0.1,False,11.186571,8.993684,11.365053,9.060814
0,1,Dgv,95,MLP,0.0005,5e-05,0.0,False,14.862494,11.891447,15.663499,12.170183
0,1,Dgv,95,MLP,0.0005,5e-05,0.1,False,11.357469,9.046135,11.524531,8.922999
0,1,Dgv,95,MLP,0.0001,0.0001,0.0,False,14.335354,11.950078,15.323922,11.936231
0,1,Dgv,95,MLP,0.0001,0.0001,0.1,False,16.292786,13.71897,17.24456,14.253846
0,1,Dgv,95,MLP,0.0001,5e-05,0.0,False,15.228793,12.35362,16.380981,12.512469
0,1,Dgv,95,MLP,0.0001,5e-05,0.1,False,26.588448,20.961761,26.57486,20.762964
0,1,Volume,190,MLP,0.0005,0.0001,0.0,False,103.80538,77.35689,104.93247,75.32401
0,1,Volume,190,MLP,0.0005,0.0001,0.1,False,88.70391,62.590443,88.17634,60.405712
0,1,Volume,190,MLP,0.0005,5e-05,0.0,False,120.22827,90.42886,122.68933,89.04495
0,1,Volume,190,MLP,0.0005,5e-05,0.1,False,104.07677,80.118164,104.733406,77.771614
0,1,Volume,190,MLP,0.0001,0.0001,0.0,False,101.048485,74.72574,106.38524,74.477516
