,seed,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,860.0,0.1,1.0,2.552092711537353,1.1795610370122105,1.4265803152059362,0.5782097779209391
1,860.0,0.1,2.0,2.394997272912635,1.2343328518958723,3.661559986308644,1.4347771089926211
2,860.0,0.1,3.0,2.7628499742926,1.7332049263170604,2.970233107548422,1.6144417435320364
3,860.0,0.1,4.0,3.8746591750633703,2.405359436471999,3.9645609231322325,2.4529294483723647
4,860.0,0.1,5.0,3.975726854995951,2.562247819356019,4.950195063813565,3.22664084202328
5,860.0,0.1,6.0,4.2163975936500915,2.7203746537292868,5.224646900112588,3.3764521444185998
6,861.0,0.1,1.0,5.242320263486376,3.011531217669408,3.729647521070811,2.0726717063030797
7,861.0,0.1,2.0,4.762697921535745,2.590339394586403,3.060252129561207,1.5991577757749806
8,861.0,0.1,3.0,4.487600399970707,2.63066357239186,2.8754894146255294,2.060275054131527
9,861.0,0.1,4.0,3.652298965933828,2.339338093789955,2.750677520811331,1.927407341225548
10,861.0,0.1,5.0,4.14141989680275,2.9233314218280895,3.9836337250490312,2.907484012935266
11,861.0,0.1,6.0,4.871478615518127,3.6445718745840354,5.271211406823897,3.9511096017535046
12,862.0,0.1,1.0,0.8863306756446963,0.31428272772302046,4.480263607343651,1.6593276181530385
13,862.0,0.1,2.0,0.14966191631428966,0.10733866572318425,3.6827390597916767,1.4823105516487967
14,862.0,0.1,3.0,0.6962012052945469,0.2700483935474305,3.223762668211786,1.3279811838450195
15,862.0,0.1,4.0,2.799038786905544,1.2357186319630582,3.9978197728249127,2.313355497807699
16,862.0,0.1,5.0,2.779822800116173,1.2187387511284726,4.117497061668174,2.425019144415779
17,862.0,0.1,6.0,5.088987271538334,3.187284714365066,6.209066318809189,4.110253610089085
18,863.0,0.1,1.0,1.664452084328578,0.6794782775642917,1.6075741551735871,0.5746780283769671
19,863.0,0.1,2.0,0.6243559616670094,0.23994579932696877,1.4595439909032626,0.5101870083609292
20,863.0,0.1,3.0,1.0933407333353051,0.5703894465466056,1.8948006182980277,0.8172867331526585
21,863.0,0.1,4.0,2.3076979079387545,1.76093205671149,2.4347925325706132,1.4473560671398527
22,863.0,0.1,5.0,2.3941859720403253,1.9158619973772906,2.62803802827324,1.6938304380187403
23,863.0,0.1,6.0,4.013930991029918,2.894102121961386,3.31192062207129,1.9191727738242534
24,864.0,0.1,1.0,0.08721723902906087,0.062207566159312895,0.1707303801709542,0.11636243948131492
25,864.0,0.1,2.0,0.35689670973671517,0.1259220224635388,0.16735094064014402,0.11638162849176023
26,864.0,0.1,3.0,0.7609755275119602,0.40188777850588303,0.6776678527639436,0.3545626400940047
27,864.0,0.1,4.0,1.7344350048579147,0.8599216706934867,1.0495408100910497,0.5820251644898744
28,864.0,0.1,5.0,2.529752941168066,1.432426616654435,2.0488670604221824,1.1607655153370653
29,864.0,0.1,6.0,4.781663862121261,2.2841321206689322,5.373462010032837,3.041593144542159
30,865.0,0.1,1.0,1.3660241928503634,0.5909946423424195,1.823020823776414,0.6408829729056535
31,865.0,0.1,2.0,0.23782800571827953,0.13275943425597286,2.112953632496468,0.8408847999840127
32,865.0,0.1,3.0,1.0423456989186353,0.685894409547376,2.4901033130753514,1.2033310304203926
33,865.0,0.1,4.0,1.3682522922157212,0.8620040998237298,2.46518239997896,1.1498743500393436
