,seed,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,860.0,0.05,1.0,1.0,0.01,0.9,400.0,0.11311228339948842,0.0817102221692909,0.08712961435366302,0.06905558032437124
1,860.0,0.05,1.0,1.0,0.0,0.5,400.0,0.11598800583108357,0.08325767404315638,0.08849610839958195,0.07137372576958785
2,860.0,0.05,1.0,2.0,0.01,0.9,400.0,0.12103231410745333,0.09198113078816968,0.08778458300262999,0.07166097561685376
3,860.0,0.05,1.0,2.0,0.0,0.5,400.0,0.12186806711418637,0.09085687414392653,0.09032653131802997,0.07722619088156012
4,860.0,0.05,1.0,3.0,0.01,0.9,400.0,0.12923675596935702,0.09927691074308258,0.09109593163894882,0.07253969358910452
5,860.0,0.05,1.0,3.0,0.0,0.5,400.0,0.12465168022546544,0.09499657451352983,0.09537432539124942,0.07291840005232783
6,860.0,0.05,2.0,1.0,0.01,0.9,400.0,0.10873392629244344,0.07943584378197736,0.08195413849743678,0.06479174435167769
7,860.0,0.05,2.0,1.0,0.0,0.5,400.0,0.11273458083120348,0.08722166520988918,0.08981781827235019,0.07549201391056383
8,860.0,0.05,2.0,2.0,0.01,0.9,400.0,0.1168809099890735,0.08957171266933743,0.08615103721713373,0.07294136797078878
9,860.0,0.05,2.0,2.0,0.0,0.5,400.0,0.11993968667269336,0.09150775077389475,0.08856113006288344,0.0753135052361594
10,860.0,0.05,2.0,3.0,0.01,0.9,400.0,0.12103200375152,0.09095642641207773,0.09787051740204632,0.07484372825492293
11,860.0,0.05,2.0,3.0,0.0,0.5,400.0,0.12280984990824598,0.09387318805977497,0.09563691135977921,0.076672087292967
12,860.0,0.05,3.0,1.0,0.01,0.9,400.0,0.14988699231813885,0.100823032367944,0.08344821692047684,0.06900734442836631
13,860.0,0.05,3.0,1.0,0.0,0.5,400.0,0.11472189777519995,0.08388868781586066,0.08709081675646804,0.07152834960066691
14,860.0,0.05,3.0,2.0,0.01,0.9,400.0,0.11881349634353323,0.09083141406651145,0.08702193243386984,0.07367723763494927
15,860.0,0.05,3.0,2.0,0.0,0.5,400.0,0.12093132131293094,0.09081940714085542,0.09360098731567862,0.07357021002741067
16,860.0,0.05,3.0,3.0,0.01,0.9,400.0,0.11817532857223699,0.09397872387672666,0.09705136466558265,0.0783777093189825
17,860.0,0.05,3.0,3.0,0.0,0.5,400.0,0.12211626313238183,0.09707628815077267,0.09672194246012406,0.07913821878441886
18,860.0,0.1,1.0,1.0,0.01,0.9,400.0,0.11153959687315809,0.08344357423603649,0.08420445931504382,0.07073453367811959
19,860.0,0.1,1.0,1.0,0.0,0.5,400.0,0.12372543239654771,0.08986247806810335,0.09502795744054511,0.07698540721208667
20,860.0,0.1,1.0,2.0,0.01,0.9,400.0,0.12337149029569097,0.09693688434484937,0.09370498750904446,0.08128131485917243
21,860.0,0.1,1.0,2.0,0.0,0.5,400.0,0.126777712847011,0.09362094750494526,0.08916325992220411,0.07581096485059156
22,860.0,0.1,1.0,3.0,0.01,0.9,400.0,0.12912092324599614,0.1005432889664486,0.09247203539946769,0.07698375880394227
23,860.0,0.1,1.0,3.0,0.0,0.5,400.0,0.12670039501069486,0.09647324815921612,0.09364544440674849,0.0699869318591485
24,860.0,0.1,2.0,1.0,0.01,0.9,400.0,0.10851015382520036,0.08551669540566546,0.08288033284059089,0.06666577967195829
25,860.0,0.1,2.0,1.0,0.0,0.5,400.0,0.11367227182117882,0.08674344026011029,0.09871466531595535,0.07941591600660776
26,860.0,0.1,2.0,2.0,0.01,0.9,400.0,0.12163563604139209,0.09605207244539989,0.0884603852621074,0.07722522934196707
27,860.0,0.1,2.0,2.0,0.0,0.5,400.0,0.12230860334979117,0.09177219178572689,0.09074510503385069,0.07692962082161961
28,860.0,0.1,2.0,3.0,0.01,0.9,400.0,0.12257259908530765,0.098400276719847,0.0974644724467835,0.08181580692189938
29,860.0,0.1,2.0,3.0,0.0,0.5,400.0,0.12843384406089584,0.09725308002938361,0.09349756385921067,0.0759597602644327
30,860.0,0.1,3.0,1.0,0.01,0.9,400.0,0.12536167639261236,0.09419913847689666,0.07941244099442034,0.06766206957226312
31,860.0,0.1,3.0,1.0,0.0,0.5,400.0,0.11226012403140412,0.08190599828182905,0.0844231717882384,0.06781497960473906
32,860.0,0.1,3.0,2.0,0.01,0.9,400.0,0.1118028715209387,0.08799042081222513,0.09030079158477514,0.07689053907926893
33,860.0,0.1,3.0,2.0,0.0,0.5,400.0,0.12156375295411728,0.0911740624479453,0.08965830258708662,0.07327536643072997
34,860.0,0.1,3.0,3.0,0.01,0.9,400.0,0.11940831913644023,0.09803677657083665,0.09959265085718556,0.08592850601754566
35,860.0,0.1,3.0,3.0,0.0,0.5,400.0,0.11749197886646479,0.09429500096552539,0.09718559646897434,0.07389565900607362
36,860.0,0.2,1.0,1.0,0.01,0.9,400.0,0.11079864719308682,0.08606596578380596,0.08600225989629628,0.06890619307504028
37,860.0,0.2,1.0,1.0,0.0,0.5,400.0,0.12122877698191976,0.08642746166986799,0.08710828876563881,0.0710269865956933
