,seed,lr,n_estimators,tree_size,rmse,mae
0,860.0,0.1,10.0,1.0,0.06673885279143212,0.05202249869958468
1,860.0,0.1,10.0,2.0,0.07300009740817255,0.054593088167640115
2,860.0,0.1,10.0,3.0,0.07612235083715838,0.06061619971834441
3,860.0,0.1,10.0,4.0,0.06798831077382507,0.054610299328566946
4,860.0,0.1,20.0,1.0,0.08261673873063605,0.0695687078755566
5,860.0,0.1,20.0,2.0,0.06964565817294041,0.055620566959434285
6,860.0,0.1,20.0,3.0,0.07117596290335705,0.05856566096435557
7,860.0,0.1,20.0,4.0,0.07569516914851239,0.05938677195927506
8,860.0,0.1,30.0,1.0,0.06812836117716566,0.054699815273267116
9,860.0,0.1,30.0,2.0,0.06922010239419533,0.05553071425318853
10,860.0,0.1,30.0,3.0,0.07348187547808255,0.06003426239848272
11,860.0,0.1,30.0,4.0,0.07676053157669334,0.060919344726283964
12,860.0,0.1,50.0,1.0,0.07763887760354365,0.0656248335423499
13,860.0,0.1,50.0,2.0,0.08120077092906887,0.06340897016628275
14,860.0,0.1,50.0,3.0,0.07949577061785851,0.0633549511851967
15,860.0,0.1,50.0,4.0,0.07896297577990295,0.06238505403938636
16,860.0,0.1,100.0,1.0,0.07763887760354365,0.0656248335423499
17,860.0,0.1,100.0,2.0,0.09118574513307169,0.07116372879277698
18,860.0,0.1,100.0,3.0,0.08301692926025384,0.06404363102545044
19,860.0,0.1,100.0,4.0,0.0785586208009041,0.06211160347819463
20,860.0,0.1,150.0,1.0,0.07421389045070052,0.06240824005780267
21,860.0,0.1,150.0,2.0,0.0688277721830173,0.05664800542708238
22,860.0,0.1,150.0,3.0,0.09518472480567287,0.07313971349155766
23,860.0,0.1,150.0,4.0,0.0796994928781696,0.06245543935034721
24,860.0,0.5,10.0,1.0,0.07763887760354365,0.0656248335423499
25,860.0,0.5,10.0,2.0,0.08031880206009223,0.06280687773434358
26,860.0,0.5,10.0,3.0,0.08020700017740412,0.06340267377361142
27,860.0,0.5,10.0,4.0,0.07790836692517637,0.06134883765599137
28,860.0,0.5,20.0,1.0,0.07763887760354365,0.0656248335423499
29,860.0,0.5,20.0,2.0,0.07813345833540958,0.06410326577892067
30,860.0,0.5,20.0,3.0,0.08248730769687954,0.06318836138606207
31,860.0,0.5,20.0,4.0,0.08106474189448631,0.062292852460813196
32,860.0,0.5,30.0,1.0,0.06462958637020058,0.05131546918349727
33,860.0,0.5,30.0,2.0,0.06964944852298834,0.0576349843583763
34,860.0,0.5,30.0,3.0,0.0948530248073939,0.07212982940362193
35,860.0,0.5,30.0,4.0,0.08265632314870423,0.06355951076693503
36,860.0,0.5,50.0,1.0,0.06520479619263692,0.05100509484062034
37,860.0,0.5,50.0,2.0,0.10820122027056948,0.0889006419352728
38,860.0,0.5,50.0,3.0,0.0698129148336012,0.05597600025688472
39,860.0,0.5,50.0,4.0,0.08044716118323107,0.06274589959123206
