,seed,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,860.0,0.05,1.0,0.10311058763468076,0.07516621794867435,0.07317219619696769,0.05547321803201978
1,860.0,0.05,2.0,0.1118971924628874,0.08217586735498307,0.07518535820941119,0.05708974589182988
2,860.0,0.05,3.0,0.12120235361953237,0.09047472882753108,0.08014606505415163,0.06007955382054438
3,860.0,0.05,4.0,0.13491013090416104,0.10754123995251473,0.08969060989702345,0.0653653446742881
4,860.0,0.05,5.0,0.1421953194486207,0.11241230321085167,0.09332066214151982,0.06639361679513706
5,860.0,0.05,6.0,0.1454736946013968,0.11403601083184557,0.09443114916378192,0.067815544819918
6,860.0,0.05,7.0,0.14733799018978022,0.1169841396098021,0.09376111242173649,0.0725156301899233
7,860.0,0.075,1.0,0.10361661449803126,0.07547189259488606,0.07425520330830065,0.05616864615466462
8,860.0,0.075,2.0,0.11306554898504022,0.08380024358460098,0.07493239854300915,0.05628837439335089
9,860.0,0.075,3.0,0.12519885122423544,0.09409988600944472,0.08252291135537808,0.06120396890304877
10,860.0,0.075,4.0,0.13847281048760787,0.11063929176158835,0.09161566149001125,0.06777126478071982
11,860.0,0.075,5.0,0.14305517418214475,0.11378884138386378,0.09579580060639611,0.0702445662613362
12,860.0,0.075,6.0,0.146710636198009,0.11480722314010372,0.09238879569094523,0.06776959806119164
13,860.0,0.075,7.0,0.1492094356219438,0.1202298217819554,0.09461241910797578,0.06989328726335764
14,860.0,0.1,1.0,0.10371486774044668,0.07549135545503495,0.07687911418355958,0.05813898912248582
15,860.0,0.1,2.0,0.11483258840029989,0.08448587127831628,0.0775375258058239,0.058115498413678586
16,860.0,0.1,3.0,0.12171027200810736,0.09116642337092198,0.08179408108368025,0.061656169535613946
17,860.0,0.1,4.0,0.13794195808306556,0.10980864596713452,0.08944511336526605,0.06567762312641498
18,860.0,0.1,5.0,0.14280356474941483,0.11068743302143015,0.09553075238271391,0.06888036508002802
19,860.0,0.1,6.0,0.1468799904779383,0.1144961068593857,0.0937690926334127,0.06878140051166193
20,860.0,0.1,7.0,0.15125301173851263,0.11934301480671511,0.09476156156079676,0.0699256222612603
21,860.0,0.125,1.0,0.10434456860006067,0.0755566955880759,0.06995007439981357,0.052991290328811176
22,860.0,0.125,2.0,0.11397149259396182,0.08573135472869131,0.07674126737951481,0.05771476598616235
23,860.0,0.125,3.0,0.12487284386212463,0.09449142568349828,0.08123447117666086,0.06014773052026568
24,860.0,0.125,4.0,0.13776634165095472,0.10915829594389129,0.08779797845426836,0.06558025310828522
25,860.0,0.125,5.0,0.14096124392497578,0.11281419271126233,0.09641834991509644,0.07026586817618186
26,860.0,0.125,6.0,0.1480979945954539,0.11711713312133376,0.09459046684448182,0.06918497932488432
27,860.0,0.125,7.0,0.14983552677620002,0.12144793404853739,0.09740850925229269,0.07292158122857414
28,860.0,0.15,1.0,0.10555213743244929,0.07580403283609026,0.0704652738598726,0.05331945472743378
29,860.0,0.15,2.0,0.11624369401301804,0.08638239617939912,0.08046602792830065,0.05931699847703573
30,860.0,0.15,3.0,0.12628750785939377,0.09473391848177103,0.08345846923520507,0.061883899170175435
31,860.0,0.15,4.0,0.13909213706383727,0.11154544044405826,0.08891271261140223,0.06589350661465543
32,860.0,0.15,5.0,0.14500777506947823,0.11357521003375759,0.09544094532959004,0.0695071476129079
33,860.0,0.15,6.0,0.14731282781756821,0.11898605151626683,0.09594260249471191,0.06958391683570732
34,860.0,0.15,7.0,0.1508664604987207,0.12188349110297411,0.0963458750338386,0.07327921170989649
35,860.0,0.175,1.0,0.10846929353003815,0.07708512350792864,0.06922309945087006,0.05212476579750071
36,860.0,0.175,2.0,0.11354673625949512,0.08361984753568195,0.07484773783509635,0.05576615835143388
37,860.0,0.175,3.0,0.12680042225069976,0.09583316059694003,0.0844101972417779,0.06377348950610431
38,860.0,0.175,4.0,0.14137257160022623,0.11120421954491741,0.09183152748268805,0.06762572449146294
39,860.0,0.175,5.0,0.14645962632596177,0.11608150942583938,0.09343877174433482,0.06706041911749576
40,860.0,0.175,6.0,0.14853034656461672,0.11739250322164892,0.10299215265566412,0.07542565139593782
41,860.0,0.175,7.0,0.1525678725723033,0.1244157769435891,0.10387633883104455,0.0815366762090106
42,860.0,0.2,1.0,0.1089284200907747,0.07976361695067136,0.07520387342722248,0.057395680664676256
43,860.0,0.2,2.0,0.11432561064041337,0.08798350586550427,0.07775993537880643,0.058912300418768375
44,860.0,0.2,3.0,0.12403952691591939,0.09499160182631926,0.08208944251791105,0.0618685678189367
45,860.0,0.2,4.0,0.13905158857826766,0.10987719080391015,0.09021342965839611,0.06575957627359828
46,860.0,0.2,5.0,0.14766360814975887,0.1172280371619227,0.10062461331310286,0.07406496016476605
47,860.0,0.2,6.0,0.1503071992848525,0.12138031063541,0.10187748746696845,0.07590952025717894
48,860.0,0.2,7.0,0.14778745337207888,0.11861899718662844,0.1031046992259015,0.07805103191776555
49,860.0,0.225,1.0,0.10837485007001031,0.07859034120755379,0.06828218143872433,0.050662001083425535
50,860.0,0.225,2.0,0.11574689726106115,0.0896329834250915,0.0812903434987811,0.061415247168745836
51,860.0,0.225,3.0,0.12759854664785103,0.09739272912329151,0.08478054515303049,0.06420372101510567
52,860.0,0.225,4.0,0.1372657684677084,0.10859101181358344,0.08369862923018077,0.06404726505239261
53,860.0,0.225,5.0,0.15005319151222724,0.11748573460422623,0.10139532401664479,0.07617450344260165
54,860.0,0.225,6.0,0.1523924315871439,0.11901058986548987,0.10434614264024394,0.07696148300386833
55,860.0,0.225,7.0,0.1541887056529157,0.1218503288926755,0.11191794013792561,0.08517083426674998
56,860.0,0.25,1.0,0.1089093224682554,0.0797591210294365,0.0710757802266737,0.05375317117153012
57,860.0,0.25,2.0,0.12169039655327991,0.08986833690012315,0.08324668559352719,0.06332806647134617
58,860.0,0.25,3.0,0.12286001125106581,0.09452863945567952,0.08090876345718216,0.06311926244628388
59,860.0,0.25,4.0,0.14058073684070785,0.11230769962678093,0.08396885680212342,0.06373885960642299
60,860.0,0.25,5.0,0.14851502094931243,0.11461967830190684,0.10259468136124378,0.07691350682881751
61,860.0,0.25,6.0,0.15175787819588407,0.12204024472080338,0.10452246680357455,0.0772441259442594
62,860.0,0.25,7.0,0.14888402026198594,0.12249388672108112,0.10461437738047119,0.0811017952608887
63,860.0,0.275,1.0,0.10440729314943224,0.07689938998463391,0.07076207577787233,0.054243992443044224
64,860.0,0.275,2.0,0.11644038612990099,0.08999213445156848,0.08179273271659901,0.06240119804817453
65,860.0,0.275,3.0,0.12743155908862827,0.09495056349967909,0.08546909686526231,0.06488910929307296
66,860.0,0.275,4.0,0.14151156632805242,0.11245757485819208,0.08848470586202778,0.06524595525329367
67,860.0,0.275,5.0,0.14745493191103168,0.11812935071752727,0.0964353699191064,0.07235635738906793
68,860.0,0.275,6.0,0.1503035561222896,0.12262209619282871,0.1002140367023915,0.07413934339607428
69,860.0,0.275,7.0,0.1528214688471297,0.12585537229563756,0.09786517223580599,0.07692494698050281
70,860.0,0.3,1.0,0.10905957843684605,0.08276784611503742,0.068428052468909,0.053742179960209066
71,860.0,0.3,2.0,0.11981923071221201,0.09145098210387939,0.08042175739568591,0.060011578317567434
72,860.0,0.3,3.0,0.12526486494843603,0.09330437650711629,0.08245866944806408,0.06277321601926203
73,860.0,0.3,4.0,0.14399438982228946,0.11499196305828853,0.09280812923915921,0.06974092655351376
74,860.0,0.3,5.0,0.14448680986242637,0.11353337765694527,0.09192291184860346,0.06931529434206489
75,860.0,0.3,6.0,0.15292788942495492,0.12187607342092195,0.09581017764183783,0.06983085187538038
76,860.0,0.3,7.0,0.15402468561174398,0.12419663254939299,0.10652824087979701,0.08003187380785923
77,861.0,0.05,1.0,0.10740785859518946,0.0665762360869653,0.1250845035952386,0.08733884740485957
78,861.0,0.05,2.0,0.10529536870483136,0.06664116625317985,0.12525743294283678,0.08784623907015239
79,861.0,0.05,3.0,0.10144559265199136,0.06550233105683592,0.12493140283644215,0.08775334976640596
80,861.0,0.05,4.0,0.09962692306330108,0.06492325587562912,0.13051769419288012,0.09127635116913169
81,861.0,0.05,5.0,0.10379997667482253,0.06740898059110809,0.1273243124457752,0.0890250574150269
82,861.0,0.05,6.0,0.11222118554257038,0.07399005319015557,0.13248984948190073,0.09275248493004812
83,861.0,0.05,7.0,0.10981598815214448,0.07221725283024046,0.13124055944050175,0.09332497243758507
84,861.0,0.075,1.0,0.10730079911822638,0.06551310820645423,0.12480731989889561,0.08769062689168161
85,861.0,0.075,2.0,0.10478869394791035,0.06625346430390035,0.12547394714964302,0.08836260576961993
86,861.0,0.075,3.0,0.10022350093177564,0.0647650474620567,0.12752210698668504,0.08916687650876065
87,861.0,0.075,4.0,0.1015625422433199,0.06700619716577752,0.13203540532186192,0.09414183695270528
88,861.0,0.075,5.0,0.11022926946247717,0.07197065493755443,0.12770388027197355,0.08787947739411367
89,861.0,0.075,6.0,0.11409611467600675,0.07780747801615562,0.136176832630034,0.09776113125756443
90,861.0,0.075,7.0,0.10803099678323454,0.07385889905418706,0.13511200211940996,0.09680739215350082
91,861.0,0.1,1.0,0.10734388122148344,0.0646766438324925,0.12508496726468638,0.08762211977490776
92,861.0,0.1,2.0,0.10530934869079384,0.06684700731234257,0.1271938592489556,0.08869380299156242
93,861.0,0.1,3.0,0.10284767195111386,0.06697308338721698,0.1276922070930133,0.0885476464456954
94,861.0,0.1,4.0,0.10347865044319257,0.06673313384110578,0.1265060908138747,0.08970172952937903
95,861.0,0.1,5.0,0.10766422673462904,0.06911039128896217,0.1288951162539967,0.09114680486348863
96,861.0,0.1,6.0,0.10951602951628915,0.0741192189905889,0.13527205639244996,0.09446132612432534
97,861.0,0.1,7.0,0.11153523536821312,0.0721101251083689,0.13170734928283154,0.09444289630377768
98,861.0,0.125,1.0,0.10787503365971655,0.06675440795161079,0.12594370665994192,0.0899974996275344
99,861.0,0.125,2.0,0.10619461552511074,0.06718634143237112,0.12280104727791093,0.08647479515063886
100,861.0,0.125,3.0,0.10195559379202973,0.06654533261186932,0.1281526330175607,0.08686651622822615
101,861.0,0.125,4.0,0.10363150280891859,0.06804412264757378,0.12794731183700847,0.0886071920729582
102,861.0,0.125,5.0,0.10276545980233147,0.06636007942258261,0.1307448899026134,0.09207145780788227
103,861.0,0.125,6.0,0.11481524272253593,0.07452243730748723,0.13492667658398858,0.09567852485998898
104,861.0,0.125,7.0,0.10921118737172204,0.07461237255590439,0.13338526417032415,0.09543755105568097
105,861.0,0.15,1.0,0.10617814293670882,0.06504261762317033,0.12647410033447418,0.08985474792503907
106,861.0,0.15,2.0,0.1022172160395032,0.06514122868693019,0.13127861418188558,0.09087721688942929
107,861.0,0.15,3.0,0.10278352091100491,0.06642885734720612,0.12992341644062852,0.08710129743924172
108,861.0,0.15,4.0,0.10206765516773074,0.0670338600407141,0.12847437458995647,0.09139167669913903
109,861.0,0.15,5.0,0.108994344226611,0.06812697813237736,0.12915962035656708,0.08915706462550511
110,861.0,0.15,6.0,0.11173332525782662,0.0730386625823702,0.1360969358910969,0.09678713072205221
111,861.0,0.15,7.0,0.10898518722317072,0.07384917290001577,0.13367636425558335,0.09705751071069633
112,861.0,0.175,1.0,0.10940464327597334,0.06696160521392457,0.12436485197620925,0.08769930856375706
113,861.0,0.175,2.0,0.10509209048757392,0.0666586721838901,0.12787786693999087,0.08927880366562366
114,861.0,0.175,3.0,0.10312892209024238,0.06751998577068746,0.12502825159868455,0.08333078185604091
115,861.0,0.175,4.0,0.10306387820964376,0.06981417117426467,0.1292957222351276,0.09003551922902121
116,861.0,0.175,5.0,0.10571741952288402,0.06850693769331281,0.1292835905461643,0.09116558978422591
117,861.0,0.175,6.0,0.11405312412389605,0.07280460058167514,0.13150770002957146,0.09126097781965974
118,861.0,0.175,7.0,0.11227669262768902,0.07104547106620789,0.13285710666759407,0.09467231747160869
119,861.0,0.2,1.0,0.10784670596298919,0.06608369275293463,0.1276357887294924,0.0905260134908698
120,861.0,0.2,2.0,0.10419685554689409,0.06879462279159539,0.13135017098611312,0.09249764638094914
121,861.0,0.2,3.0,0.10317892507535911,0.06637635729652441,0.13046768252872218,0.08973436669913744
122,861.0,0.2,4.0,0.10398303273283145,0.06882335607674528,0.1328118495841831,0.09140107259257105
123,861.0,0.2,5.0,0.10265176147541884,0.06667471699668026,0.13256507109234622,0.09235654218405574
124,861.0,0.2,6.0,0.11049573700284532,0.07118728152552045,0.1304126354461721,0.09099700280264993
125,861.0,0.2,7.0,0.1053519644316523,0.07182944642613322,0.135060922211213,0.10038446934830582
126,861.0,0.225,1.0,0.10699848200905054,0.06547334994076312,0.1255703993643248,0.09106131231358382
127,861.0,0.225,2.0,0.10149792223497088,0.06530167143313406,0.13083274602018452,0.0918856607477418
128,861.0,0.225,3.0,0.10262825966238452,0.06854832596749597,0.1258724936825467,0.08930595468807044
129,861.0,0.225,4.0,0.10488577601820329,0.06727032554068145,0.13379619899412792,0.09345977555901232
