target_column,train_size_,method,n_estimators,lr,tree_size,val_rmse
Dgv,95,TradaBoostR2,10,0.1,1,16.539457534351023
Dgv,95,TradaBoostR2,10,0.1,2,98.6440502492509
Dgv,95,TradaBoostR2,10,0.1,3,22.73653286032502
Dgv,95,TradaBoostR2,10,0.1,4,20.18695064478549
Dgv,95,TradaBoostR2,10,0.1,5,17.989516981524606
Dgv,95,TradaBoostR2,10,0.5,1,20.169002954745707
Dgv,95,TradaBoostR2,10,0.5,2,16.34390537270767
Dgv,95,TradaBoostR2,10,0.5,3,24.11004860461913
Dgv,95,TradaBoostR2,10,0.5,4,26.026373166474002
Dgv,95,TradaBoostR2,10,0.5,5,42.23244815638127
Dgv,95,TradaBoostR2,10,1.0,1,18.405532697998837
Dgv,95,TradaBoostR2,10,1.0,2,13.804876822018642
Dgv,95,TradaBoostR2,10,1.0,3,45.477742965549304
Dgv,95,TradaBoostR2,10,1.0,4,27.90378671693022
Dgv,95,TradaBoostR2,10,1.0,5,30.005219751194904
Dgv,95,TradaBoostR2,20,0.1,1,16.760115278244523
Dgv,95,TradaBoostR2,20,0.1,2,17.865408358669903
Dgv,95,TradaBoostR2,20,0.1,3,50.5011075878302
Dgv,95,TradaBoostR2,20,0.1,4,21.030003347054606
Dgv,95,TradaBoostR2,20,0.1,5,36.43948290136562
Dgv,95,TradaBoostR2,20,0.5,1,17.064808347034266
Dgv,95,TradaBoostR2,20,0.5,2,12.974384884876866
Dgv,95,TradaBoostR2,20,0.5,3,29.261112411255
Dgv,95,TradaBoostR2,20,0.5,4,48.78861863541536
Dgv,95,TradaBoostR2,20,0.5,5,44.26434376230439
Dgv,95,TradaBoostR2,20,1.0,1,32.34951700520526
Dgv,95,TradaBoostR2,20,1.0,2,20.537288065477703
Dgv,95,TradaBoostR2,20,1.0,3,35.80443778820694
Dgv,95,TradaBoostR2,20,1.0,4,148.18570849135443
Dgv,95,TradaBoostR2,20,1.0,5,39.2884895960121
Dgv,95,TradaBoostR2,30,0.1,1,16.545185954330243
Dgv,95,TradaBoostR2,30,0.1,2,18.9863211604898
Dgv,95,TradaBoostR2,30,0.1,3,37.36034349504117
Dgv,95,TradaBoostR2,30,0.1,4,17.904083169750784
Dgv,95,TradaBoostR2,30,0.1,5,31.90688668187055
Dgv,95,TradaBoostR2,30,0.5,1,18.798106684513876
Dgv,95,TradaBoostR2,30,0.5,2,26.398296761365838
Dgv,95,TradaBoostR2,30,0.5,3,72.05006103268752
Dgv,95,TradaBoostR2,30,0.5,4,40.68441344653669
Dgv,95,TradaBoostR2,30,0.5,5,30.749793415236553
Dgv,95,TradaBoostR2,30,1.0,1,33.37542148888118
Dgv,95,TradaBoostR2,30,1.0,2,20.893022562790744
Dgv,95,TradaBoostR2,30,1.0,3,75.36672296550421
Dgv,95,TradaBoostR2,30,1.0,4,111.464162087349
Dgv,95,TradaBoostR2,30,1.0,5,43.01108623279785
Dgv,95,TradaBoostR2,40,0.1,1,19.9695580216989
Dgv,95,TradaBoostR2,40,0.1,2,14.650086947205912
Dgv,95,TradaBoostR2,40,0.1,3,12.38908253306141
Dgv,95,TradaBoostR2,40,0.1,4,22.84882079463919
Dgv,95,TradaBoostR2,40,0.1,5,29.407835239460248
Dgv,95,TradaBoostR2,40,0.5,1,29.973685729128125
Dgv,95,TradaBoostR2,40,0.5,2,18.34104644833705
Dgv,95,TradaBoostR2,40,0.5,3,42.53453577847738
Dgv,95,TradaBoostR2,40,0.5,4,39.232474455688376
Dgv,95,TradaBoostR2,40,0.5,5,31.799050949281906
Dgv,95,TradaBoostR2,40,1.0,1,35.05649080878669
Dgv,95,TradaBoostR2,40,1.0,2,23.08426067001097
