,seed,lr,n_estimators,tree_size,rmse,mae
0,860.0,0.1,10.0,1.0,215.92401720323048,64.06363245450532
1,860.0,0.1,10.0,2.0,216.3146195421308,62.29615204444297
2,860.0,0.1,10.0,3.0,216.3787248236253,64.6323734826308
3,860.0,0.1,10.0,4.0,216.17923805349406,64.49000375380882
4,860.0,0.1,20.0,1.0,215.92401720323048,64.06363245450532
5,860.0,0.1,20.0,2.0,216.3146195421308,62.29615204444297
6,860.0,0.1,20.0,3.0,216.3787248236253,64.6323734826308
7,860.0,0.1,20.0,4.0,213.8928387631649,64.41626075891347
8,860.0,0.1,30.0,1.0,215.92401720323048,64.06363245450532
9,860.0,0.1,30.0,2.0,216.3146195421308,62.29615204444297
10,860.0,0.1,30.0,3.0,216.5206886571156,65.08038955908555
11,860.0,0.1,30.0,4.0,213.91781425539736,64.38077042946448
12,860.0,0.1,50.0,1.0,215.92401720323048,64.06363245450532
13,860.0,0.1,50.0,2.0,216.3146195421308,62.29615204444297
14,860.0,0.1,50.0,3.0,216.3262887839007,64.42635283396793
15,860.0,0.1,50.0,4.0,213.9415003062809,63.506175612669715
16,860.0,0.1,100.0,1.0,215.92401720323048,64.06363245450532
17,860.0,0.1,100.0,2.0,216.3146195421308,62.29615204444297
18,860.0,0.1,100.0,3.0,216.31547536281514,64.26367622448846
19,860.0,0.1,100.0,4.0,214.35027214555748,64.3269915976891
20,860.0,0.1,150.0,1.0,215.92401720323048,64.06363245450532
21,860.0,0.1,150.0,2.0,216.3146195421308,62.29615204444297
22,860.0,0.1,150.0,3.0,216.66603179332083,66.55496062058668
23,860.0,0.1,150.0,4.0,216.52299195000526,66.42540554193349
24,860.0,0.5,10.0,1.0,215.92401720323048,64.06363245450532
25,860.0,0.5,10.0,2.0,216.3146195421308,62.29615204444297
26,860.0,0.5,10.0,3.0,216.32647023933117,64.42907667453471
27,860.0,0.5,10.0,4.0,214.1991935738723,63.4153606554178
28,860.0,0.5,20.0,1.0,215.92401720323048,64.06363245450532
29,860.0,0.5,20.0,2.0,216.3146195421308,62.29615204444297
30,860.0,0.5,20.0,3.0,216.69173885005745,66.28193793223453
31,860.0,0.5,20.0,4.0,216.5188219776416,66.63312022796043
32,860.0,0.5,30.0,1.0,215.92401720323048,64.06363245450532
33,860.0,0.5,30.0,2.0,216.3146195421308,62.29615204444297
34,860.0,0.5,30.0,3.0,216.69173885005745,66.28193793223453
35,860.0,0.5,30.0,4.0,216.41199649848184,66.47465218323927
36,860.0,0.5,50.0,1.0,215.7525466512548,65.37702901840208
37,860.0,0.5,50.0,2.0,216.89142478215535,65.93433690364543
38,860.0,0.5,50.0,3.0,216.69173885005745,66.28193793223453
39,860.0,0.5,50.0,4.0,216.5191552853073,66.62601887556221
40,860.0,0.5,100.0,1.0,215.7525466512548,65.37702901840208
41,860.0,0.5,100.0,2.0,216.89142478215535,65.93433690364543
42,860.0,0.5,100.0,3.0,216.69173885005745,66.28193793223453
43,860.0,0.5,100.0,4.0,216.57262552045768,66.75740820004388
44,860.0,0.5,150.0,1.0,215.7525466512548,65.37702901840208
45,860.0,0.5,150.0,2.0,216.89142478215535,65.93433690364543
46,860.0,0.5,150.0,3.0,216.69173885005745,66.28193793223453
47,860.0,0.5,150.0,4.0,216.5735620330952,66.75982928569499
48,860.0,1.0,10.0,1.0,215.7525466512548,65.37702901840208
49,860.0,1.0,10.0,2.0,216.3146195421308,62.29615204444297
50,860.0,1.0,10.0,3.0,217.01637154799266,65.53612590129558
51,860.0,1.0,10.0,4.0,216.24552272221825,63.77706828777605
52,860.0,1.0,20.0,1.0,215.7525466512548,65.37702901840208
53,860.0,1.0,20.0,2.0,216.3146195421308,62.29615204444297
54,860.0,1.0,20.0,3.0,216.69173885005745,66.28193793223453
55,860.0,1.0,20.0,4.0,216.5203938693998,66.62929030858552
56,860.0,1.0,30.0,1.0,215.7525466512548,65.37702901840208
57,860.0,1.0,30.0,2.0,216.3146195421308,62.29615204444297
