,seed,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,850.0,0.1,2.0,1.0,0.0,0.1,400.0,1.814213218786599,1.2697698615461348,1.7149449753459365,1.2787115628910777
1,850.0,0.1,2.0,1.0,0.0,0.5,400.0,1.7042872392208834,1.2478656771301162,1.6166751387190215,1.2238506779194036
2,850.0,0.1,2.0,1.0,0.01,0.1,400.0,1.8293626721653597,1.2870827418146698,1.7287642226433044,1.2828726473704317
3,850.0,0.1,2.0,1.0,0.01,0.5,400.0,1.7538326783219291,1.2250879853451901,1.6705415125593677,1.2406031022846122
4,850.0,0.1,2.0,1.0,0.01,0.9,400.0,1.746496800314142,1.224629085852547,1.6644646630292985,1.2340693060441525
5,850.0,0.1,2.0,1.0,0.05,0.1,400.0,1.8297676656680277,1.2926119407290515,1.7205722621146526,1.2815558136160532
6,850.0,0.1,2.0,1.0,0.05,0.5,400.0,1.8194734592104636,1.2559971219654633,1.724872853754122,1.2781886116444843
7,850.0,0.1,2.0,1.0,0.05,0.9,400.0,1.8118533640418597,1.2667386877504716,1.7049168518576887,1.265776189650014
8,850.0,0.1,2.0,2.0,0.0,0.1,400.0,1.69813461095433,1.2367513976249638,1.6110824571059275,1.2150069258017748
9,850.0,0.1,2.0,2.0,0.0,0.5,400.0,1.7068821707161528,1.2436238268010202,1.6157924138092152,1.2171497603730759
10,850.0,0.1,2.0,2.0,0.01,0.1,400.0,1.7954477508373072,1.230048931281415,1.7352760785776413,1.2713924281274689
11,850.0,0.1,2.0,2.0,0.01,0.5,400.0,1.6938955113894034,1.2241179129212132,1.6071431298453165,1.202091821048374
12,850.0,0.1,2.0,2.0,0.01,0.9,400.0,1.7124451645982568,1.2499489615819748,1.6145569407541667,1.2167432068916793
13,850.0,0.1,2.0,2.0,0.05,0.1,400.0,1.8779221085510096,1.2790098361868878,1.808258411475917,1.3208136403911956
14,850.0,0.1,2.0,2.0,0.05,0.5,400.0,1.7694309801388983,1.2262485811415968,1.6849381929056853,1.2410899799239006
15,850.0,0.1,2.0,2.0,0.05,0.9,400.0,1.7491945248827605,1.2185342805459622,1.6761839750582288,1.234376720935295
16,850.0,0.1,2.0,3.0,0.0,0.1,400.0,1.7117839202700993,1.2227212963561014,1.651304291570227,1.2541806738943753
17,850.0,0.1,2.0,3.0,0.0,0.5,400.0,1.7095243903364348,1.2344567915638214,1.6156000037290306,1.226127454355177
18,850.0,0.1,2.0,3.0,0.01,0.1,400.0,1.85985856243666,1.2633905480796057,1.7996751282887489,1.3314009187802034
19,850.0,0.1,2.0,3.0,0.01,0.5,400.0,1.7187416914125606,1.2146598538244677,1.643871577554652,1.2284119766590158
20,850.0,0.1,2.0,3.0,0.01,0.9,400.0,1.6726424053747153,1.2146282464941696,1.5885430254286768,1.204033057349431
21,850.0,0.1,2.0,3.0,0.05,0.1,400.0,1.6867456859329544,1.187545675385588,1.6853206456418928,1.258480605024753
22,850.0,0.1,2.0,3.0,0.05,0.5,400.0,1.815033684797542,1.2480923314061203,1.7423999478988685,1.273907562301113
23,850.0,0.1,2.0,3.0,0.05,0.9,400.0,1.765161707995928,1.2192816000097768,1.7116301001799623,1.2604400959274091
24,850.0,0.1,3.0,1.0,0.0,0.1,400.0,1.7824008154522133,1.245200198509794,1.676658393503513,1.247699921495779
25,850.0,0.1,3.0,1.0,0.0,0.5,400.0,1.7352764518520456,1.258127901444237,1.639076592920056,1.2418562023720081
26,850.0,0.1,3.0,1.0,0.01,0.1,400.0,2.15395921878061,1.849088484771168,2.018415238155174,1.6786568156412134
27,850.0,0.1,3.0,1.0,0.01,0.5,400.0,1.7877377984584626,1.3132960737283685,1.665645119027902,1.2749339479879271
28,850.0,0.1,3.0,1.0,0.01,0.9,400.0,1.7379229164122618,1.2385497622583195,1.6442548461416668,1.2369169398213098
29,850.0,0.1,3.0,1.0,0.05,0.1,400.0,1.8136446498035252,1.273985256741564,1.6851550756136393,1.2579782992371547
30,850.0,0.1,3.0,1.0,0.05,0.5,400.0,1.7894526898064214,1.2554102273121304,1.6659681673855837,1.248061850332756
31,850.0,0.1,3.0,1.0,0.05,0.9,400.0,1.7963414948482535,1.3262309187424663,1.65153785649399,1.2730587088242167
32,850.0,0.1,3.0,2.0,0.0,0.1,400.0,1.7063204715107134,1.2444842735891872,1.6102823949862208,1.2202939045739538
33,850.0,0.1,3.0,2.0,0.0,0.5,400.0,1.7707158589302052,1.2849200037903048,1.6365018708556487,1.2385008663975485
34,850.0,0.1,3.0,2.0,0.01,0.1,400.0,1.6964415803025688,1.2354764548362005,1.6220878406017183,1.2267540296476003
35,850.0,0.1,3.0,2.0,0.01,0.5,400.0,1.7553897202280946,1.2794286610712948,1.628906552796095,1.2378623770255153
36,850.0,0.1,3.0,2.0,0.01,0.9,400.0,1.6930477406906126,1.248435928034314,1.6004983063790557,1.220287968906517
37,850.0,0.1,3.0,2.0,0.05,0.1,400.0,1.8225663691891638,1.2470307549229827,1.7396122228908215,1.2819781511833506
38,850.0,0.1,3.0,2.0,0.05,0.5,400.0,1.7494328399632073,1.2334890849275273,1.637891177975741,1.2225263068826475
39,850.0,0.1,3.0,2.0,0.05,0.9,400.0,1.7127782759728423,1.2349077232933596,1.6046727349230854,1.2096983719992547
40,850.0,0.1,3.0,3.0,0.0,0.1,400.0,1.881347170949275,1.2890047728701892,1.801808069127225,1.3242062595011828
41,850.0,0.1,3.0,3.0,0.0,0.5,400.0,1.7344026621246416,1.2518409217638464,1.6136466099552254,1.234116994054902
42,850.0,0.1,3.0,3.0,0.01,0.1,400.0,1.6696743282146953,1.218209900576927,1.665378908715489,1.2719738337486965
43,850.0,0.1,3.0,3.0,0.01,0.5,400.0,1.6819637761481425,1.2219015837311995,1.6370496453863996,1.2384398537106944
44,850.0,0.1,3.0,3.0,0.01,0.9,400.0,1.6490235109743543,1.19719938981943,1.5968039136119003,1.2068248240788315
45,850.0,0.1,3.0,3.0,0.05,0.1,400.0,1.6871257040992411,1.2191417270434022,1.6512021095634022,1.253191543477839
46,850.0,0.1,3.0,3.0,0.05,0.5,400.0,1.7700894780000218,1.2097655071930626,1.7180396777949223,1.263767623270556
47,850.0,0.1,3.0,3.0,0.05,0.9,400.0,1.7638715065123711,1.2326875817403045,1.6651238612903019,1.2354589430866956
48,851.0,0.1,2.0,1.0,0.0,0.1,400.0,3.4139271840843133,2.009894944777627,3.0930233124596422,1.9735942752439364
