,seed,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,860.0,0.1,1.0,1.0,0.0,0.1,400.0,7.958185577315508,5.927157626605426,3.7711094401461263,3.167914112556338
1,860.0,0.1,1.0,1.0,0.0,0.5,400.0,6.914606103090542,5.145940082952724,3.8458942555132576,3.15453985900469
2,860.0,0.1,1.0,1.0,0.01,0.1,400.0,7.978169910290042,5.937085200509111,3.7637751522997456,3.1521223606067843
3,860.0,0.1,1.0,1.0,0.01,0.5,400.0,7.199166188360742,5.350897174181107,3.5663984387044683,2.996218976141085
4,860.0,0.1,1.0,1.0,0.01,0.9,400.0,6.843821317494581,5.150534450366118,3.7975464122195035,3.119746209916636
5,860.0,0.1,1.0,1.0,0.05,0.1,400.0,8.034666640044092,5.968875582944155,3.748660652866141,3.1059945288570288
6,860.0,0.1,1.0,1.0,0.05,0.5,400.0,7.667947308199989,5.765966715516845,3.387278167932779,2.8144235976366194
7,860.0,0.1,1.0,1.0,0.05,0.9,400.0,7.378036240790947,5.531820171996132,3.4560897597294695,2.925682689111043
8,860.0,0.1,1.0,2.0,0.0,0.1,400.0,4.928878792643959,3.949956571271988,3.83961529565989,2.731159033537151
9,860.0,0.1,1.0,2.0,0.0,0.5,400.0,4.889984723887947,3.761240514814168,3.717768838752509,2.6082573383883623
10,860.0,0.1,1.0,2.0,0.01,0.1,400.0,5.17164250202699,4.200273682850205,3.864058845308759,2.8440900670914324
11,860.0,0.1,1.0,2.0,0.01,0.5,400.0,5.034356854228878,4.004303783847131,3.855303430364254,2.834090134594806
12,860.0,0.1,1.0,2.0,0.01,0.9,400.0,4.969946943575752,3.9195385776911698,3.640260818397998,2.5750350056884495
13,860.0,0.1,1.0,2.0,0.05,0.1,400.0,5.276097633217051,4.293981353485346,3.9411364196140357,2.788732791314216
14,860.0,0.1,1.0,2.0,0.05,0.5,400.0,5.065044529287688,4.0190409030014145,3.7931243254574247,2.7992837351806954
15,860.0,0.1,1.0,2.0,0.05,0.9,400.0,5.021914285585815,3.984017619805804,3.851437922707838,2.793640090372926
16,860.0,0.1,1.0,3.0,0.0,0.1,400.0,9.037224004012252,6.818530468010776,3.9698120406722985,3.1790612028546383
17,860.0,0.1,1.0,3.0,0.0,0.5,400.0,5.483597732416607,4.103191611162311,4.019750644203687,2.919059106079096
18,860.0,0.1,1.0,3.0,0.01,0.1,400.0,9.017741655822862,6.80318045303354,3.943745400938482,3.165319914484839
19,860.0,0.1,1.0,3.0,0.01,0.5,400.0,5.519385451496904,4.305831252143921,4.129713373769547,2.884518970488973
20,860.0,0.1,1.0,3.0,0.01,0.9,400.0,5.819677244858028,4.500474084517286,3.6691285441181805,2.6619188155018367
