,seed,lr,n_estimators,tree_size,rmse,mae
0,860.0,0.1,10.0,1.0,0.24663731425608262,0.19613028133616764
1,860.0,0.1,10.0,2.0,0.23035294715651664,0.1873926349714693
2,860.0,0.1,10.0,3.0,0.18061853716133178,0.15163324393478136
3,860.0,0.1,10.0,4.0,0.19392677906668823,0.15421235327627159
4,860.0,0.1,20.0,1.0,0.24663731425608262,0.19613028133616764
5,860.0,0.1,20.0,2.0,0.23035294715651664,0.1873926349714693
6,860.0,0.1,20.0,3.0,0.19545600921719677,0.15866604973288184
7,860.0,0.1,20.0,4.0,0.19513016731930966,0.1566523234049481
8,860.0,0.1,30.0,1.0,0.20572407800040912,0.16807933134191208
9,860.0,0.1,30.0,2.0,0.19135465745605854,0.15983167162128548
10,860.0,0.1,30.0,3.0,0.1854996896767819,0.1547801747041593
11,860.0,0.1,30.0,4.0,0.19416044121630455,0.15526739382276383
12,860.0,0.1,50.0,1.0,0.19938426222243658,0.17060822131587025
13,860.0,0.1,50.0,2.0,0.19110096964816342,0.1597108728745407
14,860.0,0.1,50.0,3.0,0.19545600921719677,0.15866604973288184
15,860.0,0.1,50.0,4.0,0.1946952865272926,0.15639376172832428
16,860.0,0.1,100.0,1.0,0.24663731425608262,0.19613028133616764
17,860.0,0.1,100.0,2.0,0.19110096964816342,0.1597108728745407
18,860.0,0.1,100.0,3.0,0.21598795988127467,0.1768667333266318
19,860.0,0.1,100.0,4.0,0.19500739862970926,0.15526573330748328
20,860.0,0.1,150.0,1.0,0.20572407800040912,0.16807933134191208
21,860.0,0.1,150.0,2.0,0.19110096964816342,0.1597108728745407
22,860.0,0.1,150.0,3.0,0.185745989277077,0.15489199769263204
23,860.0,0.1,150.0,4.0,0.193304287840919,0.15369026333678015
24,860.0,0.5,10.0,1.0,0.23773928156588509,0.19094872568167928
25,860.0,0.5,10.0,2.0,0.23902158371824764,0.2010959700042127
26,860.0,0.5,10.0,3.0,0.18020415356558647,0.14751187492819406
27,860.0,0.5,10.0,4.0,0.1895623026363445,0.15184071858723977
28,860.0,0.5,20.0,1.0,0.23773928156588509,0.19094872568167928
29,860.0,0.5,20.0,2.0,0.24539682804185217,0.19623843922334566
30,860.0,0.5,20.0,3.0,0.18020017194069318,0.14751202452416529
31,860.0,0.5,20.0,4.0,0.18906318328531221,0.15147263770009978
32,860.0,0.5,30.0,1.0,0.23773928156588509,0.19094872568167928
33,860.0,0.5,30.0,2.0,0.24539682804185217,0.19623843922334566
34,860.0,0.5,30.0,3.0,0.1806060390017692,0.14736833759382673
35,860.0,0.5,30.0,4.0,0.18984991121367747,0.15217439240100356
36,860.0,0.5,50.0,1.0,0.23773928156588509,0.19094872568167928
37,860.0,0.5,50.0,2.0,0.24539682804185217,0.19623843922334566
38,860.0,0.5,50.0,3.0,0.18020320584185934,0.1475155400294885
39,860.0,0.5,50.0,4.0,0.19152956035608484,0.15273271448471976
40,860.0,0.5,100.0,1.0,0.23773928156588509,0.19094872568167928
41,860.0,0.5,100.0,2.0,0.24539682804185217,0.19623843922334566
42,860.0,0.5,100.0,3.0,0.1802011058363339,0.14751374487783409
43,860.0,0.5,100.0,4.0,0.19163372116122465,0.15267190372242656
44,860.0,0.5,150.0,1.0,0.23773928156588509,0.19094872568167928
45,860.0,0.5,150.0,2.0,0.24539682804185217,0.19623843922334566
46,860.0,0.5,150.0,3.0,0.18020609919371092,0.14751224891812206
47,860.0,0.5,150.0,4.0,0.18769506066011296,0.1509332843855317
48,860.0,1.0,10.0,1.0,0.23773928156588509,0.19094872568167928
49,860.0,1.0,10.0,2.0,0.24539682804185217,0.19623843922334566
50,860.0,1.0,10.0,3.0,0.1820433633699839,0.14990413890165455
51,860.0,1.0,10.0,4.0,0.18918966576920274,0.15705759385052864
52,860.0,1.0,20.0,1.0,0.23773928156588509,0.19094872568167928
53,860.0,1.0,20.0,2.0,0.1955112057293202,0.16343781714345898
54,860.0,1.0,20.0,3.0,0.18179694586129896,0.1494991826076135
55,860.0,1.0,20.0,4.0,0.1909131737894898,0.1532087139054842
56,860.0,1.0,30.0,1.0,0.23773928156588509,0.19094872568167928
57,860.0,1.0,30.0,2.0,0.1955112057293202,0.16343781714345898
58,860.0,1.0,30.0,3.0,0.18175882639496765,0.14945931528128845
59,860.0,1.0,30.0,4.0,0.18800575412835419,0.151023146685432
60,860.0,1.0,50.0,1.0,0.23773928156588509,0.19094872568167928
61,860.0,1.0,50.0,2.0,0.1955112057293202,0.16343781714345898
62,860.0,1.0,50.0,3.0,0.18143236616202665,0.14921270632276362
63,860.0,1.0,50.0,4.0,0.19280828132110633,0.1534130769617418
64,860.0,1.0,100.0,1.0,0.23773928156588509,0.19094872568167928
65,860.0,1.0,100.0,2.0,0.24539682804185217,0.19623843922334566
66,860.0,1.0,100.0,3.0,0.18144844002653207,0.14916857551125934
67,860.0,1.0,100.0,4.0,0.18795393843843292,0.15341331631529595
68,860.0,1.0,150.0,1.0,0.23773928156588509,0.19094872568167928
69,860.0,1.0,150.0,2.0,0.2390486195126802,0.19047497020048285
70,860.0,1.0,150.0,3.0,0.18146325090336954,0.149270300771676
71,860.0,1.0,150.0,4.0,0.19256443461496459,0.1531839707318475
72,861.0,0.1,10.0,1.0,0.26927105320762795,0.20184038947610305
73,861.0,0.1,10.0,2.0,0.2395612457047411,0.1816293903425626
74,861.0,0.1,10.0,3.0,0.21617466743666205,0.1758327708524814
75,861.0,0.1,10.0,4.0,0.225462140419123,0.1818403057023589
76,861.0,0.1,20.0,1.0,0.27087375429064386,0.20345916748046886
77,861.0,0.1,20.0,2.0,0.22488568065665102,0.17940884758444375
78,861.0,0.1,20.0,3.0,0.21617326447745358,0.17583292044845258
79,861.0,0.1,20.0,4.0,0.2393237243999796,0.18969364540249678
80,861.0,0.1,30.0,1.0,0.26927105320762795,0.20184038947610305
81,861.0,0.1,30.0,2.0,0.2248853366993204,0.17940780041264537
82,861.0,0.1,30.0,3.0,0.21617326447745358,0.17583292044845258
83,861.0,0.1,30.0,4.0,0.2393537318779583,0.18964957442938102
84,861.0,0.1,50.0,1.0,0.27087375429064386,0.20345916748046886
85,861.0,0.1,50.0,2.0,0.2248853366993204,0.17940780041264537
86,861.0,0.1,50.0,3.0,0.2161735068676439,0.175833219640395
87,861.0,0.1,50.0,4.0,0.23861332969563462,0.18888531853170934
88,861.0,0.1,100.0,1.0,0.2919459354880549,0.227397469913258
89,861.0,0.1,100.0,2.0,0.2248853366993204,0.17940780041264537
90,861.0,0.1,100.0,3.0,0.21617466743666205,0.1758327708524814
91,861.0,0.1,100.0,4.0,0.23861210852049128,0.18888494454178134
92,861.0,0.1,150.0,1.0,0.3094759146982417,0.23411132214116093
93,861.0,0.1,150.0,2.0,0.22565574763899626,0.17975695740942846
94,861.0,0.1,150.0,3.0,0.21617326447745358,0.17583292044845258
95,861.0,0.1,150.0,4.0,0.2392987768092308,0.18969529095817997
96,861.0,0.5,10.0,1.0,0.29576324042424945,0.22498188392788723
97,861.0,0.5,10.0,2.0,0.3435402683617683,0.27512389538334836
98,861.0,0.5,10.0,3.0,0.22600690451312153,0.18219640395220577
99,861.0,0.5,10.0,4.0,0.23314298891892402,0.180420939127604
100,861.0,0.5,20.0,1.0,0.2988538120029345,0.23297410852768813
101,861.0,0.5,20.0,2.0,0.2582106020691475,0.20112964405733014
102,861.0,0.5,20.0,3.0,0.2312238901254649,0.18505099427466287
103,861.0,0.5,20.0,4.0,0.23083995648819744,0.17941165998870218
104,861.0,0.5,30.0,1.0,0.29742690795352256,0.22857896393420654
105,861.0,0.5,30.0,2.0,0.2889022445152076,0.22420919081744003
106,861.0,0.5,30.0,3.0,0.22600690451312153,0.18219640395220577
107,861.0,0.5,30.0,4.0,0.2414810778577365,0.18598783904430902
