,seed,lr,n_estimators,tree_size,rmse,mae
0,860.0,0.1,10.0,1.0,0.27320498794585313,0.1990408504710482
1,860.0,0.1,10.0,2.0,0.24269177193704794,0.1815250321930531
2,860.0,0.1,10.0,3.0,0.1777380357452441,0.14436307420917624
3,860.0,0.1,10.0,4.0,0.1773805336966129,0.14494575051700406
4,860.0,0.1,20.0,1.0,0.27320498794585313,0.1990408504710482
5,860.0,0.1,20.0,2.0,0.24269177193704794,0.1815250321930531
6,860.0,0.1,20.0,3.0,0.19653412210434654,0.15361682667451768
7,860.0,0.1,20.0,4.0,0.17737000484765364,0.1449364755667896
8,860.0,0.1,30.0,1.0,0.27320498794585313,0.1990408504710482
9,860.0,0.1,30.0,2.0,0.24269177193704794,0.1815250321930531
10,860.0,0.1,30.0,3.0,0.19666936752156391,0.15361091763365525
11,860.0,0.1,30.0,4.0,0.1953969221829805,0.14946866502948836
12,860.0,0.1,40.0,1.0,0.27320498794585313,0.1990408504710482
13,860.0,0.1,40.0,2.0,0.24269177193704794,0.1815250321930531
14,860.0,0.1,40.0,3.0,0.196931914072522,0.15369805728687982
