,seed,lr,n_estimators,tree_size,rmse,mae
0,860.0,0.1,10.0,1.0,6.964444417202245,5.404622613816034
1,860.0,0.1,10.0,2.0,5.169067964088497,3.88761237008231
2,860.0,0.1,10.0,3.0,3.341935566824756,2.5889503297351655
3,860.0,0.1,10.0,4.0,3.2591457381580176,2.7033156622023804
4,860.0,0.1,20.0,1.0,6.964444417202245,5.404622613816034
5,860.0,0.1,20.0,2.0,5.169862333426889,3.8965024312337238
6,860.0,0.1,20.0,3.0,3.3414459122293385,2.585585585094633
7,860.0,0.1,20.0,4.0,3.3887615467120122,2.7623395647321423
8,860.0,0.1,30.0,1.0,6.964444417202245,5.404622613816034
9,860.0,0.1,30.0,2.0,5.170304127765675,3.9003378368559334
10,860.0,0.1,30.0,3.0,3.341652393098605,2.588871129353841
11,860.0,0.1,30.0,4.0,3.3882841205860155,2.766760835193452
12,860.0,0.1,50.0,1.0,6.964444417202245,5.404622613816034
