,seed,lr,n_estimators,tree_size,rmse,mae
0,860.0,0.1,10.0,1.0,15.21703063950124,12.511921106033776
1,860.0,0.1,10.0,2.0,16.31305804308713,13.191691407593046
2,860.0,0.1,10.0,3.0,16.545282415691464,13.360532060092721
3,860.0,0.1,10.0,4.0,16.35229096677696,13.252848102693726
4,860.0,0.1,20.0,1.0,15.288336385210068,12.587245141655734
5,860.0,0.1,20.0,2.0,16.31305804308713,13.191691407593046
6,860.0,0.1,20.0,3.0,16.545282415691464,13.360532060092721
7,860.0,0.1,20.0,4.0,16.81055219715916,13.76499021485007
8,860.0,0.1,30.0,1.0,15.302513141594645,12.601496038041875
9,860.0,0.1,30.0,2.0,16.31305804308713,13.191691407593046
10,860.0,0.1,30.0,3.0,16.545282415691464,13.360532060092721
11,860.0,0.1,30.0,4.0,16.35235348527634,13.252898218561205
12,860.0,0.1,50.0,1.0,15.310731732641818,12.609680414594841
13,860.0,0.1,50.0,2.0,16.31305804308713,13.191691407593046
14,860.0,0.1,50.0,3.0,16.545282415691464,13.360532060092721
15,860.0,0.1,50.0,4.0,16.81021030768926,13.764687038116906
16,860.0,0.1,100.0,1.0,15.30814076224458,12.607304557935723
17,860.0,0.1,100.0,2.0,16.31305804308713,13.191691407593046
18,860.0,0.1,100.0,3.0,16.545282415691464,13.360532060092721
19,860.0,0.1,100.0,4.0,16.821291209424754,13.77405964552298
20,860.0,0.5,10.0,1.0,15.641529898886628,12.786363302998287
21,860.0,0.5,10.0,2.0,15.103113482946178,12.271920883697872
22,860.0,0.5,10.0,3.0,17.52194275800907,14.288261459395729
23,860.0,0.5,10.0,4.0,16.775649004007537,13.698147003805849
24,860.0,0.5,20.0,1.0,15.641529898886628,12.786363302998287
25,860.0,0.5,20.0,2.0,15.784812367858972,12.786131057344246
26,860.0,0.5,20.0,3.0,17.52194275800907,14.288261459395729
27,860.0,0.5,20.0,4.0,17.19586411448469,13.956590923388328
28,860.0,0.5,30.0,1.0,15.641529898886628,12.786363302998287
29,860.0,0.5,30.0,2.0,14.848503652272035,12.067240151568983
30,860.0,0.5,30.0,3.0,17.52194275800907,14.288261459395729
