,seed,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,860.0,0.1,1.0,1.0,0.0,0.1,400.0,3.9068608466341117,3.126660269955453,4.264208922077442,3.56079594947098
1,860.0,0.1,1.0,1.0,0.0,0.5,400.0,3.8750347930422855,3.0658782246155662,4.259499293434513,3.5106899707779027
2,860.0,0.1,1.0,1.0,0.01,0.1,400.0,3.9117724326551198,3.156829639084142,4.231415074625997,3.562254696095085
3,860.0,0.1,1.0,1.0,0.01,0.5,400.0,3.9000478272875054,3.0988378321992056,4.279692900810038,3.5155118302375015
4,860.0,0.1,1.0,1.0,0.01,0.9,400.0,3.863577853425107,3.0591686340034556,4.26225745363882,3.470244845598407
5,860.0,0.1,1.0,1.0,0.05,0.1,400.0,3.9155151003377493,3.1750785955533356,4.21352580834304,3.5549925208038764
6,860.0,0.1,1.0,1.0,0.05,0.5,400.0,3.901887632298331,3.0975215472780784,4.265515456377785,3.550653840346642
7,860.0,0.1,1.0,1.0,0.05,0.9,400.0,3.901930397340734,3.0748127686147373,4.262226603420906,3.5243308676469516
8,860.0,0.1,1.0,2.0,0.0,0.1,400.0,3.9943199991064677,3.194266234984857,4.187910332257069,3.463166752588348
9,860.0,0.1,1.0,2.0,0.0,0.5,400.0,3.970644569528542,3.1952320185203837,4.225750516439736,3.4882864866299674
10,860.0,0.1,1.0,2.0,0.01,0.1,400.0,3.985105620953493,3.1948752875874726,4.177915666526806,3.4591173688438115
11,860.0,0.1,1.0,2.0,0.01,0.5,400.0,3.9893281985937517,3.182380500164926,4.281164993873833,3.50795191559017
12,860.0,0.1,1.0,2.0,0.01,0.9,400.0,3.9210248412732143,3.1137854431399856,4.233476493336431,3.4842666384991503
13,860.0,0.1,1.0,2.0,0.05,0.1,400.0,3.9532655325165535,3.1830138901390717,4.168497153900144,3.456816989241516
14,860.0,0.1,1.0,2.0,0.05,0.5,400.0,3.9838941062445437,3.171273929207507,4.1946118641864185,3.4762298785798023
15,860.0,0.1,1.0,2.0,0.05,0.9,400.0,3.9762688199917084,3.133705398295937,4.309792420954205,3.515722602526708
16,860.0,0.1,1.0,3.0,0.0,0.1,400.0,3.9625852681658866,3.225198903153902,4.214425509029819,3.4749931789139645
17,860.0,0.1,1.0,3.0,0.0,0.5,400.0,3.9323568509370905,3.1622654886014714,4.293989440660815,3.5113315380484607
18,860.0,0.1,1.0,3.0,0.01,0.1,400.0,3.962507099814607,3.2250423253040967,4.232421211569175,3.485557925818754
19,860.0,0.1,1.0,3.0,0.01,0.5,400.0,3.934618641578888,3.14219268707817,4.315694311561451,3.5148241601511208
20,860.0,0.1,1.0,3.0,0.01,0.9,400.0,3.9009673812850503,3.1003261423887247,4.320470102655524,3.5004149846286374
21,860.0,0.1,1.0,3.0,0.05,0.1,400.0,3.977993582460539,3.2473603466919987,4.234469894120085,3.4701216573011435
22,860.0,0.1,1.0,3.0,0.05,0.5,400.0,3.942170891558366,3.1836140372673447,4.279287969859413,3.514705313813582
23,860.0,0.1,1.0,3.0,0.05,0.9,400.0,3.9595637623101387,3.1851985602412856,4.322380418689258,3.5145445140257263
24,860.0,0.1,2.0,1.0,0.0,0.1,400.0,3.923921467622286,3.1259339941932045,4.264850865701062,3.560283012151956
25,860.0,0.1,2.0,1.0,0.0,0.5,400.0,3.915945613016624,3.0915712163410998,4.340308422653855,3.5514569848892554
26,860.0,0.1,2.0,1.0,0.01,0.1,400.0,3.9196564441644384,3.160145266293727,4.214422937628466,3.5451404040753247
27,860.0,0.1,2.0,1.0,0.01,0.5,400.0,3.9437899400850824,3.119647770088162,4.354118642530031,3.5675701780230806
28,860.0,0.1,2.0,1.0,0.01,0.9,400.0,3.8932182088858647,3.079432141490334,4.347093719496042,3.5159141921312504
29,860.0,0.1,2.0,1.0,0.05,0.1,400.0,3.92335799474924,3.1805685127109222,4.194739682302407,3.5332039795937265
30,860.0,0.1,2.0,1.0,0.05,0.5,400.0,3.8956167547163503,3.104284308938515,4.266101519591569,3.5458233797362944
31,860.0,0.1,2.0,1.0,0.05,0.9,400.0,3.873109637179631,3.0617106748968297,4.338237576358704,3.5521492204638405
32,860.0,0.1,2.0,2.0,0.0,0.1,400.0,4.017579506825891,3.2208327925869495,4.279696155756514,3.4763881933736993
33,860.0,0.1,2.0,2.0,0.0,0.5,400.0,3.95685306133693,3.1500024339504304,4.248125891790728,3.47065637447734
34,860.0,0.1,2.0,2.0,0.01,0.1,400.0,4.027631568118683,3.2518979692869974,4.207555010218185,3.426161391770195
35,860.0,0.1,2.0,2.0,0.01,0.5,400.0,3.9509469853781947,3.152893942941392,4.2443155972891855,3.478111285437829
36,860.0,0.1,2.0,2.0,0.01,0.9,400.0,3.8645360968272797,3.075495922915696,4.2828095006558415,3.454837384790059
37,860.0,0.1,2.0,2.0,0.05,0.1,400.0,4.038018695749152,3.262387196099449,4.221999417023573,3.4325466355478995
