,seed,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,860.0,0.05,1.0,0.20737702605963365,0.15482819501091483,0.18358217384996134,0.15001168344535099
1,860.0,0.05,2.0,0.20963260736960707,0.15451682595645705,0.1947765269181306,0.1569286421233534
2,860.0,0.05,3.0,0.20780667003697847,0.15469610176834409,0.1843250518542699,0.15173490935680922
3,860.0,0.05,4.0,0.21251560308244927,0.16337322160309428,0.18803999516635564,0.15285871917126245
4,860.0,0.05,5.0,0.21959283578805727,0.16628612443512564,0.19693108257242972,0.16018166635550724
5,860.0,0.05,6.0,0.2214703643309215,0.17017146091835164,0.2056364659302797,0.16406825944489137
6,860.0,0.05,7.0,0.21845435067620944,0.1684763590494792,0.20730781053892552,0.1618176778157553
7,860.0,0.075,1.0,0.2053894957616255,0.14971858005897679,0.18659202198599978,0.14898995792164535
8,860.0,0.075,2.0,0.21224248935734308,0.15508883607153812,0.19816693871785723,0.1584727717380899
9,860.0,0.075,3.0,0.21087564114837595,0.1548788332471661,0.1843200389969715,0.15085129083371648
10,860.0,0.075,4.0,0.21286835034958435,0.16586412915996473,0.19165180213014696,0.15550178079044139
11,860.0,0.075,5.0,0.22350656946313588,0.16915320602117803,0.2003601449830404,0.16303154440487153
12,860.0,0.075,6.0,0.21807814069019177,0.1704893523571537,0.20636453526380144,0.16421260459750325
13,860.0,0.075,7.0,0.2079984617476357,0.16197612986845125,0.22056384828431444,0.16948415718826607
14,860.0,0.1,1.0,0.20609611136147243,0.15001919316310516,0.18869767257507725,0.14872517305261962
15,860.0,0.1,2.0,0.2085045144205162,0.15390641455556853,0.19811412473221413,0.1602579004624312
16,860.0,0.1,3.0,0.20786799251324506,0.15328500785079643,0.1919110626012158,0.15645814783432924
17,860.0,0.1,4.0,0.21135226265891638,0.16320170982211235,0.18863243830325607,0.15281526154162856
18,860.0,0.1,5.0,0.22208386900884378,0.171233143525965,0.19472227704293896,0.15767609839345909
19,860.0,0.1,6.0,0.2238006233789268,0.1727767495548023,0.21015584037622176,0.16811836093079818
20,860.0,0.1,7.0,0.2219699638799434,0.17375096339805457,0.20773390904173736,0.161467997233073
21,860.0,0.125,1.0,0.20691214782414608,0.15202759387446393,0.1900036228048332,0.15169383030311748
22,860.0,0.125,2.0,0.20842186960671508,0.15219452801872715,0.20689327045917463,0.1644013947131589
23,860.0,0.125,3.0,0.21093178286975783,0.15588573381012547,0.18556352344429186,0.15344524009555002
24,860.0,0.125,4.0,0.22052758615340318,0.16536130718156383,0.19686257577311586,0.16280999277152286
25,860.0,0.125,5.0,0.22111369792783464,0.16966632020239739,0.20753607636396093,0.1654783211502377
26,860.0,0.125,6.0,0.2234450938186078,0.17954803167604935,0.21410094357613252,0.16571649289598672
27,860.0,0.125,7.0,0.2132034370130315,0.17002871644263176,0.21835158151352707,0.16818051805683218
28,860.0,0.15,1.0,0.20778657462693928,0.15450607000612765,0.18310752223007168,0.15024998982747415
29,860.0,0.15,2.0,0.2166218385750807,0.15849670709348207,0.19730783843035515,0.15997374291513494
30,860.0,0.15,3.0,0.21526504897473572,0.1581305260751762,0.1967144121271416,0.1587228363635497
31,860.0,0.15,4.0,0.21211674071289124,0.15883691825118723,0.19910321969412673,0.16103122187595761
