,seed,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,860.0,0.05,1.0,12.32413441614281,10.321971517709585,216.21944245435677,63.823206684405974
1,860.0,0.05,2.0,24.232792002339238,13.795004395705003,216.00149030202232,63.41559021582969
2,860.0,0.05,3.0,24.446009747075063,13.968443274864784,212.27346729060554,63.65058525085448
3,860.0,0.05,4.0,24.789412504126254,14.083550554422231,216.38539659558776,64.8975417459928
4,860.0,0.05,5.0,24.887084110567145,14.144797389690693,216.4031426130093,64.92778022766112
5,860.0,0.05,6.0,24.84189517069505,13.920839007450983,216.5995795807452,65.10390318650465
6,860.0,0.05,7.0,25.051833779812608,14.186958707662729,216.61506247319434,64.86416681289671
7,860.0,0.075,1.0,12.749872419262188,10.876862810575044,216.28241960713206,63.99006260651807
8,860.0,0.075,2.0,32.60881026744905,15.547767373598539,216.02719868078717,63.30510213118332
9,860.0,0.075,3.0,32.81443895353047,15.783846516242393,211.51802655764325,63.710454613612235
10,860.0,0.075,4.0,33.21692324554108,16.051127901810865,216.4276854717905,65.30855439552893
11,860.0,0.075,5.0,33.32029044786335,16.007610532320463,216.59158369594954,65.57229526519774
12,860.0,0.075,6.0,33.34914241104426,15.992796375568096,216.86125753710738,65.76571142049934
13,860.0,0.075,7.0,33.583621052425116,16.17957892564627,215.57003251777112,65.02355673056381
14,860.0,0.1,1.0,12.94988674338977,11.08741876748892,216.31326314147145,64.04092792657704
15,860.0,0.1,2.0,40.8018294428461,17.260258188981275,216.0066797172401,63.22977667881891
16,860.0,0.1,3.0,40.98259343243886,17.478529040996843,211.2743597107478,63.7253630374028
17,860.0,0.1,4.0,41.37273985923088,17.748359799751867,216.6131788610659,65.91044772881727
18,860.0,0.1,5.0,41.504500980965545,17.695957830135637,216.88455530445484,66.27700657404385
19,860.0,0.1,6.0,41.62131549813665,17.949637147463285,215.5784429819378,66.04559298955476
20,860.0,0.1,7.0,42.06429619260505,18.422766256332395,213.8003552255545,65.00529001089242
21,860.0,0.125,1.0,13.295756172958198,11.390925582005426,216.3653555063682,64.14109142303465
22,860.0,0.125,2.0,48.61014782715018,18.657992280813364,216.03016945972254,63.0305226428692
23,860.0,0.125,3.0,48.81212285562335,19.065661219816942,210.40107798193227,63.795357321959266
24,860.0,0.125,4.0,49.09019286282539,19.04634495001573,216.78212842011703,66.2191274012052
25,860.0,0.125,5.0,49.2445189856587,19.235408150599554,217.01320622924533,66.77211807617773
26,860.0,0.125,6.0,49.256560717994034,19.188229845487154,215.51515440306687,66.54864527408893
27,860.0,0.125,7.0,49.908002590508644,20.207016589091374,215.42936140220277,65.60261907724234
